TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,lshoulder_xPos,lshoulder_yPos,lshoulder_zPos,lshoulder_wQuat,lshoulder_xQuat,lshoulder_yQuat,lshoulder_zQuat,lshoulder_xrot,lshoulder_yrot,lshoulder_zrot,rshoulder_xPos,rshoulder_yPos,rshoulder_zPos,rshoulder_wQuat,rshoulder_xQuat,rshoulder_yQuat,rshoulder_zQuat,rshoulder_xrot,rshoulder_yrot,rshoulder_zrot
2.587756,1.618807,0.8671374,-2.416212,0.1424484,-0.05344747,0.9834228,0.09864889,347.9214,163.9943,355.4826,1,0,-1.64,0,0,1,0,0,180,0,0.9418629,0.9249102,-2.302532,0.06895231,0.03491114,0.9967892,-0.02093163,2.667696,172.175,3.829286,1.97241,0.8157111,-2.220116,0.06278139,-0.0881549,0.6992735,0.7066143,272.1402,280.008,247.7364,1.886409,0.8134875,-2.258359,0.09192241,-0.0658868,0.7007913,0.7043442,272.1293,75.82122,91.36283
2.688991,1.618556,0.8670744,-2.416267,0.1425099,-0.05329505,0.983418,0.09868915,347.9189,163.9853,355.5016,1,0,-1.64,0,0,1,0,0,180,0,0.9422067,0.9231108,-2.300317,0.0684768,0.03409054,0.9968376,-0.02153541,2.728507,172.2295,3.732015,1.974693,0.8175558,-2.219294,0.06284329,-0.0876647,0.6994342,0.7065108,272.0914,279.8027,247.9767,1.886355,0.8135801,-2.258493,0.09202878,-0.06599175,0.7009072,0.7042052,272.1265,76.36452,90.80232
2.800022,1.619256,0.8674879,-2.416137,0.1425101,-0.05328718,0.9834494,0.09837983,347.9543,163.9848,355.4977,1,0,-1.64,0,0,1,0,0,180,0,0.9429058,0.9238859,-2.302572,0.06869218,0.03471044,0.9968219,-0.02055985,2.622638,172.2031,3.809839,1.974449,0.8176084,-2.219336,0.06269156,-0.0876785,0.6991666,0.7067873,272.1167,280.8564,246.9342,1.886471,0.8134951,-2.25841,0.09202262,-0.06566376,0.7007378,0.7044051,272.1566,75.67636,91.51767
2.900194,1.619785,0.8675988,-2.415883,0.1426128,-0.05314814,0.9834603,0.09819734,347.9769,163.9708,355.5122,1.531326,0.8736058,-2.443041,-0.006344018,-0.1022653,0.9886441,0.1099288,347.5221,182.0559,347.9639,0.9436503,0.9241623,-2.302597,0.06792233,0.03423468,0.9968878,-0.02072001,2.634337,172.2908,3.756182,1.971627,0.8164885,-2.219524,0.06297766,-0.08784617,0.6984174,0.7074814,272.1449,283.9026,243.851,1.886699,0.8135642,-2.258451,0.09203157,-0.06581014,0.7008619,0.704267,272.1425,76.19171,90.98965
3.011213,1.620344,0.8679546,-2.415485,0.1425453,-0.05338458,0.9834354,0.09841631,347.9485,163.9818,355.4875,1.530007,0.8732457,-2.443715,-0.006596657,-0.100226,0.9887789,0.1105786,347.4464,182.0673,348.1967,0.9442974,0.9239889,-2.30263,0.06729355,0.03363825,0.9969448,-0.02100214,2.659665,172.3624,3.687444,1.971236,0.8170776,-2.219158,0.06328562,-0.08787812,0.6976434,0.7082133,272.169,287.1211,240.6047,1.886615,0.8133955,-2.25851,0.09181328,-0.06575929,0.7007376,0.7044238,272.1323,75.54874,91.6546
3.122295,1.621827,0.8684403,-2.415106,0.1426147,-0.05315878,0.9834489,0.09830284,347.9647,163.9708,355.5127,1.524396,0.8709021,-2.445737,-0.006352695,-0.1001851,0.988687,0.1114482,347.3437,182.0494,348.2005,0.9418753,0.9237235,-2.3028,0.06660487,0.03286358,0.9970139,-0.02114343,2.667414,172.44,3.599534,1.970389,0.8164251,-2.218417,0.06275792,-0.08806254,0.6981429,0.707745,272.193,284.6565,243.0972,1.886914,0.8133969,-2.258533,0.09201001,-0.0658767,0.7004792,0.7046441,272.1441,74.53377,92.64395
3.233364,1.621251,0.8684314,-2.415248,0.1426996,-0.05324333,0.9834456,0.09816667,347.9785,163.9617,355.5018,1.522227,0.8698623,-2.446515,-0.006475855,-0.100396,0.9886321,0.1117379,347.3124,182.0701,348.1728,0.9427521,0.9236549,-2.302985,0.06702738,0.03385781,0.996968,-0.0203899,2.590363,172.3915,3.717851,1.96893,0.8166179,-2.218893,0.06306198,-0.08796372,0.6974309,0.7084319,272.2059,287.7032,240.0338,1.886445,0.813304,-2.258643,0.09233369,-0.06560535,0.7004808,0.7046255,272.1917,74.77198,92.40134
3.344231,1.619938,0.8674534,-2.415695,0.1426185,-0.05328084,0.9834245,0.09847574,347.943,163.9721,355.5013,1.521719,0.8695656,-2.446672,-0.006423831,-0.1004648,0.9885923,0.1120306,347.2784,182.0687,348.1639,0.9443102,0.9232113,-2.302568,0.06733932,0.03485221,0.9969266,-0.01970174,2.520465,172.3559,3.83604,1.970883,0.8185348,-2.218095,0.06307329,-0.08776616,0.6976944,0.7081959,272.1744,286.9156,240.8366,1.887027,0.8134665,-2.258528,0.09239972,-0.06562027,0.7005792,0.7045177,272.1934,75.21677,91.94996
3.45525,1.621084,0.8683573,-2.4153,0.1426604,-0.05326415,0.9834107,0.0985613,347.9333,163.967,355.5051,1.520006,0.868775,-2.447278,-0.006527622,-0.1005909,0.9885576,0.1122178,347.2584,182.0848,348.1469,0.9444323,0.922981,-2.302179,0.06717037,0.03473044,0.9969413,-0.01975269,2.524711,172.3751,3.822144,1.96869,0.8168079,-2.218721,0.06277414,-0.08780405,0.6983524,0.7075689,272.1614,284.1015,243.672,1.886987,0.8134245,-2.258696,0.09229182,-0.06571619,0.7007796,0.7043235,272.1725,75.98808,91.17968
3.566579,1.619912,0.8676639,-2.415703,0.1426291,-0.05318565,0.9833875,0.09887958,347.8984,163.9702,355.5187,1.518799,0.8683961,-2.447783,-0.006440376,-0.1008731,0.9885299,0.1122132,347.2585,182.0783,348.1149,0.9442475,0.9243712,-2.304551,0.06746726,0.03464304,0.9969196,-0.01998417,2.551639,172.3416,3.809651,1.969282,0.8176634,-2.218122,0.06297214,-0.08775136,0.698314,0.7075957,272.1443,284.4156,243.3461,1.88698,0.813543,-2.258677,0.09205148,-0.06548418,0.7007226,0.7044333,272.1735,75.65199,91.55428
3.677534,1.620002,0.8676566,-2.415771,0.1426067,-0.05319913,0.9834028,0.09875304,347.9128,163.9728,355.5149,1,0,-1.64,0,0,1,0,0,180,0,0.9448329,0.9231548,-2.303087,0.06716608,0.03393554,0.9969514,-0.02061699,2.617431,172.3766,3.724696,1.967849,0.8171816,-2.218512,0.06317654,-0.08786486,0.6980731,0.7078011,272.1502,285.3738,242.3619,1.887265,0.8133935,-2.258708,0.09196114,-0.06562961,0.7007868,0.7043676,272.1532,75.85679,91.34502
3.788622,1.619421,0.8676342,-2.41595,0.1426439,-0.05318478,0.9834108,0.09862776,347.9271,163.9681,355.515,1,0,-1.64,0,0,1,0,0,180,0,0.9436169,0.9233645,-2.303172,0.06672022,0.03293719,0.9970051,-0.02108078,2.661225,172.4267,3.608119,1.96705,0.8173265,-2.218174,0.06337029,-0.08774475,0.6977556,0.7081116,272.1461,286.8842,240.8456,1.887403,0.8133547,-2.25879,0.09190638,-0.06561776,0.7007655,0.7043971,272.1505,75.73837,91.46889
3.899623,1.618938,0.8674341,-2.416169,0.1426214,-0.05334144,0.9833854,0.09882836,347.9018,163.9729,355.4998,1,0,-1.64,0,0,1,0,0,180,0,0.9455686,0.9245584,-2.305345,0.06792443,0.0349592,0.996881,-0.01980949,2.535855,172.2893,3.845996,1.969082,0.8185043,-2.217667,0.06284235,-0.08783334,0.69855,0.7073642,272.1471,283.3102,244.4554,1.887421,0.8134209,-2.258725,0.091781,-0.06571778,0.7008541,0.704316,272.1305,76.03872,91.17066
4.010951,1.61903,0.8675399,-2.415923,0.1425872,-0.05329276,0.9833853,0.09890503,347.894,163.9764,355.5062,1,0,-1.64,0,0,1,0,0,180,0,0.9473197,0.9230974,-2.305963,0.06871335,0.03664539,0.9967971,-0.01819423,2.367446,172.1969,4.049366,1.96744,0.8171683,-2.217913,0.06249863,-0.08811849,0.6988139,0.7070984,272.1819,281.8044,245.9659,1.887738,0.8133712,-2.25881,0.0919027,-0.0655634,0.7008383,0.7043301,272.153,76.05429,91.1577
4.121559,1.618848,0.8673627,-2.416196,0.1425843,-0.05324916,0.9834114,0.09867246,347.9212,163.976,355.5076,1,0,-1.64,0,0,1,0,0,180,0,0.9499131,0.9223803,-2.305776,0.06918271,0.03744235,0.9967402,-0.01791492,2.343694,172.1438,4.141633,1.966533,0.8172826,-2.217972,0.06293234,-0.08813331,0.6982422,0.7076227,272.1791,284.2836,243.4501,1.887772,0.8132678,-2.258744,0.09183785,-0.06551221,0.7008988,0.7042832,272.1508,76.28484,90.93664
4.2326,1.619418,0.8674585,-2.415911,0.1425846,-0.053335,0.9834045,0.09869434,347.9174,163.977,355.498,1,0,-1.64,0,0,1,0,0,180,0,0.9483081,0.9196017,-2.303203,0.06842606,0.03617673,0.9968241,-0.01873052,2.423929,172.2308,3.992313,1.966765,0.818018,-2.217897,0.06309041,-0.08788723,0.6978772,0.7079992,272.1703,286.0757,241.6652,1.887798,0.8131786,-2.258866,0.09188365,-0.06556191,0.7008334,0.7043377,272.1515,76.02338,91.19027
4.333047,1.620157,0.8677708,-2.415555,0.1426353,-0.05325988,0.9833971,0.09873533,347.9137,163.9702,355.5079,1,0,-1.64,0,0,1,0,0,180,0,0.947276,0.9208431,-2.303137,0.06803767,0.0347495,0.9968796,-0.01986087,2.540545,172.2759,3.821314,1.965071,0.817038,-2.217793,0.06290261,-0.08809838,0.698044,0.7078252,272.19,285.0862,242.6528,1.887756,0.8131846,-2.258949,0.0920296,-0.06562743,0.700739,0.7044065,272.1598,75.68999,91.50643
4.443919,1.620828,0.8680735,-2.415396,0.1427312,-0.05317802,0.9834141,0.09847143,347.9446,163.9576,355.5145,1,0,-1.64,0,0,1,0,0,180,0,0.9472588,0.9225267,-2.30381,0.06789911,0.03405115,0.9968956,-0.02072354,2.633239,172.293,3.735204,1.964097,0.8162013,-2.218107,0.06326339,-0.08761886,0.6973436,0.7085426,272.1721,288.5681,239.1805,1.887621,0.8130549,-2.258985,0.09220862,-0.06550134,0.7007061,0.7044275,272.1851,75.66354,91.52849
4.55511,1.620943,0.8680155,-2.415309,0.1426711,-0.05318556,0.9833874,0.09882034,347.905,163.9651,355.5183,1,0,-1.64,0,0,1,0,0,180,0,0.9453297,0.9220209,-2.30349,0.06842653,0.03402356,0.9968573,-0.02087367,2.652158,172.2329,3.729512,1.958028,0.8109264,-2.220546,0.06368376,-0.08697181,0.697253,0.7086738,272.1017,290.0075,237.7598,1.888095,0.8135052,-2.258924,0.09210566,-0.06556994,0.7006949,0.7044457,272.1717,75.55206,91.64282
4.665798,1.620448,0.8680158,-2.415545,0.1425682,-0.05338937,0.9834018,0.09871555,347.9141,163.9796,355.4918,1,0,-1.64,0,0,1,0,0,180,0,0.9462776,0.9227822,-2.30368,0.06721978,0.03353749,0.9969676,-0.02030799,2.579272,172.3683,3.681289,1.961061,0.8132424,-2.219933,0.06365767,-0.08672997,0.6971736,0.7087839,272.0929,290.6068,237.1824,1.887957,0.8133708,-2.258879,0.09184872,-0.06551378,0.7006938,0.7044855,272.156,75.41708,91.80331
4.776736,1.619121,0.8674561,-2.41594,0.1425975,-0.05360346,0.9833652,0.09892248,347.887,163.979,355.4707,1,0,-1.64,0,0,1,0,0,180,0,0.9476759,0.923603,-2.305746,0.06679897,0.03557373,0.9969057,-0.02124747,2.700549,172.4253,3.908563,1.965479,0.8169305,-2.218409,0.06364381,-0.08703616,0.6974463,0.7084793,272.0957,289.1335,238.6318,1.887819,0.813233,-2.258945,0.09228262,-0.06559885,0.7006449,0.7044697,272.1844,75.43184,91.74622
4.887895,1.618732,0.8671454,-2.41608,0.1426263,-0.05358665,0.9833627,0.09891473,347.888,163.9754,355.4728,1,0,-1.64,0,0,1,0,0,180,0,0.9468404,0.9235358,-2.298986,0.07681893,0.03415765,0.996169,-0.02407283,3.050098,171.2792,3.695066,1.966813,0.8180465,-2.218003,0.06356712,-0.08717838,0.6976807,0.7082379,272.0957,287.9707,239.7893,1.887747,0.8130983,-2.25899,0.09218904,-0.06551592,0.7007147,0.7044201,272.1821,75.68729,91.50516
4.998989,1.620501,0.8680755,-2.415541,0.1424972,-0.05344981,0.9834257,0.09854779,347.9326,163.9884,355.4814,1,0,-1.64,0,0,1,0,0,180,0,0.9410897,0.9307444,-2.301836,0.05318911,-0.02252095,0.9967681,-0.05583218,6.252355,173.7309,357.0686,1.966553,0.8178342,-2.218058,0.0633879,-0.08704761,0.6977358,0.7082157,272.0968,287.7832,240.0021,1.887601,0.8131154,-2.259007,0.09234459,-0.06553864,0.7008976,0.7042156,272.1887,76.53282,90.64507
5.099166,1.620489,0.8678277,-2.415493,0.1425305,-0.05331588,0.9834167,0.09866108,347.9217,163.9831,355.499,1,0,-1.64,0,0,1,0,0,180,0,0.9366437,0.9526266,-2.290514,-0.001420095,-0.1670421,0.9832602,-0.07276165,8.254,178.7542,340.6267,1.966026,0.8174388,-2.2183,0.06323332,-0.08721688,0.6979625,0.7079853,272.1063,286.5722,241.2119,1.888101,0.8133042,-2.258898,0.09193186,-0.06575,0.7007567,0.7043902,272.1419,75.69605,91.49837
5.210304,1.619588,0.8677374,-2.415843,0.1424507,-0.05326792,0.983424,0.09873009,347.915,163.992,355.5046,1,0,-1.64,0,0,1,0,0,180,0,0.9216376,0.9773263,-2.269056,-0.03942771,-0.2388693,0.9683903,-0.06005876,7.767686,182.7577,332.4746,1.966087,0.8172295,-2.218349,0.06321366,-0.08766308,0.6982681,0.7076306,272.1213,284.8282,242.9211,1.888005,0.8132632,-2.258931,0.09192783,-0.06608474,0.7003579,0.7047559,272.1242,73.92564,93.24186
5.321066,1.620463,0.8682218,-2.415404,0.1426198,-0.0531229,0.9834121,0.0986831,347.9219,163.9703,355.5228,1,0,-1.64,0,0,1,0,0,180,0,0.9085329,1.0036,-2.228426,-0.06978312,-0.335149,0.9389648,-0.03392182,6.342887,186.2563,321.0605,1.965742,0.8171082,-2.218429,0.06321222,-0.08749261,0.698131,0.707787,272.1173,285.5685,242.1947,1.887938,0.8130219,-2.258963,0.09185105,-0.06626275,0.7003359,0.7047711,272.1045,73.74619,93.41307
5.432215,1.620207,0.8676469,-2.415509,0.1425319,-0.05311466,0.9834245,0.0986904,347.9216,163.9805,355.5227,1,0,-1.64,0,0,1,0,0,180,0,0.8948676,1.046401,-2.172845,-0.08699021,-0.3423296,0.9354874,-0.01031838,4.523275,188.9851,320.1567,1.966194,0.8179622,-2.21764,0.06317878,-0.0879663,0.6978196,0.7080383,272.1726,286.2676,241.4597,1.888281,0.8131154,-2.258992,0.09236072,-0.06824983,0.6994139,0.7054302,272.0136,69.46731,97.48851
5.543115,1.621605,0.8686441,-2.414937,0.1426438,-0.05318573,0.9834101,0.09863406,347.9264,163.9681,355.515,1,0,-1.64,0,0,1,0,0,180,0,0.8983636,1.092859,-2.092354,-0.08866235,-0.2985368,0.9498914,-0.02685133,5.966654,188.8146,325.5659,1.966274,0.8188206,-2.217119,0.06337998,-0.08801466,0.6974495,0.7083789,272.1838,287.7783,239.9286,1.888138,0.8131636,-2.258522,0.09315304,-0.06980753,0.7007653,0.7038306,271.9079,75.90183,90.8625
5.654394,1.621977,0.8685993,-2.414871,0.1425781,-0.05306307,0.9834219,0.09867753,347.9237,163.9745,355.5291,1,0,-1.64,0,0,1,0,0,180,0,0.9192418,1.132627,-1.997665,-0.09375539,-0.2560917,0.9586976,-0.08078268,11.70731,188.1249,330.9225,1.96554,0.8180969,-2.217316,0.06331314,-0.08803923,0.6973866,0.7084438,272.1948,287.9488,239.7616,1.88781,0.8129455,-2.258458,0.09347618,-0.0699737,0.7006515,0.7038845,271.9223,75.52984,91.19452
5.765459,1.621876,0.8687238,-2.414896,0.1424675,-0.05344822,0.9834346,0.09850215,347.938,163.9919,355.4805,1,0,-1.64,0,0,1,0,0,180,0,0.9815578,1.155349,-1.922108,-0.09925449,-0.2507201,0.9556565,-0.1183589,16.02108,187.7947,331.6977,1.963475,0.8174546,-2.217167,0.06331702,-0.08837988,0.6970283,0.7087535,272.2423,288.9128,238.7694,1.888258,0.8131915,-2.258244,0.09463207,-0.06886572,0.7009299,0.7035621,272.0986,77.52728,89.19279
5.872128,1.620925,0.8682163,-2.415398,0.1423129,-0.05343046,0.9834691,0.09839063,347.9517,164.0097,355.4789,1,0,-1.64,0,0,1,0,0,180,0,1.06945,1.154165,-1.86683,-0.08656418,-0.2520498,0.9528404,-0.1451644,18.67949,185.5601,331.2816,1.964076,0.8183809,-2.216714,0.0634001,-0.08844524,0.6966877,0.7090727,272.2642,290.1478,237.5222,1.888333,0.8133779,-2.258328,0.09425117,-0.06932165,0.7008538,0.7036443,272.0326,76.97019,89.74394
