TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,lshoulder_xPos,lshoulder_yPos,lshoulder_zPos,lshoulder_wQuat,lshoulder_xQuat,lshoulder_yQuat,lshoulder_zQuat,lshoulder_xrot,lshoulder_yrot,lshoulder_zrot,rshoulder_xPos,rshoulder_yPos,rshoulder_zPos,rshoulder_wQuat,rshoulder_xQuat,rshoulder_yQuat,rshoulder_zQuat,rshoulder_xrot,rshoulder_yrot,rshoulder_zrot
3.503119,1.623886,0.8680774,-2.411679,0.1582922,0.003191758,0.981698,0.1058412,348.0652,161.437,2.329895,1.7788,0.8272353,-2.569003,-0.1875424,-0.1544883,0.944779,0.2198952,339.0497,206.8856,336.3658,1.26892,0.8684371,-2.461534,-0.04091152,0.007284279,0.9987404,0.02812034,356.7458,184.6714,0.7029852,2.014352,0.8132482,-2.189911,0.1890099,-0.231351,0.6774701,0.6721504,273.4583,245.5388,259.8611,1.852269,0.8149785,-2.25028,-0.01257713,0.007888839,0.6869127,0.7265882,273.2377,354.0904,187.5687
3.525101,1.623991,0.8680685,-2.411389,0.1583655,0.003318169,0.9816998,0.1057118,348.0825,161.4277,2.342801,1.778995,0.8272496,-2.569006,-0.1875611,-0.1544238,0.9447702,0.2199624,339.041,206.8889,336.3704,1.268889,0.8683916,-2.461474,-0.04085739,0.007391665,0.9987413,0.02814134,356.743,184.6649,0.715375,2.014327,0.8138207,-2.190253,0.1890379,-0.231322,0.6773155,0.6723084,273.4506,245.9467,259.4534,1.852516,0.8150597,-2.25034,-0.01761631,0.01178836,0.6865467,0.7267767,273.2942,352.949,189.4347
3.547239,1.624025,0.8680645,-2.411326,0.1584495,0.003409165,0.9817009,0.1055725,348.1002,161.4176,2.351571,1.77904,0.8272268,-2.569045,-0.1875477,-0.1545114,0.9447693,0.2199163,339.0481,206.8874,336.3621,1.268883,0.8683678,-2.461414,-0.04092126,0.007347334,0.9987412,0.02806308,356.7521,184.6724,0.7104477,2.01454,0.8138474,-2.190121,0.1895108,-0.2311837,0.6770833,0.6724568,273.3978,246.3512,259.021,1.854253,0.814403,-2.251119,-0.02164439,0.01710156,0.684231,0.7287434,273.6261,355.7434,187.398
3.558707,1.624034,0.8680506,-2.411357,0.1584168,0.00338656,0.9817061,0.1055743,348.0995,161.4217,2.348606,1.779019,0.8272861,-2.569044,-0.1875383,-0.1545421,0.9447591,0.2199467,339.0454,206.8881,336.3575,1.26889,0.8683549,-2.461408,-0.04089944,0.007296268,0.9987404,0.02813676,356.7439,184.67,0.7043229,2.01456,0.8138624,-2.190133,0.1895206,-0.231135,0.6770729,0.6724811,273.393,246.3912,258.9843,1.85441,0.8142708,-2.251198,-0.02425024,0.01981491,0.6841238,0.7286934,273.6298,356.1034,187.4695
3.580559,1.624583,0.8683561,-2.411251,0.1584161,0.003376081,0.9817222,0.1054258,348.1162,161.4229,2.344498,1.779311,0.8273782,-2.569022,-0.1875201,-0.1545317,0.9447522,0.219999,339.0389,206.8876,336.3571,1.268887,0.8683895,-2.461483,-0.04089055,0.007412842,0.99874,0.02813502,356.7435,184.6686,0.7177238,2.014662,0.8132122,-2.189656,0.1890807,-0.2313044,0.6774103,0.6722069,273.4476,245.6736,259.7244,1.853517,0.8154788,-2.250765,-0.02812916,0.02555738,0.6839664,0.7285229,273.6169,358.8732,185.4801
3.602506,1.624852,0.8686154,-2.411042,0.1583514,0.003300573,0.9817273,0.1054771,348.1088,161.431,2.33603,1.779406,0.8275171,-2.568952,-0.1875285,-0.1545298,0.9447291,0.2200923,339.0289,206.892,336.3535,1.268987,0.868481,-2.461485,-0.04084459,0.007459859,0.9987414,0.02813568,356.7433,184.6632,0.7232608,2.014844,0.8135226,-2.18981,0.1890964,-0.2312957,0.6773366,0.6722797,273.4443,245.8654,259.532,1.852907,0.8156142,-2.250073,-0.03292614,0.0302087,0.6838986,0.7282074,273.5975,359.0504,186.0695
3.625133,1.625327,0.8687565,-2.41078,0.1583151,0.003369978,0.9817354,0.1054544,348.1125,161.4347,2.343115,1.779844,0.8276182,-2.568913,-0.1876216,-0.1545414,0.9446816,0.2202087,339.0187,206.9076,336.3456,1.268945,0.8684919,-2.461464,-0.0409089,0.00738351,0.9987399,0.02811835,356.7456,184.6708,0.7143787,2.014946,0.8134867,-2.189732,0.1889074,-0.2313296,0.677475,0.6721817,273.4645,245.5927,259.8177,1.853094,0.8152601,-2.250595,-0.03742302,0.03239886,0.6832789,0.7284778,273.6855,356.4886,189.1741
3.64695,1.625214,0.8686776,-2.410911,0.1583634,0.003435995,0.9817313,0.1054179,348.118,161.4284,2.350583,1.779994,0.8277166,-2.568959,-0.1876581,-0.1545256,0.9446856,0.2201712,339.0232,206.9103,336.3482,1.268891,0.868492,-2.46149,-0.04089339,0.007417745,0.9987396,0.02814213,356.7427,184.6689,0.7182437,2.014874,0.8129752,-2.189535,0.1886478,-0.2314932,0.6777017,0.6719698,273.5031,245.0892,260.329,1.853013,0.815406,-2.250664,-0.04272548,0.03765172,0.6829051,0.728284,273.7004,356.8802,189.6396
3.658298,1.625256,0.8686689,-2.410955,0.1583594,0.0034436,0.9817361,0.1053787,348.1227,161.4291,2.350642,1.780056,0.8277525,-2.568957,-0.1876405,-0.1545464,0.9446785,0.2202022,339.02,206.9098,336.3449,1.268946,0.8684749,-2.461454,-0.04091457,0.007416616,0.9987382,0.02815966,356.7407,184.6713,0.7179637,2.014817,0.8129455,-2.189496,0.1886535,-0.2315039,0.6777146,0.6719515,273.5038,245.0484,260.3683,1.852906,0.8154783,-2.250604,-0.04567369,0.04116813,0.6827769,0.7280349,273.686,357.8372,189.2076
3.669418,1.6254,0.8687928,-2.410865,0.1583288,0.003357593,0.9817402,0.1053892,348.1198,161.4336,2.34059,1.780412,0.8278639,-2.568861,-0.187643,-0.1545465,0.9446462,0.2203389,339.0051,206.9151,336.3395,1.268947,0.8684723,-2.461465,-0.04088167,0.007403263,0.9987382,0.0282133,356.7346,184.6676,0.7162918,2.014788,0.8134896,-2.189994,0.1887148,-0.2314153,0.6775887,0.6720917,273.489,245.3741,260.0452,1.852728,0.8155047,-2.250601,-0.04815163,0.04410553,0.6827132,0.7277629,273.6655,358.6101,188.8745
