TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
11.51204,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051678,1.243768,-1.498713,-0.737833,-0.0506944,0.6730132,-0.009268627,5.007366,275.1238,356.8605,2.047402,1.34754,-1.496118,0.3088023,-0.6146209,0.3259225,0.6485806,306.6433,273.0765,180.0068,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.079065,1.240797,-1.494272,-0.9722414,0.05606428,0.2271164,1.757624,0,0,0
11.5236,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051611,1.243736,-1.498703,-0.7378656,-0.05068391,0.6729757,-0.009444943,5.020276,275.1298,356.8765,2.047455,1.347506,-1.496193,0.3086884,-0.6146905,0.3259168,0.6485718,306.6539,273.06,180.0252,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.079107,1.240758,-1.494085,-0.9723155,0.05545787,0.2269785,1.746548,0,0,0
11.54529,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051456,1.243663,-1.498722,-0.7379736,-0.05079121,0.6728454,-0.009714798,5.050759,275.149,356.8918,2.049973,1.347362,-1.496774,0.3092642,-0.6146674,0.3260706,0.648242,306.5887,273.0508,179.9898,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078972,1.240718,-1.494228,-0.9722099,0.055457,0.2274247,1.713731,0,0,0
11.55662,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051383,1.243633,-1.498726,-0.7380243,-0.05082389,0.6727865,-0.009768276,5.057904,275.1579,356.8942,2.050016,1.347345,-1.496804,0.3091791,-0.6146589,0.3260546,0.6482987,306.5977,273.0542,179.9946,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.07887,1.240705,-1.494456,-0.9721068,0.05557954,0.2277838,1.709679,0,0,0
11.57861,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051384,1.243642,-1.498821,-0.7381775,-0.05090104,0.6726124,-0.009782985,5.066293,275.1841,356.8906,2.048489,1.347816,-1.496791,0.3090684,-0.6149971,0.3258471,0.6481349,306.6268,272.9981,180.0148,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.0789,1.240661,-1.4943,-0.9718402,0.05541724,0.2290011,1.733356,0,0,0
11.60081,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051242,1.243593,-1.498886,-0.7382177,-0.05105965,0.6725534,-0.009971564,5.094523,275.1916,356.8946,2.048494,1.347574,-1.496713,0.3088861,-0.6150814,0.3257,0.6482158,306.6566,272.9945,180.0206,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078748,1.240628,-1.494441,-0.9715577,0.05547563,0.2301776,1.730333,0,0,0
11.61208,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051367,1.24355,-1.498972,-0.7382029,-0.05104037,0.672567,-0.01025593,5.114819,275.1899,356.9201,2.047312,1.347221,-1.496604,0.308691,-0.6150517,0.3257477,0.648313,306.6694,272.9947,180.0428,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078674,1.240609,-1.494534,-0.9714327,0.05538084,0.2306936,1.737032,0,0,0
11.63428,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051272,1.243482,-1.499003,-0.7381038,-0.05110543,0.6726659,-0.01056368,5.143695,275.174,356.9404,2.04703,1.347101,-1.49644,0.3082243,-0.6156638,0.3255196,0.6480686,306.7319,272.8743,180.1265,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078686,1.240546,-1.494599,-0.9714665,0.05534401,0.2306064,1.861827,0,0,0
11.65637,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051284,1.243479,-1.4991,-0.7379987,-0.051031,0.6727839,-0.01075726,5.151886,275.1566,356.9618,2.046922,1.347116,-1.496562,0.3080828,-0.6158202,0.3255564,0.6479688,306.741,272.8322,180.164,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078732,1.240486,-1.494675,-0.9715174,0.05605854,0.2302292,1.834987,0,0,0
11.6677,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051255,1.243472,-1.499144,-0.7379902,-0.05095228,0.6728013,-0.010624,5.134857,275.1547,356.9565,2.046604,1.347401,-1.496606,0.3081607,-0.6159964,0.325497,0.6477941,306.7397,272.798,180.1686,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078707,1.240422,-1.49423,-0.9715762,0.05700129,0.229704,1.825656,0,0,0
11.68962,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051228,1.243475,-1.499307,-0.7378116,-0.05096526,0.6729944,-0.0107329,5.143581,275.1246,356.9634,2.046493,1.347387,-1.496653,0.3081516,-0.6160916,0.3254859,0.6477134,306.7415,272.7768,180.1791,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078604,1.240399,-1.494247,-0.9716085,0.05813549,0.2292974,1.864312,0,0,0
11.71191,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051162,1.243508,-1.499378,-0.7375622,-0.05100568,0.6732643,-0.01075133,5.147309,275.0822,356.9599,2.046499,1.347328,-1.496754,0.3080963,-0.616323,0.3252748,0.6476256,306.7661,272.7469,180.1806,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078499,1.240419,-1.494406,-0.971867,0.05619466,0.2286955,1.849638,0,0,0
11.73413,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051101,1.243536,-1.499389,-0.7373825,-0.05105585,0.6734573,-0.01075731,5.151214,275.0516,356.9551,2.046522,1.347178,-1.496798,0.3081872,-0.6163321,0.3252355,0.6475935,306.7617,272.7499,180.1672,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078454,1.240456,-1.494625,-0.9719402,0.05708144,0.2281333,1.876279,0,0,0
11.75624,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.051042,1.243531,-1.499422,-0.7374125,-0.05101449,0.67343,-0.0106027,5.135867,275.0562,356.9455,2.046501,1.347552,-1.49685,0.308188,-0.6163038,0.3249809,0.6477478,306.7852,272.7868,180.1261,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078345,1.240493,-1.49492,-0.9720361,0.05731685,0.2276999,1.876989,0,0,0
11.77863,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.050935,1.24353,-1.499396,-0.737337,-0.05100804,0.6735112,-0.01072565,5.144503,275.0437,356.9558,2.046494,1.347436,-1.49689,0.3082102,-0.6163335,0.3249813,0.6477088,306.7832,272.7798,180.1275,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078156,1.240565,-1.495638,-0.9721373,0.05667848,0.2274135,1.89384,0,0,0
11.80078,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.050776,1.243603,-1.499335,-0.7372379,-0.05087434,0.6736292,-0.01076022,5.135406,275.0269,356.9684,2.046505,1.347327,-1.496993,0.3080726,-0.616441,0.325099,0.6476128,306.7845,272.7397,180.1708,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.077971,1.240658,-1.495774,-0.9723928,0.05678068,0.2262684,1.869516,0,0,0
11.82297,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.050522,1.24356,-1.499283,-0.7373918,-0.05077286,0.6734681,-0.01078161,5.129155,275.0531,356.9792,2.046544,1.347274,-1.496931,0.3079606,-0.6164388,0.325132,0.6476517,306.7913,272.7357,180.1861,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.077831,1.24059,-1.495288,-0.9719098,0.05740901,0.2282371,1.701202,0,0,0
