TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot
8.619359,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.035905,1.653792,-2.137314,0.03020265,0.01050155,0.9974151,-0.06434939,7.411835,176.595,0.9858524
8.730768,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.03561,1.653564,-2.137681,0.02742498,0.01103849,0.9974517,-0.06493235,7.477638,176.9198,1.066767
8.841959,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.03446,1.652906,-2.138004,0.02254802,0.01010847,0.997387,-0.06788724,7.809252,177.4774,0.9891329
8.942189,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.032763,1.653003,-2.137712,0.0195205,0.00870501,0.9975139,-0.06715079,7.718582,177.8153,0.8525879
9.056263,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.030346,1.653002,-2.136862,0.01757431,0.007026318,0.9975859,-0.06681503,7.675038,178.0267,0.6747161
9.164509,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.027902,1.653406,-2.135392,0.01793926,0.004318964,0.997753,-0.06440919,7.393546,177.9635,0.364432
9.26463,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.026021,1.653638,-2.134029,0.01883713,0.003000908,0.9978539,-0.06263987,7.187913,177.8502,0.2095753
9.367159,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.024145,1.653787,-2.132554,0.02017119,0.002983737,0.9978518,-0.06225743,7.144246,177.6963,0.1988156
9.475527,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.02247,1.654182,-2.130694,0.02179268,0.00174298,0.9979401,-0.06031285,6.918258,177.5009,0.04905991
9.575495,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.020943,1.654634,-2.128903,0.02077156,7.02E-05,0.9981061,-0.05790389,6.637735,177.608,359.8693
9.677865,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.01975,1.655178,-2.127203,0.01987799,-0.000254346,0.9982541,-0.05562004,6.375025,177.7097,359.8432
9.786585,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.01891,1.655538,-2.12543,0.02088479,-0.000277285,0.9983022,-0.05437483,6.231935,177.5942,359.8372
9.897813,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.018305,1.655849,-2.124106,0.02121248,0.001945311,0.9983219,-0.05384945,6.177025,177.5705,0.09218172
10.00838,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.01773,1.656123,-2.123216,0.02038393,0.003748628,0.9983553,-0.05345306,6.135672,177.677,0.3057504
10.11962,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.017048,1.656229,-2.122843,0.01782453,0.006351355,0.9983646,-0.0539455,6.196636,177.9879,0.6200703
10.23027,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.017024,1.655853,-2.123672,0.01703914,0.008164032,0.9982942,-0.05524268,6.348469,178.0904,0.8311957
10.34097,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.017081,1.655868,-2.125722,0.01631263,0.008247658,0.9983308,-0.05478632,6.29565,178.1743,0.8462569
10.44128,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.017279,1.655387,-2.128652,0.01437782,0.009017205,0.9982302,-0.05699654,6.54887,178.4036,0.9437611
10.54161,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.017565,1.655097,-2.131977,0.01511907,0.009810324,0.9981166,-0.05863872,6.739373,178.3249,1.027626
10.65229,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.017467,1.655457,-2.135844,0.01526166,0.009542014,0.9982709,-0.05595917,6.431546,178.3044,1.000023
10.76324,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.017251,1.655612,-2.140319,0.01227785,0.008804955,0.9984242,-0.05404608,6.207993,178.6417,0.9368796
10.86329,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.016999,1.655315,-2.143651,0.009382816,0.008158607,0.9983957,-0.05524,6.341594,178.9718,0.8794296
10.97405,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.016649,1.655586,-2.146042,0.006994585,0.008054933,0.998533,-0.05308741,6.092375,179.2444,0.884151
11.07491,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.016699,1.65567,-2.147801,0.005859013,0.008442854,0.9985841,-0.05219468,5.989172,179.3766,0.9362183
11.17523,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.016969,1.65578,-2.149613,0.005437576,0.007590651,0.9986584,-0.05093374,5.843602,179.419,0.8413227
11.28578,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.017634,1.655749,-2.151392,0.005186949,0.007566232,0.9986619,-0.0508949,5.838922,179.4477,0.8400032
11.39728,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.018618,1.65575,-2.153004,0.00590348,0.007896918,0.9986915,-0.05018092,5.757814,179.3666,0.8742335
11.50757,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.019279,1.65576,-2.153877,0.005616068,0.008444532,0.9986907,-0.05014035,5.753236,179.4028,0.9389081
11.61875,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.019814,1.655759,-2.154351,0.005116818,0.009143209,0.9987046,-0.04979515,5.713538,179.4639,1.022313
11.72992,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.020849,1.655928,-2.154524,0.003991591,0.009380683,0.9987413,-0.04911171,5.634069,179.594,1.056292
11.8315,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.021538,1.656129,-2.154553,0.00151457,0.009450235,0.9988039,-0.04795101,5.498283,179.878,1.078324
11.94017,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.022118,1.656356,-2.154262,-0.001206181,0.009857353,0.9988453,-0.04700581,5.386819,180.192,1.139871
12.04074,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.023107,1.656476,-2.153511,-0.001324969,0.01003449,0.9988902,-0.04600126,5.271415,180.2054,1.160563
12.15473,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.02371,1.657027,-2.15229,-0.00188813,0.01059038,0.9989995,-0.04340961,4.973349,180.2698,1.226457
12.26431,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.024794,1.657431,-2.150611,-0.001290762,0.01150967,0.9990355,-0.042355,4.852942,180.2044,1.328786
12.37395,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.025244,1.657489,-2.148553,-0.000578075,0.01275579,0.9990346,-0.04203394,4.816912,180.1281,1.468425
12.47927,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.025955,1.657682,-2.146752,-0.000815114,0.01295623,0.9990517,-0.04155887,4.76205,180.1556,1.492468
12.58492,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.02663,1.658012,-2.143991,-0.002372934,0.01317323,0.9990932,-0.04042019,4.629064,180.3338,1.524314
12.69616,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.026986,1.658545,-2.140504,-0.002835167,0.01401344,0.9991861,-0.03772022,4.318436,180.3863,1.621589
12.79721,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.027323,1.658826,-2.137289,-0.002691741,0.01474828,0.9992184,-0.03657744,4.187368,180.371,1.704791
12.90709,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.027123,1.658897,-2.133727,-0.003919859,0.01434114,0.9992139,-0.03675218,4.205513,180.5106,1.663302
13.02214,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.026942,1.658792,-2.13037,-0.003391,0.01496893,0.9991403,-0.03851201,4.407887,180.4557,1.734197
13.132,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.026233,1.658334,-2.127873,-0.001649721,0.01593908,0.9990252,-0.04113357,4.711259,180.2649,1.839008
13.24113,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.025832,1.658509,-2.12585,-0.003783012,0.01495967,0.9990168,-0.0415634,4.757111,180.5061,1.736832
13.35067,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.025696,1.658499,-2.123472,-0.004248234,0.01598995,0.9989645,-0.04238129,4.849513,180.566,1.858023
13.46085,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.025846,1.658681,-2.120477,-0.005577873,0.01752973,0.9989068,-0.04297623,4.914147,180.7275,2.041969
13.56573,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.026248,1.658872,-2.11744,-0.004767652,0.01882499,0.9988962,-0.04277179,4.891531,180.6403,2.186665
13.67303,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.02602,1.659178,-2.113967,-0.003320717,0.01971463,0.9988981,-0.04246255,4.858808,180.4778,2.281599
13.77377,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.025113,1.658937,-2.11143,-0.000459739,0.01914798,0.9988807,-0.0432489,4.955579,180.1481,2.202793
13.8849,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.023594,1.659085,-2.108527,-0.000780924,0.01853135,0.9988944,-0.04319807,4.949155,180.1818,2.133499
13.99375,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.022642,1.659032,-2.105647,5.90E-06,0.0183113,0.9988759,-0.04372275,5.011024,180.0914,2.104447
14.10537,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.022056,1.659147,-2.102411,0.000814766,0.01819044,0.9989029,-0.04314656,4.946648,179.9967,2.086386
14.217,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.021889,1.659579,-2.099938,0.000450014,0.01724419,0.9989929,-0.04142077,4.748013,180.0304,1.979097
