TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot
8.872434,1,0,-1.64,0,0,1,0,0,180,0,1.553249,0.8467184,-2.458194,-0.02007698,-0.130451,0.9845376,0.1151745,347.2,184.0918,344.4454,1.355918,0.8285115,-2.503798,0.1955758,-0.008245721,0.9801044,0.03282554,356.1255,157.4366,359.8091,1.937835,0.7812307,-2.234456,0.1025303,-0.1298029,0.6978352,0.6968966,272.2112,258.5714,262.5137,1.834763,0.7817159,-2.256685,0.06426858,-0.0691082,0.6818436,0.7253847,273.5503,348.2433,180.9281
8.883697,1,0,-1.64,0,0,1,0,0,180,0,1.553251,0.8467309,-2.458168,-0.02014712,-0.1304695,0.9845323,0.1151871,347.1997,184.1004,344.4422,1.355396,0.8288221,-2.504315,0.1957398,-0.008105527,0.9800695,0.0329235,356.1176,157.4168,359.8278,1.937996,0.7813619,-2.234398,0.1025062,-0.1298187,0.6978155,0.6969169,272.2142,258.6585,262.4273,1.834806,0.7817211,-2.256647,0.06422003,-0.06905197,0.6818851,0.7253553,273.5444,348.2473,180.9326
8.905881,1,0,-1.64,0,0,1,0,0,180,0,1.554476,0.8473849,-2.457567,-0.01998582,-0.1302981,0.9845598,0.1151738,347.198,184.0793,344.4646,1.355329,0.8289385,-2.504218,0.1959219,-0.007937139,0.9800299,0.03305951,356.1061,157.3947,359.8505,1.938152,0.7815717,-2.234238,0.1025288,-0.1299163,0.6976839,0.6970271,272.2199,259.1643,261.9116,1.835127,0.7819059,-2.256688,0.0642102,-0.06924083,0.6817644,0.7254516,273.5639,348.0139,181.1514
8.928131,1,0,-1.64,0,0,1,0,0,180,0,1.553727,0.8471517,-2.458045,-0.01998469,-0.1301567,0.984572,0.1152297,347.191,184.0782,344.4808,1.355221,0.8290876,-2.504365,0.1961977,-0.007446724,0.9799652,0.03345439,356.0727,157.36,359.9157,1.937989,0.7813948,-2.234339,0.1023856,-0.1302325,0.697692,0.6969811,272.2571,259.0684,261.9931,1.835252,0.7818861,-2.256752,0.0641933,-0.06930274,0.6816393,0.7255648,273.5837,347.9459,181.2156
8.939355,1,0,-1.64,0,0,1,0,0,180,0,1.55378,0.8471677,-2.458054,-0.0199445,-0.1301725,0.9845691,0.1152434,347.1889,184.074,344.4793,1.355162,0.8290937,-2.504417,0.196121,-0.007500834,0.9799784,0.03350769,356.0655,157.3691,359.9105,1.938086,0.7814857,-2.234288,0.1023601,-0.1301884,0.6976585,0.6970266,272.2553,259.2328,261.8345,1.835314,0.7819036,-2.256734,0.06416272,-0.06935555,0.6815963,0.7256029,273.5911,347.85,181.3097
8.961347,1,0,-1.64,0,0,1,0,0,180,0,1.554659,0.8472252,-2.457681,-0.01930226,-0.1298718,0.984633,0.1151463,347.1888,183.9941,344.5237,1.356097,0.8295649,-2.504054,0.1964643,-0.006775742,0.9799026,0.03386524,356.0416,157.3257,0.001578872,1.938129,0.7814645,-2.234278,0.1023061,-0.1302821,0.6976752,0.6970002,272.2675,259.1497,261.9142,1.835338,0.7820705,-2.25657,0.06424353,-0.06937423,0.6816396,0.7255533,273.5829,347.9118,181.2398
8.983482,1,0,-1.64,0,0,1,0,0,180,0,1.554423,0.8472452,-2.457788,-0.01941,-0.1298709,0.9846539,0.1149498,347.2128,184.0033,344.5239,1.356368,0.8295298,-2.503839,0.1966141,-0.006328527,0.9798653,0.03415867,356.0187,157.306,0.05915426,1.938085,0.7814013,-2.234369,0.1022299,-0.1302456,0.6976757,0.6970178,272.2706,259.1915,261.8817,1.835544,0.782215,-2.256604,0.06424415,-0.069247,0.6815667,0.7256338,273.5942,348.104,181.0579
8.995442,1,0,-1.64,0,0,1,0,0,180,0,1.554629,0.8470712,-2.457523,-0.01911816,-0.1295512,0.9847168,0.1148213,347.2217,183.9631,344.5663,1.356374,0.8295417,-2.503836,0.1966061,-0.006356474,0.9798651,0.03420629,356.0128,157.307,0.05705317,1.938145,0.7814745,-2.234315,0.1022871,-0.1302736,0.6976666,0.6970133,272.2685,259.1958,261.8704,1.835615,0.7822858,-2.256573,0.06425592,-0.06931093,0.6815604,0.7256325,273.5951,348.0348,181.121
9.009652,1,0,-1.64,0,0,1,0,0,180,0,1.555033,0.8475062,-2.457637,-0.01890566,-0.1297106,0.9847342,0.1145264,347.2527,183.9357,344.5524,1.35675,0.8295274,-2.5035,0.1966709,-0.006044392,0.9798472,0.03440208,355.9978,157.2979,0.09687231,1.938033,0.7814724,-2.234283,0.102292,-0.1303037,0.6975798,0.6970938,272.27,259.5378,261.5255,1.835563,0.7824026,-2.256462,0.06416636,-0.06920939,0.6813931,0.7258074,273.6226,348.1077,181.0636
9.028336,1,0,-1.64,0,0,1,0,0,180,0,1.554551,0.847323,-2.457875,-0.01900334,-0.1298024,0.9847249,0.1144858,347.2592,183.9475,344.5407,1.356972,0.8295733,-2.503411,0.1967762,-0.005714889,0.9798303,0.03433935,356.0123,157.2844,0.1329672,1.937995,0.7814179,-2.234327,0.1021002,-0.130418,0.6976606,0.6970196,272.2953,259.2382,261.8315,1.835722,0.7823195,-2.256612,0.06411856,-0.0692162,0.6813193,0.7258801,273.6348,348.0612,181.1134
9.039869,1,0,-1.64,0,0,1,0,0,180,0,1.554616,0.8473136,-2.457885,-0.01901683,-0.1297681,0.9847324,0.1144584,347.2624,183.9481,344.5448,1.357052,0.8296506,-2.503525,0.1969575,-0.00533019,0.9797843,0.0346744,355.9833,157.2612,0.1845961,1.937855,0.7812704,-2.234462,0.1021032,-0.1304528,0.6976209,0.6970524,272.2977,259.3844,261.6821,1.835707,0.7823468,-2.256599,0.06409827,-0.0691984,0.68128,0.7259205,273.6413,348.0711,181.1065
9.061942,1,0,-1.64,0,0,1,0,0,180,0,1.555144,0.8475886,-2.457763,-0.01902571,-0.1296617,0.9847637,0.1143079,347.2793,183.9453,344.5583,1.357352,0.8297999,-2.503466,0.1970483,-0.004982798,0.9797554,0.03502106,355.9522,157.2486,0.2319302,1.937421,0.7808931,-2.234598,0.1021364,-0.1304752,0.6975956,0.6970687,272.2969,259.4658,261.5962,1.835732,0.7823647,-2.256569,0.06404129,-0.06904793,0.6811981,0.7260167,273.6548,348.2232,180.9713
9.074586,1,0,-1.64,0,0,1,0,0,180,0,1.555769,0.847921,-2.457566,-0.01891442,-0.1295302,0.9847955,0.1142018,347.2892,183.9289,344.576,1.357724,0.8292569,-2.503129,0.1967525,-0.005599136,0.9798246,0.03465357,355.9796,157.2862,0.1530133,1.937045,0.7806174,-2.234692,0.1021069,-0.1305325,0.6975753,0.6970826,272.3038,259.5367,261.5229,1.835683,0.7823045,-2.256598,0.06405351,-0.06896902,0.6811318,0.7260854,273.6647,348.3596,180.8402
9.095187,1,0,-1.64,0,0,1,0,0,180,0,1.557234,0.848456,-2.45699,-0.01875315,-0.1293611,0.9848648,0.113822,347.3293,183.9016,344.6008,1.357567,0.828917,-2.503279,0.1965706,-0.006136995,0.9798728,0.03422909,356.0151,157.3103,0.08212695,1.937378,0.7808383,-2.234567,0.1019779,-0.1305236,0.697349,0.6973296,272.3132,260.4966,260.5743,1.835958,0.7825311,-2.256493,0.06414653,-0.06896249,0.6812086,0.7260057,273.6514,348.4604,180.7325
9.1167,1,0,-1.64,0,0,1,0,0,180,0,1.556484,0.8484719,-2.457428,-0.01891936,-0.1297549,0.9848088,0.1138305,347.3325,183.9261,344.5523,1.357143,0.8290735,-2.503694,0.1966166,-0.006073585,0.9798646,0.03421116,356.0186,157.3047,0.08904517,1.937487,0.780921,-2.234629,0.1019242,-0.1306448,0.6973334,0.6973303,272.3273,260.5265,260.5388,1.836144,0.7826214,-2.256414,0.06414627,-0.06895301,0.6810633,0.7261429,273.674,348.5105,180.6831
9.128042,1,0,-1.64,0,0,1,0,0,180,0,1.556573,0.8485203,-2.457448,-0.01888616,-0.1297413,0.9848166,0.1137841,347.3372,183.9214,344.5547,1.356764,0.8292457,-2.503831,0.1967989,-0.005957282,0.9798219,0.03440716,355.9992,157.2825,0.107315,1.937221,0.7807761,-2.23464,0.1019818,-0.1305915,0.6973391,0.6973262,272.3184,260.5067,260.5583,1.836088,0.7825757,-2.256511,0.06411143,-0.06889138,0.681055,0.7261596,273.6757,348.5514,180.6501
9.149927,1,0,-1.64,0,0,1,0,0,180,0,1.55534,0.8482415,-2.45793,-0.01929641,-0.1301415,0.9847416,0.1139072,347.3311,183.9761,344.5015,1.356459,0.8294332,-2.503949,0.1970038,-0.005644262,0.9797732,0.03467199,355.9765,157.2569,0.1493851,1.93733,0.7810099,-2.234496,0.1019241,-0.1305795,0.6971965,0.6974794,272.3221,261.1008,259.9699,1.835972,0.7825557,-2.256459,0.06395692,-0.06901735,0.6811308,0.7260901,273.6665,348.18,181.0238
9.161549,1,0,-1.64,0,0,1,0,0,180,0,1.555358,0.8483044,-2.457958,-0.01929139,-0.1301746,0.9847372,0.1139083,347.3311,183.976,344.4977,1.356461,0.8294111,-2.503966,0.1969859,-0.005665675,0.9797734,0.03476463,355.9656,157.2589,0.149002,1.937255,0.7810193,-2.234457,0.1019444,-0.1305483,0.6971743,0.6975045,272.318,261.1973,259.8743,1.836057,0.7825857,-2.256401,0.06397796,-0.06901665,0.6811095,0.7261084,273.6696,348.2121,180.9901
9.173014,1,0,-1.64,0,0,1,0,0,180,0,1.556519,0.8482578,-2.456916,-0.01871425,-0.1299164,0.9847823,0.1139095,347.321,183.9059,344.5353,1.356938,0.8292208,-2.50353,0.1967261,-0.005953763,0.9798379,0.03436816,356.0036,157.2911,0.1065304,1.937186,0.7809463,-2.23445,0.1019871,-0.1306465,0.6970938,0.6975603,272.3227,261.4626,259.5974,1.835947,0.7824679,-2.256423,0.06408742,-0.06924677,0.6810891,0.726096,273.6714,348.0477,181.1268
9.194688,1,0,-1.64,0,0,1,0,0,180,0,1.555406,0.8479347,-2.457333,-0.01874269,-0.1299175,0.9847671,0.1140343,347.3072,183.9113,344.5339,1.356917,0.8295999,-2.503697,0.1968559,-0.005641254,0.9798064,0.03457322,355.9877,157.2744,0.1468774,1.936973,0.780651,-2.234611,0.1019854,-0.1306857,0.6971875,0.6974596,272.3257,261.0715,259.9854,1.835999,0.7824743,-2.256504,0.06419072,-0.06939366,0.6811537,0.7260122,273.6598,347.9612,181.193
9.217393,1,0,-1.64,0,0,1,0,0,180,0,1.555992,0.848251,-2.457154,-0.01873793,-0.1297901,0.9847977,0.113917,347.3199,183.9071,344.5498,1.356792,0.8295752,-2.503847,0.196978,-0.005504401,0.9797759,0.03476419,355.9693,157.2593,0.16711,1.93675,0.7806126,-2.234688,0.1020509,-0.1306391,0.6971818,0.6974643,272.3168,261.0939,259.9615,1.836018,0.7825767,-2.256443,0.06418521,-0.06931045,0.6811269,0.7260458,273.6639,348.0714,181.09
9.239495,1,0,-1.64,0,0,1,0,0,180,0,1.556103,0.8482659,-2.457118,-0.01874508,-0.1298146,0.9847974,0.11389,347.3232,183.9078,344.5471,1.356553,0.8295711,-2.503911,0.1971777,-0.005124199,0.9797327,0.03490868,355.9617,157.2342,0.2140007,1.936848,0.7805707,-2.23479,0.1020606,-0.1307412,0.6973062,0.6973195,272.3242,260.5497,260.4965,1.83584,0.7823683,-2.256385,0.06419735,-0.0693596,0.6811221,0.7260445,273.6646,348.0228,181.1335
