TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,locRayDirection_x,locRayDirection_y,locRayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
405.2401,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2476496,0.9626259,2.79877,0.2486036,-0.01687718,0.961851,0.112934,346.9593,150.8573,1.393108,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,1.870686,1.735791,-2.113655,-0.5464965,0.833897,0.06486874,-0.04182632,295.0394,199.4107,158.6767,B1,False,False,-0.2476496,0.9626259,2.79877,0.4744272,0.2256428,-0.8508844,0,0,1,0,2.924,2.2,-3
405.2513,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2476048,0.962622,2.798754,0.2486243,-0.01693024,0.9618477,0.1129091,346.9606,150.8556,1.386651,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,1.870553,1.735811,-2.113706,-0.5466218,0.8337673,0.06520418,-0.04225168,295.0416,199.5643,158.5305,B1,False,False,-0.2476048,0.962622,2.798754,0.4744543,0.2256213,-0.850875,0,0,1,0,2.924,2.2,-3
405.2733,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.247632,0.962639,2.798835,0.2485848,-0.016859,0.9618607,0.1128955,346.9641,150.8597,1.393743,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,1.870398,1.73585,-2.113686,-0.5466991,0.833623,0.06594673,-0.04293987,295.0663,199.8267,158.2635,B1,False,False,-0.247632,0.962639,2.798835,0.4744014,0.2255612,-0.8509204,0,0,1,0,2.924,2.2,-3
405.2846,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.247684,0.9626461,2.798843,0.2485981,-0.01692784,0.9618576,0.112882,346.9637,150.859,1.385744,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,1.870329,1.735852,-2.113661,-0.5468606,0.833503,0.06607603,-0.04301381,295.0504,199.8786,158.2071,B1,False,False,-0.247684,0.9626461,2.798843,0.4744103,0.2255693,-0.8509133,0,0,1,0,2.924,2.2,-3
405.3066,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2476674,0.9626244,2.798905,0.2485835,-0.01684997,0.9618596,0.1129087,346.9629,150.8596,1.395144,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,1.870204,1.735835,-2.11371,-0.5472997,0.8332579,0.06574316,-0.04268562,294.9778,199.8087,158.2776,B1,False,False,-0.2476674,0.9626244,2.798905,0.4743998,0.225582,-0.8509158,0,0,1,0,2.924,2.2,-3
405.329,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2476087,0.9625531,2.798962,0.2485935,-0.01687392,0.9618425,0.1130286,346.9489,150.8577,1.396187,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,1.870043,1.735817,-2.11367,-0.5475738,0.833132,0.06539632,-0.0421574,294.9211,199.6743,158.3972,B1,False,False,-0.2476087,0.9625531,2.798962,0.4744012,0.2258209,-0.8508516,0,0,1,0,2.924,2.2,-3
405.351,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2476202,0.9625878,2.798963,0.2485892,-0.01682386,0.9618521,0.1129647,346.9574,150.8581,1.39986,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,1.869962,1.735793,-2.11367,-0.547854,0.8329354,0.0655821,-0.0421155,294.8883,199.7218,158.3309,B1,False,False,-0.2476202,0.9625878,2.798963,0.4744111,0.2256752,-0.8508847,0,0,1,0,2.924,2.2,-3
405.3628,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2476218,0.9625871,2.798988,0.2485685,-0.0168827,0.961856,0.1129677,346.9554,150.8613,1.393016,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,1.869905,1.735795,-2.113635,-0.5479838,0.832828,0.06576821,-0.04225811,294.8796,199.7936,158.2555,B1,False,False,-0.2476218,0.9625871,2.798988,0.4743598,0.2257104,-0.850904,0,0,1,0,2.924,2.2,-3
405.3844,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2476504,0.962523,2.799042,0.24868,-0.01687985,0.9618303,0.1129416,346.9585,150.848,1.39409,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,1.869827,1.73576,-2.113605,-0.5483949,0.8325405,0.06587981,-0.04241825,294.8334,199.8903,158.163,B1,False,False,-0.2476504,0.962523,2.799042,0.4745631,0.2256567,-0.8508049,0,0,1,0,2.924,2.2,-3
405.3955,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2476461,0.9625673,2.799035,0.2485372,-0.0168088,0.9618765,0.1128737,346.9679,150.865,1.398102,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,1.869759,1.735859,-2.113515,-0.5487844,0.8323057,0.06578265,-0.04213813,294.7739,199.8582,158.1801,B1,False,False,-0.2476461,0.9625673,2.799035,0.4743297,0.2254963,-0.8509775,0,0,1,0,2.924,2.2,-3
