"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"27",189.1993,"1",NA,1,-0.0499875,0.0220647,-0.9977401,1.2652819,1.3364492,11.7843219,128.6301035,0.0400457,0.0229538,-0.9979339,1.3165858,1.3134251,12.2386926,105.4484669
"28",189.2214,"1",NA,1,-0.0540722,0.0226405,-0.9975142,1.2983064,1.5710802,17.0222905,189.371676,0.0442056,0.0236744,-0.9977414,1.3579242,1.5523227,17.3537377,188.9467207
"29",189.2436,"1",NA,1,-0.0589588,0.0229296,-0.9972306,1.3148914,1.8518199,20.1687231,177.2177946,0.0491525,0.0241393,-0.9974988,1.3845964,1.8364669,20.604782,188.3216821
"30",189.2656,"1",NA,1,-0.0646694,0.0231038,-0.9968726,1.3248798,2.1799926,24.8482197,289.2468227,0.0550371,0.0244952,-0.9971828,1.4050186,2.1745518,25.6691804,304.4821591
"31",189.2876,"1",NA,1,-0.0722595,0.023396,-0.9963443,1.3416434,2.6163786,32.8955833,377.4197467,0.0628873,0.0250088,-0.9967058,1.4344797,2.6257535,34.001997,382.0796269
"32",189.3102,"1",NA,1,-0.082717,0.0238259,-0.9955206,1.366299,3.2180354,41.6881187,279.1041422,0.0736538,0.0257318,-0.9959496,1.4759597,3.244973,42.7119209,276.8488928
"33",189.3322,"1",NA,1,-0.0939357,0.0240611,-0.994519,1.3797895,3.8640566,45.4095957,247.4943126,0.0850246,0.0263142,-0.9950281,1.5093752,3.8994826,46.4145852,265.1204769
"34",189.3548,"1",NA,1,-0.1068235,0.0244447,-0.993208,1.4017909,4.6070763,52.7733668,332.6602187,0.0983737,0.026967,-0.9937797,1.5468291,4.6687163,54.5943847,352.2614169
"35",189.3766,"1",NA,1,-0.1213785,0.0250752,-0.9915186,1.4379523,5.4475262,60.1742457,340.9446755,0.1133879,0.0278692,-0.9921538,1.5985942,5.5351942,62.0627334,344.9709987
"36",189.3987,"1",NA,1,-0.1380888,0.0253938,-0.9893219,1.4562264,6.4142475,67.7412745,774.5346067,0.1306124,0.0284471,-0.990017,1.631752,6.5310545,69.7393274,787.2762234
"37",189.4205,"1",NA,1,-0.1558942,0.0260812,-0.9866549,1.4956553,7.4469501,94.0466744,-781.1286665,0.1489268,0.0293531,-0.9874015,1.6837336,7.5925577,96.4921839,-810.5061924
"38",189.4318,"1",NA,1,-0.1654746,0.0263709,-0.9850856,1.5122736,8.0038036,62.7577987,-516.8907878,0.1586959,0.0297861,-0.9858656,1.7085802,8.1599752,64.3074376,-509.8262961
"39",189.454,"1",NA,1,-0.1849617,0.0269499,-0.9815975,1.5454844,9.1393683,101.2780283,-632.2253928,0.1788259,0.0304308,-0.982394,1.7455711,9.3320886,104.9013596,-617.731302
"40",189.4654,"1",NA,1,-0.1950592,0.0274123,-0.9796281,1.5720073,9.7294857,67.0826309,-601.6434929,0.1894012,0.030779,-0.9803991,1.7655483,9.9496077,69.9715584,-605.6840314
"41",189.4874,"1",NA,1,-0.2158951,0.02807,-0.9752293,1.6097374,10.9510337,106.601435,-185.2321904,0.2110811,0.0311996,-0.9759477,1.789684,11.2195895,110.7298493,-200.4503094
"42",189.4991,"1",NA,1,-0.2264862,0.028345,-0.9728163,1.6255111,11.5741396,81.2501832,-1583.7270527,0.2220799,0.0313205,-0.9735,1.79662,11.8661563,84.3633119,-1638.0778219
"43",189.5105,"1",NA,1,-0.2370394,0.0284451,-0.9702958,1.63125,12.1965294,69.8424261,-155.2345196,0.2330703,0.0312067,-0.970931,1.7900893,12.5138019,72.7056099,-151.8175954
"44",189.5323,"1",NA,1,-0.2578669,0.0290895,-0.9649504,1.6682161,13.4300095,84.8890348,320.9533364,0.2547915,0.0312767,-0.9654562,1.7941096,13.7992002,88.3791613,333.9567763
"45",189.5546,"1",NA,1,-0.2795257,0.0298928,-0.9588758,1.714297,14.7204257,83.8118392,-52.8634348,0.2773549,0.031349,-0.9592153,1.7982545,15.1425609,87.240597,-65.9763822
"46",189.5777,"1",NA,1,-0.3003038,0.0296581,-0.9525801,1.7008358,15.9659028,82.4853879,-66.4603068,0.2990051,0.030256,-0.9527241,1.7355427,16.4395181,85.3718978,-207.9425278
"47",189.5996,"1",NA,1,-0.3199379,0.0272889,-0.9462378,1.5649301,17.1494905,80.8319712,12.0910024,0.3189739,0.0275689,-0.9463077,1.581363,17.6429792,78.035639,-319.3666322
