"","Time","Phase","GFO","Movement","pitch2","yaw2","V2","V2a"
"1",91.55557,1,"B5",NA,3.2659864,-0.5865276,6.7201774,-31.385498
"2",91.57767,1,"B5",NA,3.18012,-0.5668168,2.88969073680622,-28.2501156
"3",91.59975,1,"B5",NA,3.1251251,-0.5388233,1.83146281461018,-0.236771867032164
"4",91.61104,1,"B5",NA,3.0958943,-0.531893,2.36721221425814,20.0181460570741
"5",91.63338,1,"B5",NA,3.0604461,-0.4991374,2.20151300771152,-9.25238577978292
"6",91.6553,1,"B5",NA,3.0395484,-0.4643783,1.95847241725222,-0.0897796259350336
"7",91.67757,1,"B5",NA,3.0147537,-0.4318335,2.20139488953477,-10.7415493536641
"8",91.70004,1,"B5",NA,2.9918408,-0.3910692,1.47356557751347,-18.9840707250808
"9",91.72222,1,"B5",NA,2.9689967,-0.3774868,1.34986807645661,-0.449668317480034
"10",91.74445,1,"B5",NA,2.9933161,-0.3538848,1.45385217330923,-11.4781906701276
"11",91.76677,1,"B5",NA,3.0191135,-0.332054,0.837060656695964,-14.1958697260593
"12",91.78881,1,"B5",NA,3.0526701,-0.3345478,0.820360707798522,31.3938018956981
"13",91.81067,1,"B5",NA,3.1350073,-0.3327858,2.20946128760872,28.1128532834935
"14",91.83308,1,"B5",NA,3.2160312,-0.3224621,2.04542886886821,-28.1186649088514
"15",91.855,1,"B5",NA,3.2547279,-0.3155476,0.973152410008631,-41.184912490344
"16",91.8772,1,"B5",NA,3.2553494,-0.3131461,0.230515716362304,1.07539035355986
"17",91.88845,1,"B5",NA,3.2665264,-0.3159247,0.63104816163835,6.99909325774798
"18",91.91064,1,"B5",NA,3.27084,-0.3196645,0.151639923913111,0.47481540858192
"19",91.92192,1,"B5",NA,3.279476,-0.3192976,0.406052747432549,51.4231633542482
"20",91.93324,1,"B5",NA,3.2882126,-0.3189309,1.31495816912005,41.6791108869134
"21",91.95551,1,"B5",NA,3.2446123,-0.3481807,1.38324296404929,-25.2725150178782
