"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"21",21,134.3376,1,NA,1,0.219364706,5.226145098,3.611970588,-0.1553767,0.0089044,-0.9868212,0.510691,7.5560564,74.1710389271788,-399.351717098232,0.1852235,0.0039627,-0.9825277,0.2270798,7.9573517,113.629528417886,217.800558779214
"22",22,134.3597,1,NA,1,0.633464706,7.962645098,2.825370588,-0.177198,0.0203196,-0.9829675,1.1654494,8.8270684,67.2497139934121,-386.480606698082,0.2218026,0.0109915,-0.9748676,0.6298767,10.0991739,118.00294480198,124.934014088149
"23",23,134.3823,1,NA,1,0.932164706,11.0808451,1.605370588,-0.1962436,0.031593,-0.9790442,1.8122251,9.9425941,56.858706566285,-340.515160260636,0.2589703,0.0160838,-0.9655878,0.9217178,12.2947811,119.17759978263,-92.1813930847462
"24",24,134.4043,1,NA,1,1.262664706,14.5565451,-0.103329412,-0.2111665,0.0456508,-0.9753779,2.6190798,10.8240402,51.9911794881298,-206.175229953599,0.2955347,0.0220521,-0.9549121,1.2637966,14.4781143,113.978149036705,-433.482783818181
"25",25,134.4263,1,NA,1,1.389364706,17.7337451,-1.681929412,-0.2241692,0.0569306,-0.9718767,3.2668592,11.5966522,47.7869964483239,-203.219261658711,0.3283871,0.024828,-0.9440496,1.4229099,16.4615982,100.104357294631,-495.366875495252
"26",26,134.4489,1,NA,1,1.158064706,20.3175451,-2.780229412,-0.2375662,0.0615488,-0.9684065,3.532189,12.3916064,42.9203283986046,-276.658069740833,0.357158,0.0214082,-0.9336295,1.2268853,18.215642,91.9659424027417,-269.099250866582
"27",27,134.4708,1,NA,1,0.816564706,22.6825451,-3.742129412,-0.2502599,0.0645135,-0.9650105,3.7025601,13.1466576,35.5186354877124,-587.920332699661,0.3837526,0.0161457,-0.9231237,0.9252647,19.8545826,88.0657353091366,-295.168129633414
"28",28,134.4929,1,NA,1,0.551564706,25.1858451,-4.988229412,-0.2595431,0.0701558,-0.9621605,4.0268973,13.7044382,17.0018450623374,-895.590347047549,0.4088143,0.0126308,-0.9123571,0.7238257,21.4178705,78.9551294025711,-4.08963426778865
"29",29,134.5043,1,NA,1,0.220664706,26.7550451,-6.144429412,-0.2588669,0.0715245,-0.9622419,4.1055916,13.6656805,6.13403269938799,-218.124118058485,0.4199179,0.0081108,-0.9073518,0.4647909,22.1158612,83.5614743084579,213.376402077396
"30",30,134.5263,1,NA,1,-0.431135294,30.2381451,-8.669629412,-0.25756,0.0773195,-0.9621443,4.4388749,13.5945374,17.5095427315382,275.306773618134,0.4448516,0.0002221,-0.8954279,0.0127277,23.6997364,84.0605984621939,-297.686635433005
"31",31,134.5379,1,NA,1,-0.779935294,32.0880451,-10.11582941,-0.2547911,0.0811525,-0.9625658,4.6594022,13.4343557,17.898663680707,32.566063639445,0.4567628,-0.0034002,-0.8894045,-0.194849,24.4646291,76.8910939663504,-571.847151111795
"32",32,134.5596,1,NA,1,-1.213235294,35.0800451,-12.36262941,-0.2514148,0.0905151,-0.9626187,5.198359,13.2456136,18.5841063084384,-84.6800460523273,0.4769894,-0.0064709,-0.8787055,-0.3708183,25.775918,65.4848455011769,-539.374413699233
"33",33,134.5819,1,NA,1,-1.472635294,37.5733451,-14.22752941,-0.2482896,0.1008709,-0.9624004,5.7950331,13.0744854,14.1029812960516,-56.0912280970483,0.4938273,-0.0066727,-0.8693528,-0.3823815,26.8797109,53.1503752572681,-501.165409579194
"34",34,134.604,1,NA,1,-1.598335294,39.3565451,-15.43362941,-0.2479589,0.1096933,-0.9615201,6.3038506,13.0686945,16.0646845645561,128.874016381778,0.5072383,-0.0057871,-0.8616031,-0.33163,27.7673372,43.2227113462505,-526.772494889678
"35",35,134.6265,1,NA,1,-1.788035294,40.5899451,-16.10572941,-0.2502511,0.1145326,-0.9603613,6.5831598,13.2135456,19.8668060917188,191.986953947463,0.5182485,-0.0072254,-0.8550149,-0.4140562,28.5026251,29.6252992118682,-641.207852626874
