"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","FocusedObject","RayDirection_x","RayDirection_y","RayDirection_z"
"21",50.80974,"1",NA,1,-0.0256825,-0.0109225,0.9993469,-0.6259877,0.6736297,7.5361793,-257.8592401,-0.0126178,0.0110733,0.9995608,0.6346574,-1.443871,14.9567765,-119.5455588,"B6","-0.4952066","-0.1508465","-0.8555592"
"22",50.83219,"1",NA,1,-0.0272892,-0.0095595,0.9993183,-0.5478706,0.7657276,10.4334158,11.055472,-0.017237,0.009694,0.9995062,0.5556018,-1.7086388,25.0685376,-29.2207713,"B6","-0.4918886","-0.159981","-0.8558201"
"23",50.84378,"1",NA,1,-0.0285123,-0.0095931,0.9992839,-0.5497968,0.8358534,9.1939591,25.8070033,-0.020138,0.0097151,0.9994517,0.5568069,-1.87494,19.170919,-100.5417806,"B6","-0.491368","-0.1603056","-0.8560618"
"24",50.86666,"1",NA,1,-0.0318663,-0.0077863,0.9991981,-0.4462415,1.0281443,12.8217184,101.5383597,-0.0266452,0.0078762,0.9993156,0.4514149,-2.2479846,26.2127081,244.9048992,"B6","-0.4950952","-0.1565239","-0.8546039"
"25",50.88924,"1",NA,1,-0.0345742,-0.0076406,0.9991094,-0.4378964,1.1834227,13.8269982,218.0477102,-0.0339576,0.0076477,0.9990956,0.4383158,-2.6672821,30.3231554,256.238066,"B6","-0.5021785","-0.1544936","-0.8508477"
"26",50.91206,"1",NA,1,-0.0400358,-0.0067191,0.9989118,-0.3850825,1.4966441,22.7627309,458.1574571,-0.0433399,0.006626,0.9987399,0.3797575,-3.2054123,37.863724,565.1270176,"B6","-0.5259336","-0.1359635","-0.8395725"
"27",50.93441,"1",NA,1,-0.0467967,-0.005953,0.998623,-0.3411725,1.8844808,34.4906766,-302.6744213,-0.0541264,0.0057129,0.9982191,0.327427,-3.8243526,55.7396384,-408.7287081,"B6","-0.5184853","-0.1478718","-0.8421904"
"28",50.94572,"1",NA,1,-0.0501227,-0.0057464,0.9984625,-0.3293352,2.0753228,21.7093684,-247.4829889,-0.0597866,0.0054046,0.9978978,0.3097534,-4.1492812,37.4482625,-247.8517743,"B6","-0.5195027","-0.147199","-0.8416837"
"29",50.96803,"1",NA,1,-0.0571102,-0.0066279,0.9980819,-0.3798529,2.4763813,35.8789662,-28.3054743,-0.072043,0.006012,0.9970844,0.3445679,-4.853291,62.470513,-38.0069231,"B6","-0.5226219","-0.1411844","-0.8407872"
"30",50.97953,"1",NA,1,-0.0607458,-0.0072711,0.9978631,-0.4167151,2.6851213,27.9240239,-454.9321552,-0.078441,0.0064863,0.9965985,0.3717515,-5.2210434,48.6982865,-812.2454789,"B6","-0.5171164","-0.1328238","-0.8455387"
"31",50.99068,"1",NA,1,-0.0642521,-0.0076689,0.9976402,-0.4395131,2.8864811,25.4918722,378.572145,-0.0846951,0.0067003,0.9960851,0.3840174,-5.5806972,43.9382841,546.5656341,"B6","-0.5242088","-0.1299717","-0.8415931"
"32",51.01301,"1",NA,1,-0.073461,-0.0085227,0.9969973,-0.4884513,3.4155597,47.2697515,-164.5810754,-0.1000087,0.0070605,0.9946618,0.4046583,-6.4621772,77.8807173,-298.3680159,"B6","-0.5172728","-0.1368541","-0.8447913"
"33",51.02467,"1",NA,1,-0.0785638,-0.0089379,0.996605,-0.5122483,3.7088787,32.0600203,-274.8311967,-0.1082347,0.0071786,0.9937995,0.4114285,-6.9362312,53.1991401,-275.7148399,"B6","-0.5192726","-0.1364248","-0.8436381"
