"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"542",143.991,"1","B5",NA,0.013455,-0.0754125,-0.9907134,-4.3525284,1.3257782,8.7647757,-150.7672302,0.034782,-0.0785676,-0.9893093,-4.5379144,1.5834807,8.8296772,-136.3614344
"543",144.0136,"1","B5",NA,0.0130192,-0.0766055,-0.9906276,-4.4215191,1.3509109,2.6987072,-120.7817377,0.0342635,-0.0797278,-0.9892345,-4.6050685,1.5536381,3.7469955,-88.187512
"544",144.0358,"1","B5",NA,0.0128373,-0.0761056,-0.9906686,-4.3926099,1.3614585,3.2947025,125.9853198,0.0331998,-0.0791189,-0.9893197,-4.5698258,1.491936,4.8241927,97.5613626
"545",144.058,"1","B5",NA,0.0133599,-0.0746851,-0.9907698,-4.3104616,1.3313188,8.2924554,195.1218128,0.0329602,-0.0776455,-0.9894444,-4.4845492,1.4778368,8.07872,154.8850754
"546",144.0799,"1","B5",NA,0.0141785,-0.071507,-0.9909928,-4.1267144,1.2841713,11.9085751,41.6746715,0.0335526,-0.074482,-0.9896677,-4.3014821,1.5116668,11.6521391,43.7704065
"547",144.1022,"1","B5",NA,0.0149878,-0.069055,-0.9911548,-3.9849721,1.2375345,10.0850979,-68.9785692,0.0332774,-0.0719551,-0.9898639,-4.1552879,1.4953667,9.9656122,-63.5415653
"548",144.1244,"1","B5",NA,0.0156723,-0.0665524,-0.9913153,-3.8403388,1.198123,8.8377496,-71.3200342,0.0330389,-0.0693878,-0.9900552,-4.0067866,1.481209,8.8233307,-67.914136
"549",144.147,"1","B5",NA,0.016064,-0.0648955,-0.991419,-3.7445884,1.1755866,6.8839071,24.1916788,0.0330154,-0.0677027,-0.9901726,-3.9093276,1.4796236,6.9164749,38.1693727
"550",144.1691,"1","B5",NA,0.0162713,-0.063035,-0.9915356,-3.6370894,1.1637207,9.8637952,-12.3791426,0.0325127,-0.0657774,-0.990319,-3.7979871,1.4502911,10.4682299,-23.9319906
"551",144.1805,"1","B5",NA,0.0162209,-0.0619559,-0.9916045,-3.5747404,1.1666971,8.0444139,-199.4900415,0.032341,-0.0646799,-0.9903969,-3.7345292,1.4402219,8.0904535,-222.630519
"552",144.1917,"1","B5",NA,0.016151,-0.0610111,-0.9916641,-3.5201586,1.1707915,5.3632993,-140.3979748,0.0323565,-0.0637376,-0.9904575,-3.680044,1.4410003,5.4395909,-144.9798786
"553",144.214,"1","B5",NA,0.0165747,-0.0596763,-0.9917384,-3.4430506,1.1463876,4.4398403,-51.3658725,0.0322677,-0.062369,-0.9905475,-3.6009206,1.4356994,4.2515451,-49.8735941
"554",144.2358,"1","B5",NA,0.0167738,-0.0591651,-0.9917656,-3.4135231,1.1349164,3.1030419,-36.5388899,0.0324451,-0.0618641,-0.9905734,-3.5717313,1.445903,3.2384644,-15.7467693
"555",144.2471,"1","B5",NA,0.0169757,-0.0587461,-0.9917871,-3.3893208,1.1232769,2.9701906,34.0866881,0.0322485,-0.0614141,-0.9906078,-3.545715,1.4344812,3.4077164,78.5184921
"556",144.2689,"1","B5",NA,0.0172668,-0.0579349,-0.9918298,-3.3424633,1.1065069,4.7126674,-38.6105147,0.0315196,-0.0605173,-0.9906864,-3.4938779,1.3922197,6.5046011,0.9682068
"557",144.2803,"1","B5",NA,0.0171956,-0.0573593,-0.9918645,-3.3092187,1.1106519,2.9211442,-91.0381744,0.0309728,-0.0598931,-0.9907416,-3.4577968,1.360525,4.9072044,-75.7559088
"558",144.3023,"1","B5",NA,0.0173902,-0.0568435,-0.9918908,-3.2794295,1.0994421,2.37279,-3.7644243,0.0298091,-0.0592597,-0.9908154,-3.4211822,1.2931656,4.6566398,-40.0930329
"559",144.3245,"1","B5",NA,0.0180071,-0.0563817,-0.9919061,-3.2527578,1.0638322,2.7589888,7.1471443,0.0290852,-0.0587006,-0.9908702,-3.3888659,1.251244,3.1293516,-44.1480331
"560",144.3468,"1","B5",NA,0.0187544,-0.056549,-0.9918828,-3.2624189,1.0206568,2.689813,24.4566579,0.0283987,-0.0587696,-0.990886,-3.3928544,1.2115588,2.6945172,20.1037519
"561",144.3698,"1","B5",NA,0.0188692,-0.0573546,-0.9918344,-3.3089462,1.0139737,3.8861665,118.7764872,0.0278914,-0.0595273,-0.9908552,-3.4366509,1.1822964,4.0677737,117.5804712
"562",144.3908,"1","B5",NA,0.0186832,-0.0586144,-0.9917643,-3.3817117,1.0246409,7.7824562,-20.4751165,0.0277661,-0.0607889,-0.9907821,-3.509577,1.1751763,7.7523106,-15.774976
"563",144.4019,"1","B5",NA,0.0185341,-0.0596352,-0.9917062,-3.440676,1.0331901,5.2684412,-176.8481265,0.0280168,-0.0618397,-0.99071,-3.5703227,1.1897822,5.4545652,-170.2245741
"564",144.4243,"1","B5",NA,0.0186185,-0.0606377,-0.9916438,-3.4985893,1.0282438,2.4189727,-71.783356,0.0279437,-0.0628328,-0.9906496,-3.6277323,1.1856547,2.4653959,-75.343956
