"","X","Time","Phase","GFO","Movement","pitch2","yaw2","V2","V2a"
"1",1,23.93103,1,"B5",NA,-2.1271747,0.0325387,1.0214747,-26.8386132
"2",2,23.95302,1,"B5",NA,-2.1405995,0.0442779,1.44691223700928,23.6084404
"3",3,23.97523,1,"B5",NA,-2.1584462,0.0769886,1.51128983718263,-5.62169789955543
"4",4,23.99748,1,"B5",NA,-2.1486247,0.0981472,1.19663073702986,6.23865987173101
"5",5,24.01961,1,"B5",NA,-2.1565596,0.1191919,1.78571588526195,67.2049825162083
"6",6,24.03079,1,"B5",NA,-2.1561344,0.1393913,2.99081550050441,57.8943443019708
"7",7,24.04213,1,"B5",NA,-2.1789382,0.1728648,3.08151310790906,-31.5774721932766
"8",8,24.06436,1,"B5",NA,-2.2281264,0.213598,1.4997825907916,-20.1577371276258
"9",9,24.08637,1,"B5",NA,-2.2728314,0.2116266,2.17851586621009,32.9227685817151
"10",10,24.09753,1,"B5",NA,-2.2902814,0.2299655,2.56920561144598,-1.74552670654254
"11",11,24.11961,1,"B5",NA,-2.322264,0.2747761,1.71914559161827,-34.1469794789047
"12",12,24.14165,1,"B5",NA,-2.3346739,0.2895025,1.06246679221182,-16.6482538745113
"13",13,24.16407,1,"B5",NA,-2.3413789,0.2696675,0.983959936150904,-12.9275640391505
"14",14,24.18619,1,"B5",NA,-2.3396216,0.2534939,0.489500865952148,3.21163413927825
"15",15,24.19757,1,"B5",NA,-2.3226691,0.2515343,0.816980309001044,16.2564889126963
"16",16,24.21958,1,"B5",NA,-2.2906027,0.2536255,0.899214629188662,6.38657958424123
"17",17,24.2417,1,"B5",NA,-2.2506494,0.248332,1.09911160501822,15.3561587730204
"18",18,24.26385,1,"B5",NA,-2.2012116,0.2542247,1.57922135481924,4.20347177126281
"19",19,24.28613,1,"B5",NA,-2.1598881,0.268572,1.28360050725974,-11.2298812594797
"20",20,24.3082,1,"B5",NA,-2.1217966,0.2779957,1.08074802358474,-0.695599851392872
"21",21,24.31945,1,"B5",NA,-2.1049871,0.2749448,1.16849940306541,2.80663335105597
"22",22,24.34166,1,"B5",NA,-2.0705879,0.2877978,1.11992933311792,3.9624513612816
"23",23,24.35326,1,"B5",NA,-2.049085,0.2926082,1.23722573335298,-4.57078631579641
"24",24,24.37485,1,"B5",NA,-2.0308205,0.3013854,0.821546311178662,-2.57717862677471
"25",25,24.38617,1,"B5",NA,-2.0307962,0.3070246,0.98114669707375,27.4311239244198
"26",26,24.40814,1,"B5",NA,-2.0297032,0.32977,1.87671582311533,1053.66448829295
"27",27,24.43055,1,"B5",NA,-2.0258677,0.3728234,48.1884532218803,423.799115263417
"28",28,24.44195,1,"B5",NA,-2.0190731,-0.3885246,34.2922240384691,-1365.9135827736
"29",29,24.46389,1,"B5",NA,-2.0196537,-0.4164012,1.10008236707167,-767.346390037499
"30",30,24.4861,1,"B5",NA,-2.0322524,-0.4309958,0.615169510198113,-9.26676328299758
"31",31,24.50861,1,"B5",NA,-2.0408631,-0.4367617,0.689442610098199,17.2575311483006
"32",32,24.53073,1,"B5",NA,-2.0699243,-0.4511284,1.37992951667336,33.7682529186621
"33",33,24.55304,1,"B5",NA,-2.094585,-0.4307103,2.1902511099288,1048.37969037066
"34",34,24.56459,1,"B5",NA,-2.1087114,-0.4066547,25.9883143643886,878.223799795663
"35",35,24.58608,1,"B5",NA,-2.1314148,0.3464656,19.4555525576708,-550.391920110356
"36",36,24.60822,1,"B5",NA,-2.1634953,0.286192,1.8145541472237,-381.658618928147
"37",37,24.63064,1,"B5",NA,-2.2199359,0.2775499,2.56508214251722,48.3160426284806
"38",38,24.65249,1,"B5",NA,-2.2680178,0.3174642,3.94504643030768,1060.81233551323
"39",39,24.66423,1,"B5",NA,-2.2808619,0.3592215,28.1114655721092,866.950865484685
"40",40,24.68591,1,"B5",NA,-2.3320618,-0.4456325,21.0748599552089,-523.937839752787
"41",41,24.70806,1,"B5",NA,-2.357717,-0.523168,5.05356561054163,-361.139051222502
"42",42,24.73041,1,"B5",NA,-2.3663804,-0.6246288,5.07660616551497,-17.6024359696259
"43",43,24.75264,1,"B5",NA,-2.3691733,-0.7126089,4.27108501500976,-74.5394196118102
"44",44,24.76381,1,"B5",NA,-2.3628623,-0.7488029,3.01062792344347,-88.539362768663
"45",45,24.78576,1,"B5",NA,-2.3126472,-0.7912075,1.60065528374339,-2.34542105491132
"46",46,24.79704,1,"B5",NA,-2.2674275,-0.7928588,2.27232077954257,19.1247679897552
"47",47,24.81956,1,"B5",NA,-2.1966943,-0.7843692,1.79275113074099,8.24372100697198
"48",48,24.84151,1,"B5",NA,-2.1452177,-0.7778185,2.62208182358627,54.0436567549221
"49",49,24.8637,1,"B5",NA,-2.0827623,-0.7326281,4.18214076484655,24.4289743176629
"50",50,24.88582,1,"B5",NA,-2.0307701,-0.6561395,3.70774096898113,-7.06554072582555
"51",51,24.90792,1,"B5",NA,-1.9823418,-0.6055958,3.86941493185747,39.4802082227644
"52",52,24.91912,1,"B5",NA,-1.9576623,-0.569392,4.67183728001948,5.20958176062603
"53",53,24.94143,1,"B5",NA,-1.9479321,-0.4837058,3.30589215858066,-51.9211377176271
"54",54,24.96341,1,"B5",NA,-1.9899149,-0.4410208,2.36917958858481,-43.9433454337909
"55",55,24.97485,1,"B5",NA,-2.0094794,-0.4247252,1.85128959395651,-25.9780962925722
"56",56,24.9969,1,"B5",NA,-2.0628644,-0.4016982,1.70386135003742,507.981922475744
"57",57,25.01909,1,"B5",NA,-2.1105893,-0.3896005,24.3964633657707,355.608115211077
"58",58,25.04131,1,"B5",NA,-2.1617725,0.3421687,17.4764064920224,-519.507345469118
"59",59,25.06345,1,"B5",NA,-2.1882794,0.311806,1.36776341218263,-380.286462479431
"60",60,25.08577,1,"B5",NA,-2.2087222,0.297364,0.63138338482529,-4.49803225825478
"61",61,25.09683,1,"B5",NA,-2.1948107,0.2962584,0.896777731280413,16.6444033246273
"62",62,25.11905,1,"B5",NA,-2.1709643,0.3046135,1.10326673489733,19.5631736697895
"63",63,25.13043,1,"B5",NA,-2.1439039,0.3132186,1.44277097351008,-1.75752571630191
"64",64,25.15236,1,"B5",NA,-2.1382632,0.307166,0.71143915106069,44.8406007950048
"65",65,25.17458,1,"B5",NA,-2.0344928,0.2907375,3.44515832749135,28.6286806453293
"66",66,25.19683,1,"B5",NA,-2.0113072,0.2567222,1.98172454980035,-4.99370165930376
"67",67,25.21903,1,"B5",NA,-1.91739,0.223548,3.22014935858761,74.6320091503281
"68",68,25.23005,1,"B5",NA,-1.8550567,0.2083247,4.25028922797085,10.7769449334458
"69",69,25.25225,1,"B5",NA,-1.7654799,0.1662868,2.65354918552834,-46.4375294491492
"70",70,25.27446,1,"B5",NA,-1.6711323,0.1529397,2.18825342211087,1.50075734475351
"71",71,25.28605,1,"B5",NA,-1.6182222,0.152233,2.46584952747515,18.4403297835977
"72",72,25.3077,1,"B5",NA,-1.5027619,0.1578382,2.74576915644597,-9.96987804796081
"73",73,25.32998,1,"B5",NA,-1.4182626,0.1554401,2.01344629439472,-38.7596046151971
"74",74,25.35225,1,"B5",NA,-1.379822,0.1517748,1.01908767619291,-42.1568323419185
"75",75,25.3745,1,"B5",NA,-1.3761872,0.1469883,0.136574252378888,-5.93949528926803
"76",76,25.39664,1,"B5",NA,-1.3745872,0.1470357,0.751723837070906,18.5382208715109
"77",77,25.41892,1,"B5",NA,-1.3757255,0.1695825,0.958747539641189,8.72159436197035
"78",78,25.44131,1,"B5",NA,-1.4063921,0.1838984,1.1412547227578,72.8190285091705
"79",79,25.46326,1,"B5",NA,-1.4825712,0.1719323,4.15908945486335,67.6472418434687
"80",80,25.48562,1,"B5",NA,-1.5838549,0.0959601,4.11006979985771,-37.3490023827485
"81",81,25.50782,1,"B5",NA,-1.6560245,0.0558086,2.50044298230734,-56.1315369190759
"82",82,25.53016,1,"B5",NA,-1.7223097,0.0355768,1.61226353006387,-10.8687417149713
"83",83,25.55228,1,"B5",NA,-1.7903517,0.0336641,2.01086322934314,0.814662622305217
"84",84,25.57434,1,"B5",NA,-1.8553685,0.0189315,1.64928763763436,0.632101691027781
"85",85,25.59692,1,"B5",NA,-1.9116705,0.0233476,2.04793202909387,5.40922397019695
"86",86,25.61894,1,"B5",NA,-1.9514336,0.0481788,1.89739652466616,-13.1739815019152
"87",87,25.64098,1,"B5",NA,-2.0086902,0.0741403,1.46735965065152,-22.5167173061834
"88",88,25.66325,1,"B5",NA,-2.0384806,0.0754362,0.898989616475878,-17.9038762930935
"89",89,25.68551,1,"B5",NA,-2.0587812,0.0826613,0.670023860285826,22.700038769645
"90",90,25.70768,1,"B5",NA,-2.0452965,0.0884935,1.90458359796318,30.1117562854204
"91",91,25.72977,1,"B5",NA,-2.039719,0.0393456,2.00481613700876,-23.0895269731525
"92",92,25.75237,1,"B5",NA,-2.0331177,0.0110526,0.858622873076636,-32.1734550889186
"93",93,25.77428,1,"B5",NA,-2.017245,0.0043641,0.559980938901088,-8.34376226263274
"94",94,25.79917,1,"B5",NA,-1.9986623,0.0102393,0.483888961985203,-0.106543578812181
"95",95,25.8178,1,"B5",NA,-1.9826551,0.0126732,0.536873488533673,17.5844265695207
"96",96,25.83993,1,"B5",NA,-1.9730781,0.0094707,1.25222153042673,17.4635368986065
"97",97,25.86215,1,"B5",NA,-1.983147,0.0416507,1.31004383542163,-13.9681983613321
"98",98,25.88446,1,"B5",NA,-2.0040979,0.0590449,0.628726315788458,-9.5937261965257
"99",99,25.90676,1,"B5",NA,-2.0416389,0.0596268,0.881858260449789,24.980035409041
"100",100,25.92869,1,"B5",NA,-2.0891469,0.0583853,1.7285506158929,14.1783996177436
"101",101,25.93994,1,"B5",NA,-2.1137852,0.0481233,1.61321490374746,6.16221788196322
"102",102,25.96206,1,"B5",NA,-2.1797398,0.0614807,2.11260706308172,-10.865957045697
"103",103,25.98437,1,"B5",NA,-2.21347,0.0801433,1.12408636554611,-35.8892039543349
"104",104,26.00695,1,"B5",NA,-2.2306671,0.0884506,0.503813884056464,-16.7666719096365
"105",105,26.02876,1,"B5",NA,-2.2419198,0.0909461,0.371572240889059,8.90893539619364
"106",106,26.05113,1,"B5",NA,-2.2630796,0.0943417,0.905795129160164,8.00384800878485
"107",107,26.07338,1,"B5",NA,-2.2758586,0.0809121,0.730609223663256,9.15140660542733
"108",108,26.09546,1,"B5",NA,-2.307851,0.0711064,1.30858274580258,6.76044938943998
"109",109,26.11775,1,"B5",NA,-2.3209457,0.053742,1.02649302666323,0.157824267126077
"110",110,26.13981,1,"B5",NA,-2.3360222,0.0369377,1.31263520166501,-1.62263161421302
"111",111,26.1622,1,"B5",NA,-2.3374298,0.0115767,0.949551124331898,-22.0928332484156
"112",112,26.17348,1,"B5",NA,-2.33592,0.0054776,0.6340572346673,-20.843533949701
"113",113,26.19572,1,"B5",NA,-2.3284242,0.0166603,0.328974442646559,7.02356420746633
"114",114,26.21853,1,"B5",NA,-2.2958042,0.0158116,0.962291352132583,64.1147287660179
"115",115,26.24055,1,"B5",NA,-2.2630119,0.0081194,3.17452135258698,103.967006388524
"116",116,26.25185,1,"B5",NA,-2.2654695,0.046628,4.38892596921412,19.2491259017366
"117",117,26.263,1,"B5",NA,-2.2463206,0.0889118,3.61989727546084,-82.2016431906558
"118",118,26.28511,1,"B5",NA,-2.2373881,0.1370145,1.50989347625042,-62.4827579619344
"119",119,26.30735,1,"B5",NA,-2.2041815,0.1243238,0.853070374715257,9.89156608641821
"120",120,26.32949,1,"B5",NA,-2.1326669,0.1260101,1.94493868127315,10.5933620820189
"121",121,26.34081,1,"B5",NA,-2.1049122,0.131284,1.62650910927817,-9.90002327448789
"122",122,26.3629,1,"B5",NA,-2.0399249,0.1431133,1.81051382353498,52.7438146718104
"123",123,26.37423,1,"B5",NA,-2.0038983,0.13806,2.91131232119477,25.2102554202244
"124",124,26.3962,1,"B5",NA,-1.9742251,0.0974862,1.88449286902109,-32.960298940962
"125",125,26.41844,1,"B5",NA,-1.9236187,0.0741956,1.45785730723603,-11.4410253050034
"126",126,26.44071,1,"B5",NA,-1.883761,0.0677262,1.37548509954657,26.878546641328
"127",127,26.46286,1,"B5",NA,-1.8130163,0.053038,2.64813306781494,36.3001532014957
"128",128,26.4851,1,"B5",NA,-1.7514485,0.0850289,2.98494488382971,-25.0442717732272
"129",129,26.50729,1,"B5",NA,-1.7035541,0.1297497,1.53742550732838,-39.0590823104486
"130",130,26.52984,1,"B5",NA,-1.6603254,0.1278069,1.24686413713267,-12.5126091161876
"131",131,26.55174,1,"B5",NA,-1.6197713,0.1189061,0.980997844863016,-10.8622861754387
"132",132,26.5738,1,"B5",NA,-1.5861618,0.1199377,0.769562473207638,-17.0382906196369
"133",133,26.58506,1,"B5",NA,-1.5780629,0.120056,0.493782302852307,10.4748443123155
"134",134,26.59636,1,"B5",NA,-1.5639207,0.1221992,1.00727363555542,22.6287184558293
"135",135,26.61887,1,"B5",NA,-1.5547881,0.1341168,1.0031256290081,-4.09873879205878
"136",136,26.64086,1,"B5",NA,-1.5727047,0.1132926,0.826915281028239,-13.1164851490512
"137",137,26.65202,1,"B5",NA,-1.5813879,0.1100999,0.623582685091467,-1.80216998448526
"138",138,26.67403,1,"B5",NA,-1.6077957,0.1166081,0.945268226583022,16.2489814410312
"139",139,26.69612,1,"B5",NA,-1.6273463,0.1268365,1.34029345102087,13.7046942522162
"140",140,26.71859,1,"B5",NA,-1.6493884,0.1001159,1.55436182252543,11.0174316841643
"141",141,26.74059,1,"B5",NA,-1.676078,0.0757365,1.82953806571188,-12.361663812237
"142",142,26.76278,1,"B5",NA,-1.684933,0.0441044,1.00337466043819,-17.9339200527667
"143",143,26.78508,1,"B5",NA,-1.7098801,0.0358033,1.03378067861317,-6.19660158823533
"144",144,26.8072,1,"B5",NA,-1.7211717,0.0219053,0.729482435917764,-9.47621833091762
"145",145,26.82922,1,"B5",NA,-1.7436981,0.0117933,0.615072353144623,14.1279232237607
"146",146,26.84061,1,"B5",NA,-1.758687,0.0126696,0.99608586483529,29.3024033480557
"147",147,26.86266,1,"B5",NA,-1.7672957,0.0021615,1.55071448349618,16.8372693564603
"148",148,26.88502,1,"B5",NA,-1.777717,0.0414574,1.741251050602,-10.5770388497791
"149",149,26.90706,1,"B5",NA,-1.7981772,0.0673954,1.08720543127847,-12.2555512954876
"150",150,26.92926,1,"B5",NA,-1.8105583,0.077999,1.20185263565455,23.7269775075345
"151",151,26.95157,1,"B5",NA,-1.809277,0.104335,2.1453350959313,29.1858542401094
"152",152,26.97365,1,"B5",NA,-1.8191465,0.1528727,2.50042658219962,-24.2561523646714
"153",153,26.99618,1,"B5",NA,-1.8311292,0.1968044,1.04511595150145,-33.9096382106176
"154",154,27.01811,1,"B5",NA,-1.8552662,0.1978756,0.97439324227401,7.48168609142086
"155",155,27.02932,1,"B5",NA,-1.8569258,0.1911612,1.17828410684398,4.62726378116084
"156",156,27.0516,1,"B5",NA,-1.8722439,0.1637553,0.979239614061871,-10.3852296866705
"157",157,27.07376,1,"B5",NA,-1.8956541,0.1551479,0.716938674207311,7.10585791925284
"158",158,27.0959,1,"B5",NA,-1.9094124,0.1503211,1.29365026902617,26.1388956494515
"159",159,27.10721,1,"B5",NA,-1.9213038,0.1348962,1.59030467500329,-0.160779977128234
"160",160,27.12918,1,"B5",NA,-1.9439231,0.1122374,1.00698029464565,-27.7766609891714
"161",161,27.15162,1,"B5",NA,-1.9518062,0.1034043,0.356167076498696,-0.226188191896341
"162",162,27.17365,1,"B5",NA,-1.983934,0.1062821,0.985123470564806,22.381294467968
"163",163,27.19582,1,"B5",NA,-1.9888311,0.0983491,1.34455667388157,32.5644458925889
"164",164,27.2181,1,"B5",NA,-1.9820457,0.1340894,2.43441179422664,13.0520132058348
"165",165,27.22937,1,"B5",NA,-1.9815095,0.1598776,2.17731749296831,-27.2863738878967
"166",166,27.25145,1,"B5",NA,-1.9770555,0.1921327,1.47604617964618,-26.9959484856271
"167",167,27.27354,1,"B5",NA,-1.9786031,0.1690557,0.984954093634759,-21.6625198080129
"168",168,27.29579,1,"B5",NA,-1.9809881,0.1545359,0.515621075521472,-4.49717115384835
"169",169,27.30716,1,"B5",NA,-1.9942062,0.15751,0.653189849143545,5.60321230054626
"170",170,27.32902,1,"B5",NA,-2.0005894,0.1592841,0.63367210698511,14.1469654146268
"171",171,27.35137,1,"B5",NA,-2.0226017,0.1440449,1.28599670059993,22.009792821367
"172",172,27.37345,1,"B5",NA,-2.0625631,0.122591,1.61350498930891,8.84302477944347
"173",173,27.38462,1,"B5",NA,-2.0924282,0.1133275,1.6453757541462,-6.28447652599807
"174",174,27.40684,1,"B5",NA,-2.13394,0.1056067,1.30269447725171,-10.6795558656327
"175",175,27.42912,1,"B5",NA,-2.1699978,0.0944978,1.17042007675445,5.8256442993446
"176",176,27.45134,1,"B5",NA,-2.2028047,0.0843262,1.56122989519146,-4.99513724028822
"177",177,27.47341,1,"B5",NA,-2.2214547,0.059721,0.952572949065461,-29.7531355310374
"178",178,27.49592,1,"B5",NA,-2.219885,0.0677783,0.233878262641392,-1.64063724894964
"179",179,27.51802,1,"B5",NA,-2.2233545,0.0693892,0.866966386329797,20.0231643129465
"180",180,27.54006,1,"B5",NA,-2.2123122,0.0937144,1.11821813684206,1.77635496035925
"181",181,27.56241,1,"B5",NA,-2.2085537,0.1099032,0.942835512828337,-4.22769835777184
"182",182,27.58454,1,"B5",NA,-2.1855257,0.1277747,0.929373846127397,6.44327679526312
"183",183,27.60672,1,"B5",NA,-2.1664071,0.1362684,1.2286896864384,6.99605935662791
"184",184,27.61821,1,"B5",NA,-2.1627947,0.1239663,1.2344032690843,-2.25980609846407
"185",185,27.6401,1,"B5",NA,-2.1276644,0.103025,1.12458381239132,-25.2687537944248
"186",186,27.65124,1,"B5",NA,-2.1145438,0.1000253,0.617483997383685,7.02540759831707
"187",187,27.67372,1,"B5",NA,-2.0983265,0.0995995,1.95665007896176,18.6776077187232
"188",188,27.69559,1,"B5",NA,-2.1075856,0.1489564,1.47078114039567,-10.198015922546
"189",189,27.71789,1,"B5",NA,-2.1327211,0.1591328,1.51137154748944,-12.3106918763823
"190",190,27.74002,1,"B5",NA,-2.135707,0.1308608,0.926219351543648,-10.2706811775236
"191",191,27.7513,1,"B5",NA,-2.1406903,0.126332,0.992773822148363,-1.62986392072216
"192",192,27.77351,1,"B5",NA,-2.1438556,0.1045245,0.789331402239269,6.76934693521151
"193",193,27.79565,1,"B5",NA,-2.1567181,0.0953427,1.29187930815878,26.7057701987885
"194",194,27.81788,1,"B5",NA,-2.1742288,0.0659488,1.97462706761101,10.2263684599634
"195",195,27.83994,1,"B5",NA,-2.2095937,0.0283535,1.74828787755466,-28.112075118332
"196",196,27.85116,1,"B5",NA,-2.2151061,0.0191755,1.23257193784809,-30.1274042640571
"197",197,27.87322,1,"B5",NA,-2.2242526,0.0427443,0.917316425882353,-12.1326926010911
"198",198,27.89577,1,"B5",NA,-2.2280262,0.0317643,0.692390003844573,25.6491966495929
"199",199,27.91781,1,"B5",NA,-2.2128351,0.0182071,2.04284598646965,19.9365013272033
"200",200,27.94015,1,"B5",NA,-2.2073474,0.0681545,1.56477099590324,-37.662180748851
"201",201,27.96222,1,"B5",NA,-2.2103039,0.0818924,0.374659340415366,-32.4233110355163
"202",202,27.98451,1,"B5",NA,-2.2051289,0.0801177,0.131203159410143,16.3315633632547
"203",203,28.00659,1,"B5",NA,-2.2093814,0.0798528,1.09356751330509,30.2234599268458
"204",204,28.01786,1,"B5",NA,-2.2004705,0.0957445,1.28359749442229,-12.9552148693192
"205",205,28.03981,1,"B5",NA,-2.1993665,0.1104981,0.344751930290693,-8.43194553927622
"206",206,28.05113,1,"B5",NA,-2.2020468,0.1103742,0.638031807927048,28.3018104256662
"207",207,28.07328,1,"B5",NA,-2.2052692,0.0941004,1.31793723154691,1.09347695896456
"208",208,28.0846,1,"B5",NA,-2.2081063,0.0789968,0.99522043949717,-24.2165420389939
"209",209,28.10647,1,"B5",NA,-2.2229319,0.0692099,0.559470890899605,8.04770127853036
"210",210,28.11777,1,"B5",NA,-2.2341378,0.0716602,0.966496168836484,11.6341561215054
"211",211,28.13988,1,"B5",NA,-2.255715,0.0860106,0.684557765344872,-9.73966247555532
"212",212,28.16202,1,"B5",NA,-2.2742098,0.0829251,0.535606463134626,-0.222109910499327
"213",213,28.18435,1,"B5",NA,-2.2875078,0.0793833,0.675916599949762,-3.38614423170099
"214",214,28.20646,1,"B5",NA,-2.2965674,0.0678836,0.387253531088743,-2.34531747606105
"215",215,28.22903,1,"B5",NA,-2.3108029,0.0696771,0.576054623158882,-0.0738381906594023
"216",216,28.25106,1,"B5",NA,-2.325531,0.0616329,0.388517393191574,9.77800347369298
"217",217,28.27329,1,"B5",NA,-2.3477062,0.0618729,1.01248721983233,16.5546043718709
"218",218,28.29529,1,"B5",NA,-2.3593947,0.0778552,1.12337581371979,9.45013173455108
"219",219,28.31774,1,"B5",NA,-2.3680171,0.099234,1.43452995892961,-10.7164942851496
"220",220,28.3398,1,"B5",NA,-2.3687007,0.1279707,0.65596943626575,0.940250431678024
"221",221,28.35107,1,"B5",NA,-2.3653037,0.1278997,1.07491322906565,14.4855703352742
"222",222,28.37295,1,"B5",NA,-2.3619248,0.0993031,0.895448620436622,-30.683808157857
"223",223,28.38419,1,"B5",NA,-2.3567245,0.0955292,0.297869583842758,25.6232174332497
"224",224,28.39551,1,NA,1,-2.3662669,0.095722,1.47981149470267,120.236530241713
"225",225,28.41764,1,NA,1,-2.3693925,0.1288413,4.49084653456738,111.876425201617
"226",226,28.43969,1,NA,1,-2.3811601,0.2454433,6.42444674456578,64.8735827290711
"227",227,28.45097,1,NA,1,-2.3825512,0.3055354,6.89883330296178,187.024012808805
"228",228,28.47301,1,NA,1,-2.4097756,0.4375205,14.2159475546788,529.245156002852
"229",229,28.49519,1,NA,1,-2.439589,0.7875382,30.3296694760965,716.441927104982
"230",230,28.51764,1,NA,1,-2.502486,1.4990579,46.1880356669604,557.225855664688
"231",231,28.53992,1,NA,1,-2.5030635,2.4531242,55.2797392282308,403.314089919431
"232",232,28.56203,1,NA,1,-2.5437838,3.5121462,64.0919558904066,432.562827910526
"233",233,28.58413,1,NA,1,-2.5832678,4.7662278,74.4030018467796,438.42882939962
"234",234,28.60638,1,NA,1,-2.6159511,6.2141806,83.5320543238731,337.545666079952
"235",235,28.62849,1,NA,1,-2.6585162,7.8084086,89.3867124299051,169.649516232766
"236",236,28.65081,1,NA,1,-2.696997,9.4915203,91.0496013923537,107.271558992993
"237",237,28.67334,1,NA,1,-2.759122,11.1909126,94.2047234174612,164.534685709461
"238",238,28.69587,1,NA,1,-2.7902603,12.9900308,98.4635343304219,56.2299812369541
"239",239,28.7177,1,NA,1,-2.8159467,14.7969974,96.7920443112302,-256.245669293527
"240",240,28.73969,1,NA,1,-2.8681701,16.519877,87.2061007524317,-438.881095550329
"241",241,28.76171,1,NA,1,-2.9197883,18.0150785,77.4767985488128,-358.68947463471
"242",242,28.78417,1,NA,1,-2.9724787,19.3969567,71.2881788601778,-277.92417349096
"243",243,28.80621,1,NA,1,-3.0169746,20.6593971,65.1101743442332,-299.943974584679
"244",244,28.82862,1,NA,1,-3.0297235,21.8146732,57.9484041511841,-370.309334786543
"245",245,28.85068,1,NA,1,-3.0479893,22.8183274,48.6602737684366,-560.317329080636
"246",246,28.86207,1,NA,1,-3.044513,23.2356543,40.6918844072434,-536.155043611058
"247",247,28.88393,1,NA,1,-3.030686,23.9272586,32.544337036275,-471.190966282321
"248",248,28.89531,1,NA,1,-3.027666,24.196382,26.0615260271126,-512.880847506845
"249",249,28.91735,1,NA,1,-3.006929,24.6401195,16.0092000125916,-347.553594221333
"250",250,28.93952,1,NA,1,-2.9947986,24.8260928,10.7102919634162,-303.248381468324
"251",251,28.95077,1,NA,1,-2.9994439,24.9296205,6.5760944743456,-223.051656295184
"252",252,28.97274,1,NA,1,-3.0301711,24.9908362,4.84883303761546,23.6497587581345
"253",253,28.99507,1,NA,1,-3.0890264,25.0947327,7.66059557336545,72.6583662495943
"254",254,29.0175,1,NA,1,-3.1592293,25.2529202,8.09569548668625,20.2278094547092
"255",255,29.03958,1,NA,1,-3.2631491,25.3852487,8.56064498216064,137.045349669447
"256",256,29.06159,1,NA,1,-3.4200633,25.5331166,14.1299058038035,216.763226474715
"257",257,29.08396,1,NA,1,-3.6333214,25.8251779,18.1675397811731,137.545875087327
"258",258,29.09515,1,NA,1,-3.7234133,25.9847662,19.2260970106984,48.5697439781275
"259",259,29.11727,1,NA,1,-3.9025843,26.330044,19.2823036355775,-44.8224419920461
"260",260,29.13944,1,NA,1,-4.1049084,26.6589198,17.2385428834383,-133.268715924659
"261",261,29.16157,1,NA,1,-4.2743691,26.925886,13.3801428339263,-224.626232693869
"262",262,29.17304,1,NA,1,-4.3441985,27.0270371,10.2270294629739,-137.406422053631
"263",263,29.19488,1,NA,1,-4.5063739,27.1774229,10.2289526949778,31.0842587043445
"264",264,29.2172,1,NA,1,-4.6370015,27.3404734,11.6145885027004,4.81673958227078
"265",265,29.2285,1,NA,1,-4.6633736,27.4512894,11.0219376493713,-34.19715062438
"266",266,29.25056,1,NA,1,-4.6565715,27.6379018,10.6701397022695,-18.0660001951772
"267",267,29.27276,1,NA,1,-4.6673497,27.8400161,10.2220398659363,-38.8750974065848
"268",268,29.29483,1,NA,1,-4.6808381,28.0167819,8.95156889469229,-165.545253553411
"269",269,29.30603,1,NA,1,-4.6845483,28.0949525,5.8880890111059,-201.810220567145
"270",270,29.32837,1,NA,1,-4.6361414,28.1706001,2.981756623963,-109.352942814363
"271",271,29.35053,1,NA,1,-4.6048383,28.2010519,1.01814940429832,-21.6576640499216
"272",272,29.3726,1,NA,1,-4.5424434,28.2020751,2.01781239373044,36.1783108418035
"273",273,29.38384,1,NA,1,-4.4958349,28.1924732,2.32198383000802,57.4154705557541
"274",274,29.40594,1,NA,1,-4.3948136,28.1860626,4.26168813197696,74.0549573892023
"275",275,29.41726,1,NA,1,-4.3260073,28.1545004,4.94474247141829,-34.620319575116
"276",276,29.4393,1,NA,1,-4.2512238,28.1045951,2.08877439927415,-86.917827894172
"277",277,29.46142,1,NA,1,-4.2399685,28.1030572,1.10986425566003,-10.8838170495901
"278",278,29.47287,1,NA,1,-4.2414047,28.116871,1.36733918267384,19.1599452887324
"279",279,29.49476,1,NA,1,-4.3102077,28.1404252,1.71392349550777,133.299936807355
"280",280,29.51713,1,"B6",NA,-4.4402127,28.1387542,7.32357851668898,158.498758136261
"281",281,29.5392,1,"B6",NA,-4.547726,28.000875,8.78528874251071,-61.6885295614975
"282",282,29.56141,1,"B6",NA,-4.5997892,27.8493482,4.57410174396119,-106.352134507264
"283",283,29.58368,1,"B6",NA,-4.6549415,27.8798076,4.05974113350775,-27.4522861926002
"284",284,29.6059,1,"B6",NA,-4.6251753,27.9629294,3.3529673170698,-11.8524506016008
"285",285,29.628,1,"B6",NA,-4.5633941,28.0056296,3.5320458566123,76.5768675217285
"286",286,29.64881,1,"B6",NA,-4.6450472,27.9516872,6.55054954404871,86.6013337689992
"287",287,29.67114,1,"B6",NA,-4.7497415,27.8190783,7.17918445950176,-81.8127989048313
"288",288,29.6933,1,"B6",NA,-4.7911011,27.7126502,2.92939214233801,-95.2599357921361
"289",289,29.71574,1,"B6",NA,-4.8393356,27.7014452,2.95761627801025,3.26310768886473
"290",290,29.73767,1,"B6",NA,-4.8418203,27.7589525,3.07315350320054,-27.4889873860694
"291",291,29.76022,1,"B6",NA,-4.8226759,27.8151045,1.71459650459955,-9.05680493426422
"292",292,29.78229,1,"B6",NA,-4.8424999,27.8026458,2.64446784695743,29.5915312180791
