"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",1,23.65882,1,"B5",NA,-1.216744164,-1.297413354,-0.18400673,-0.280039,-0.0224976,-0.9575047,-1.291877,-1.3364858,1.0798726,7.0307253,0.2737645,-0.0211312,-0.9580381,-1.21494,1.458962,1.8530619,NA
"2",2,23.67015,1,"B5",NA,-1.213444164,-1.259413354,-0.22350673,-0.2799455,-0.0224053,-0.9575343,-1.2865795,-1.3421162,0.747959358013593,3.3742987,0.2738125,-0.021126,-0.9580245,-1.214641,1.4560939,0.48019010681768,-30.2359166
"3",3,23.69181,1,"B5",NA,-1.239244164,-1.154613354,-0.32930673,-0.279735,-0.0227585,-0.9575875,-1.3068643,-1.3545771,1.11407731131686,22.2225091263084,0.2739898,-0.0217061,-0.9579608,-1.2479993,1.4452829,0.912663510993086,31.1442642410604
"4",4,23.70324,1,"B5",NA,-1.227544164,-1.201413354,-0.27850673,-0.2798885,-0.0225978,-0.9575464,-1.2976345,-1.3454518,1.42888312173301,31.6142804029646,0.2739635,-0.0214396,-0.9579743,-1.2326703,1.4469509,1.39640481676422,14.1432242067949
"5",5,23.72508,1,"B5",NA,-1.275244164,-1.421613354,-0.05610673,-0.2803263,-0.0236195,-0.9573937,-1.3563112,-1.3188551,2.20827617586841,-41.2477597561426,0.2735876,-0.0219675,-0.9580698,-1.2630282,1.4692474,1.08986675405049,-28.3540518842609
"6",6,23.73641,1,"B5",NA,-1.287744164,-1.489313354,0.01589327,-0.2805208,-0.0238932,-0.9573299,-1.3720362,-1.307104,0.869273949713744,-28.4803088295676,0.2735259,-0.0220863,-0.9580847,-1.2698634,1.4728934,0.606387576198654,-14.3420026948153
"7",7,23.75856,1,"B5",NA,-1.315344164,-1.528813354,0.05089327,-0.2805158,-0.0244064,-0.9573185,-1.4015086,-1.3071967,2.22532789339384,11.8022992238378,0.2733847,-0.0225133,-0.958115,-1.294413,1.4811793,0.91623224864686,29.2561668331029
"8",8,23.78052,1,"B5",NA,-1.353944164,-1.273813354,-0.22450673,-0.2797031,-0.0248511,-0.9575446,-1.4270503,-1.3556453,1.39926299705581,-41.5538064253867,0.2735503,-0.0235403,-0.9580431,-1.3534748,1.4708888,1.89397623333992,23.1581348662691
"9",9,23.79207,1,"B5",NA,-1.366644164,-1.242813354,-0.24970673,-0.2797433,-0.0250434,-0.9575279,-1.438095,-1.3531585,0.873844091976578,-16.6570540270763,0.2736931,-0.0237913,-0.9579961,-1.3679089,1.4622487,1.91467855570862,-6.96052043347702
"10",10,23.81401,1,"B5",NA,-1.402944164,-1.470213354,-0.03550673,-0.2799364,-0.0258721,-0.9574496,-1.4856945,-1.3412516,1.14100102684758,-10.2664187361651,0.2730753,-0.0241323,-0.9581639,-1.387516,1.4990612,1.56992546863142,-20.8266937448143
"11",11,23.83626,1,"B5",NA,-1.405244164,-1.566613354,0.05099327,-0.2799475,-0.0259961,-0.9574429,-1.4928131,-1.3405338,0.41321367928334,11.0054745318958,0.2727498,-0.024056,-0.9582585,-1.3831302,1.5185518,0.992761853480693,-7.10790997009353
"12",12,23.84741,1,"B5",NA,-1.412044164,-1.508813354,-0.00440673,-0.2798805,-0.0260638,-0.9574607,-1.4967021,-1.3445143,1.02334717371955,28.6098328563991,0.272892,-0.0242469,-0.9582132,-1.3941116,1.5099766,1.12348576716697,22.9287868994362
"13",13,23.86968,1,"B5",NA,-1.429544164,-1.480313354,-0.05420673,-0.2794711,-0.0263414,-0.9575726,-1.5126491,-1.3688847,1.07900375505445,-6.9828993511295,0.2726268,-0.0246138,-0.9582793,-1.4152069,1.5256827,1.88363783182987,15.3441630037746
"14",14,23.89149,1,"B5",NA,-1.451444164,-1.615413354,0.05279327,-0.2792483,-0.0268362,-0.9576239,-1.5410697,-1.3819969,0.719902723574837,13.4762367682006,0.2719581,-0.0248464,-0.9584633,-1.4285869,1.5655688,1.80849954714213,-9.69589661000497
"15",15,23.90279,1,"B5",NA,-1.455844164,-1.680213354,0.11049327,-0.2792479,-0.0269673,-0.9576203,-1.5485978,-1.3819593,1.2105198540739,29.1395087131156,0.2717325,-0.0248441,-0.9585274,-1.4284506,1.5790568,1.62830225243882,-11.2318590862605
"16",16,23.92489,1,"B5",NA,-1.468444164,-1.718013354,0.11669327,-0.2787877,-0.0272184,-0.9577473,-1.5630235,-1.4093821,1.53896060078384,13.4381541627728,0.2711917,-0.0250519,-0.9586751,-1.4404011,1.6112941,1.48427533860873,-22.7791468925708
"17",17,23.93637,1,"B5",NA,-1.470944164,-1.714913354,0.10029327,-0.2785599,-0.0272599,-0.9578124,-1.5654077,-1.422986,1.67688977093892,-5.89484103173418,0.2709993,-0.025117,-0.9587278,-1.4441449,1.622763,1.0360819164879,-26.6248570957479
"18",18,23.95826,1,"B5",NA,-1.468944164,-1.649013354,0.00839327,-0.2780041,-0.0271692,-0.9579765,-1.5601966,-1.4562759,1.15581105786099,-26.0678199567253,0.2707342,-0.0252064,-0.9588003,-1.4492892,1.6385705,0.725058391496868,55.7737018443006
"19",19,23.96953,1,"B5",NA,-1.454344164,-1.649213354,0.00249327,-0.2779031,-0.0269165,-0.9580129,-1.5456849,-1.4624306,0.836518188470791,-25.041259252277,0.2706438,-0.0249637,-0.9588322,-1.4353332,1.6440748,2.14232714804539,65.7666362502612
"20",20,23.99159,1,"B5",NA,-1.441244164,-1.851513354,0.17829327,-0.2778319,-0.0268581,-0.9580351,-1.5423299,-1.4667105,0.356684582589344,6.49676472314176,0.2698758,-0.0245015,-0.9590606,-1.4087522,1.6901456,2.2697764482391,-45.18793986196
"21",21,24.00294,1,"B5",NA,-1.440044164,-1.917213354,0.23299327,-0.2777691,-0.026891,-0.9580525,-1.5442163,-1.4704573,0.751038359699251,28.3464029021863,0.2695905,-0.0244063,-0.9591432,-1.4032747,1.7072278,1.17843679736177,-64.9492992350475
"22",22,24.02505,1,"B5",NA,-1.433944164,-1.783713354,0.09649327,-0.2774746,-0.026675,-0.9581439,-1.5318125,-1.4881627,1.23630818925864,1.76654282849669,0.2697931,-0.0244872,-0.9590842,-1.4079284,1.6950902,0.432327655751555,-10.7311763320929
"23",23,24.04703,1,"B5",NA,-1.424144164,-1.663713354,-0.03360673,-0.277088,-0.0264061,-0.9582631,-1.5163637,-1.5113963,0.831548819791558,-17.8634859655989,0.2698651,-0.0244936,-0.9590638,-1.4082978,1.6907893,0.702307393518452,12.023187439458
"24",24,24.06965,1,"B5",NA,-1.424244164,-1.729713354,0.01889327,-0.2769823,-0.0264627,-0.9582922,-1.519614,-1.5176937,0.439949616315951,-12.7053230131115,0.269542,-0.0244252,-0.9591564,-1.4043599,1.7101145,0.968395553048073,-0.261545618290525
"25",25,24.0915,1,"B5",NA,-1.424044164,-1.771413354,0.04729327,-0.2768356,-0.0264946,-0.9583337,-1.5214501,-1.5264479,0.262995904088689,32.7300117924664,0.2692669,-0.0243836,-0.9592347,-1.4019704,1.7265674,0.699935669753251,-11.2265387660722
"26",26,24.10322,1,"B5",NA,-1.426244164,-1.750213354,0.02939327,-0.2768517,-0.0265141,-0.9583285,-1.5225684,-1.5254814,1.12510259822969,48.0752000827585,0.2693551,-0.0244454,-0.9592084,-1.4055241,1.721272,0.580783305068058,0.0302009475457652
