"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",30.91309,"1","B5",NA,-0.0020206,0.0093943,-0.9994998,0.5385047,-0.2346734,1.8592225,57.8719978,-0.0145564,0.0092405,-0.9993798,0.5297007,-0.5148627,1.36813,45.617115
"2",30.93534,"1","B5",NA,-0.0012956,0.0091806,-0.999503,0.5262577,-0.2762371,3.5739429,-30.7409786,-0.0150843,0.0090038,-0.9993742,0.5161315,-0.5451277,2.7612595,-29.7663985
"3",30.94663,"1","B5",NA,-0.0010681,0.0090496,-0.9995045,0.5187456,-0.2892763,2.0097355,-44.3416252,-0.0151542,0.0088699,-0.9993743,0.5084527,-0.549132,1.3822384,-22.3822115
"4",30.96875,"1","B5",NA,-0.0005835,0.008477,-0.9995099,0.4859242,-0.3170583,3.1127447,-77.4150443,-0.0154803,0.0082847,-0.9993743,0.4749063,-0.5678271,3.0939047,-18.0027947
"5",30.98006,"1","B5",NA,-0.0005418,0.0083582,-0.9995108,0.4791125,-0.3194476,0.7976456,-76.5157218,-0.0157113,0.0081557,-0.9993718,0.4675117,-0.581066,1.8115031,-50.7809878
"6",31.00226,"1","B5",NA,-0.0001677,0.0080162,-0.9995138,0.4595069,-0.3408886,1.9445739,20.9420289,-0.0161546,0.0077961,-0.9993676,0.4468969,-0.606483,2.0740081,3.5139697
"7",31.02465,"1","B5",NA,0.0002422,0.007839,-0.9995152,0.4493489,-0.3643897,1.7256136,-17.4621166,-0.0165986,0.0076004,-0.9993618,0.4356791,-0.6319351,1.966612,5.9150919
"8",31.04692,"1","B5",NA,0.0005689,0.0075245,-0.9995174,0.4313224,-0.3831169,1.1656377,25.0275395,-0.0170901,0.0072661,-0.999356,0.4165171,-0.6601115,2.3368907,24.3838233
"9",31.06334,"1","B5",NA,0.0006523,0.0075044,-0.9995176,0.430171,-0.3878963,2.4004206,122.1479509,-0.0174222,0.0072304,-0.9993505,0.4144689,-0.6791523,2.8646435,38.674567
"10",31.07748,"1","B5",NA,0.0015846,0.0074829,-0.9995168,0.4289357,-0.4413407,4.7914376,46.6235799,-0.0182335,0.0071762,-0.9993365,0.4113621,-0.7256675,3.5038886,-16.9413993
"11",31.09822,"1","B5",NA,0.0026858,0.0071751,-0.9995167,0.4112904,-0.5044631,3.2183333,NA,-0.0186455,0.006855,-0.9993311,0.3929525,-0.7492866,1.8635396,-41.2290409
"12",31.1201,"1","B5",NA,0.0027829,0.0071124,-0.9995168,0.4076991,-0.5100322,NA,NA,-0.0190719,0.0067739,-0.9993236,0.3883032,-0.7737296,1.7898696,-34.6223563
"13",31.13172,"1","B5",NA,0.0027022,0.0069185,-0.9995184,0.3965814,-0.5054029,1.1195521,NA,-0.0190708,0.006578,-0.9993249,0.3770695,-0.7736664,1.0243706,-7.7333161
"14",31.1536,"1","B5",NA,0.0026368,0.0067196,-0.99952,0.3851798,-0.5016552,1.4947964,-14.287704,-0.0187815,0.0063923,-0.9993316,0.3664255,-0.7570784,2.127365,-3.3389998
"15",31.1651,"1","B5",NA,0.0024591,0.0067086,-0.9995205,0.3845499,-0.4914695,0.968953,NA,-0.0184482,0.0063958,-0.9993378,0.3666255,-0.7379687,1.4708406,-50.9375043
"16",31.18692,"1","B5",NA,0.0021748,0.006733,-0.9995209,0.3859508,-0.4751722,NA,NA,-0.018325,0.0064249,-0.9993399,0.3682962,-0.7309056,0.4936116,1.6301765
"17",31.20901,"1","B5",NA,0.0022771,0.0068072,-0.9995203,0.3902012,-0.4810346,1.4273772,NA,-0.0185727,0.0064868,-0.9993349,0.3718437,-0.7451059,1.554954,54.5284461
"18",31.23102,"1","B5",NA,0.0029902,0.0066074,-0.9995197,0.3787498,-0.5219096,2.934747,50.6559422,-0.0192789,0.0062596,-0.999323,0.3588205,-0.7855963,2.8977975,48.2819375
"19",31.25334,"1","B5",NA,0.0037457,0.0062403,-0.9995195,0.3577078,-0.5652192,3.6674279,42.2738395,-0.0199245,0.005867,-0.9993127,0.3363142,-0.8226092,3.6913464,74.9726615
"20",31.27546,"1","B5",NA,0.0048462,0.0058494,-0.9995171,0.3352975,-0.6283019,4.8115069,-91.0752657,-0.0212133,0.0054206,-0.9992887,0.3107227,-0.8964988,6.2216987,-83.7699874
"21",31.28683,"1","B5",NA,0.0050522,0.0059696,-0.9995153,0.3421879,-0.6401123,2.1523822,-58.2241626,-0.0216529,0.0055199,-0.9992787,0.3164173,-0.921706,3.0161315,-115.4815337
"22",31.30865,"1","B5",NA,0.0059739,0.0063606,-0.9995079,0.3646034,-0.6929455,4.7145669,-63.1265255,-0.0225905,0.005874,-0.999256,0.3367157,-0.9754699,4.1282743,-101.2214537
"23",31.32003,"1","B5",NA,0.0063024,0.0062298,-0.9995067,0.3571053,-0.7117808,1.9415257,-116.2592266,-0.0226753,0.005743,-0.9992548,0.3292057,-0.9803271,1.2444472,-96.2597229
"24",31.34262,"1","B5",NA,0.0066196,0.0058294,-0.9995071,0.3341509,-0.72996,2.1935912,23.7863688,-0.0230693,0.005324,-0.9992481,0.3051874,-1.0029211,2.6200071,51.0625322
"25",31.36464,"1",NA,1,0.0068745,0.0052235,-0.9995087,0.299424,-0.7445689,2.9954376,70.5075022,-0.0236741,0.0046872,-0.9992371,0.2686865,-1.0375914,3.5279498,64.5723069
"26",31.38722,"1",NA,1,0.0071073,0.0041975,-0.9995119,0.2406103,-0.7579135,5.3573179,-37.1653688,-0.0239629,0.003645,-0.9992346,0.2089443,-1.0541455,5.5130022,-48.0898227
"27",31.39845,"1",NA,1,0.0073871,0.0037286,-0.9995117,0.2137318,-0.7739505,3.3479196,32.2642549,-0.0241698,0.0031679,-0.9992313,0.1815925,-1.0660085,3.4456533,40.7926375
"28",31.42058,"1",NA,1,0.0066003,0.002755,-0.9995205,0.1579199,-0.7288512,8.7356848,443.754537,-0.0232019,0.002237,-0.9992567,0.1282298,-1.0105082,9.325083,503.0718804
"29",31.432,"1",NA,1,0.0050032,0.0022868,-0.9995309,0.1310829,-0.6373002,16.0907276,782.4648003,-0.0214314,0.001844,-0.9992971,0.1057011,-0.9089892,17.7812146,904.0413747
"30",31.45428,"1",NA,1,-0.0025635,0.0013774,-0.9995418,0.0789547,-0.2035601,36.6079411,830.3996387,-0.0129712,0.0012751,-0.9994436,0.0730946,-0.4239549,41.5676965,917.4050884
"31",31.47704,"1",NA,1,-0.0161214,-0.00032,-0.9994159,-0.0183448,0.5736453,53.4484966,505.156836,0.0028503,0.0001013,-0.9995245,0.0058057,0.4830014,59.0290386,401.2666294
"32",31.50006,"1",NA,1,-0.031448,-0.0022035,-0.9990488,-0.126307,1.452452,59.6729829,182.8134518,0.0182881,-0.0012712,-0.9993604,-0.0728671,1.3679971,59.8425416,140.6947726
"33",31.52234,"1",NA,1,-0.047293,-0.004244,-0.9984175,-0.2432755,2.3614504,61.7947561,540.112545,0.0342297,-0.0027842,-0.9989384,-0.1596006,2.282148,65.3245485,888.6066926
"34",31.54479,"1",NA,1,-0.0635298,-0.005571,-0.9975095,-0.3193392,3.2936534,83.9078467,-38.9738335,0.0531887,-0.0039218,-0.9981047,-0.2248087,3.3700037,99.6991535,237.4204683
"35",31.55661,"1",NA,1,-0.0732013,-0.0059255,-0.9968443,-0.3396609,3.8493597,71.3438892,-795.9035405,0.0652527,-0.0044069,-0.9973866,-0.2526144,4.0627833,87.213429,-1055.5452662
"36",31.5682,"1",NA,1,-0.0828116,-0.0061431,-0.9960907,-0.352137,4.4019441,65.2143263,879.3215778,0.0765323,-0.0047469,-0.996583,-0.2721042,4.7110109,74.9886602,698.5024756
"37",31.59031,"1",NA,1,-0.1049723,-0.00498,-0.9940061,-0.2854646,5.6778862,115.7911651,-213.1787716,0.1013863,-0.0039117,-0.9943655,-0.2242296,6.1414216,129.1973748,-347.6792069
"38",31.6019,"1",NA,1,-0.1176547,-0.0032305,-0.9925921,-0.1851776,6.4093805,84.3374441,-908.0586547,0.1154411,-0.0024484,-0.9928367,-0.1403491,6.9518461,92.7221146,-1097.8743632
"39",31.62371,"1",NA,1,-0.14419,0.0007425,-0.9890909,0.0425615,7.9436677,103.9173695,339.4348448,0.1446165,0.0007165,-0.9890111,0.041074,8.6386371,113.4717844,378.0470143
"40",31.64612,"1",NA,1,-0.1700754,0.0038435,-0.9849628,0.2203175,9.4462662,99.0122639,-269.0417446,0.172904,0.0027544,-0.9844562,0.1578913,10.2811065,109.0953518,-223.0567118
"41",31.66838,"1",NA,1,-0.1937541,0.0069548,-0.9805627,0.3986653,10.8268619,91.906799,-439.6884494,0.199865,0.0040587,-0.9793339,0.2326558,11.8542878,103.5120062,-440.4694534
"42",31.69029,"1",NA,1,-0.2151625,0.0098709,-0.9760635,0.5658259,12.0809034,79.6333949,-128.7370079,0.2238898,0.0051798,-0.9741169,0.2969196,13.2636042,89.7061919,-69.9192203
"43",31.71249,"1",NA,1,-0.231748,0.0126784,-0.9722265,0.7267665,13.0568018,86.3533262,-1062.392065,0.2432605,0.0059259,-0.9694568,0.3396932,14.4057031,100.5903261,-1111.8055544
"44",31.72402,"1",NA,1,-0.2398135,0.0146605,-0.9702406,0.8403938,13.5329812,58.3644387,-724.2326305,0.2530959,0.006558,-0.9669316,0.3759249,14.9877966,69.2992041,-815.9876406
"45",31.74628,"1",NA,1,-0.2585561,0.0207552,-0.9653032,1.18981,14.6441717,80.15739,508.6786093,0.2761117,0.0091393,-0.9605915,0.5238985,16.356343,93.3825684,477.2181531
"46",31.76845,"1",NA,1,-0.2780661,0.0276876,-0.95969,1.5873048,15.8082172,81.0073599,421.180364,0.299134,0.0127011,-0.9536324,0.7280839,17.7351373,90.5564291,308.8924316
"47",31.79045,"1",NA,1,-0.2959404,0.0330135,-0.9541601,1.8927353,16.8811882,98.6958436,-1389.9669165,0.3189633,0.0156197,-0.9471408,0.8954039,18.9313048,106.9521645,-1534.0196766
"48",31.80174,"1",NA,1,-0.3045655,0.0356357,-0.9513475,2.043133,17.4015045,58.2329824,-1762.1616349,0.3285645,0.0169932,-0.9438294,0.9741456,19.5135706,63.9000069,-1832.5219128
"49",31.82398,"1",NA,1,-0.3200701,0.0406637,-0.9460411,2.3315601,18.3415003,59.5592103,-326.6465146,0.3464607,0.0191238,-0.9373668,1.0962966,20.604461,67.1972254,-291.3653769
"50",31.84601,"1",NA,1,-0.3305902,0.043978,-0.9422677,2.5217136,18.9826753,43.8534598,-240.6764871,0.3591128,0.0198936,-0.9325768,1.1404296,21.3801034,51.0935822,-199.6718316
"51",31.86801,"1",NA,1,-0.340051,0.0463821,-0.9387792,2.6596611,19.5612389,48.9480571,-1102.5610527,0.3704199,0.0199277,-0.9281429,1.1423877,22.0764517,58.3897352,-1188.2697952
"52",31.87939,"1",NA,1,-0.3433311,0.0476108,-0.9375228,2.7301677,19.7627782,21.2184713,-1184.1937174,0.3748327,0.0198636,-0.926371,1.1387123,22.3490951,27.5706137,-1273.4792424
"53",31.90152,"1",NA,1,-0.3479071,0.0499701,-0.9357114,2.8655708,20.0451437,22.7301113,-826.4695275,0.3815718,0.0198582,-0.9236157,1.1384029,22.7665236,31.1385102,-1026.6898074
"54",31.91291,"1",NA,1,-0.3483797,0.0506125,-0.935501,2.9024403,20.0747788,3.1251156,-754.780323,0.3828159,0.0197418,-0.9231032,1.1317305,22.8436643,5.9141702,-1086.4875369
"55",31.93513,"1",NA,1,-0.3478071,0.0507922,-0.9357043,2.9127533,20.03991,7.8287715,508.4519237,0.3832267,0.0190233,-0.9229478,1.090535,22.8688328,6.8391658,401.0083351
"56",31.95718,"1",NA,1,-0.3435095,0.0492442,-0.937373,2.8239072,19.775351,25.583832,85.8295896,0.3793864,0.0173489,-0.924566,0.994539,22.6299192,23.6057147,106.2170328
"57",31.9685,"1",NA,1,-0.3409163,0.0488658,-0.9383391,2.8021942,19.616536,18.4119443,-216.5474277,0.3770408,0.016969,-0.9255321,0.9727558,22.4844818,17.4028795,-132.9673803
"58",31.99071,"1",NA,1,-0.3353722,0.0479051,-0.9403844,2.7470566,19.2774153,22.8642526,96.4896927,0.3716118,0.0164022,-0.9277354,0.9402611,22.1485801,23.6665188,221.1780004
"59",32.01312,"1",NA,1,-0.3299306,0.0470853,-0.9423487,2.700012,18.9454204,22.6965195,171.0604146,0.3653744,0.0168426,-0.9302017,0.96551,21.7640464,27.2596737,349.4352044
"60",32.03539,"1",NA,1,-0.324418,0.0458194,-0.9443228,2.6273743,18.6094335,30.4822356,-440.6404303,0.3581519,0.0176203,-0.932992,1.0101,21.3201433,39.25281,-567.0437474
"61",32.04652,"1",NA,1,-0.3217419,0.0453635,-0.94526,2.6012092,18.4467303,16.7824696,-494.6906823,0.3548295,0.0179787,-0.9342538,1.0306425,21.116388,20.6365407,-699.1396485
"62",32.06915,"1",NA,1,-0.3174354,0.0452897,-0.9467185,2.5969761,18.1858353,22.2477293,-280.0634971,0.3497927,0.0189569,-0.9361319,1.0867304,20.8081927,26.8448885,-327.4515727
"63",32.08064,"1",NA,1,-0.3154889,0.0452987,-0.9473686,2.5974914,18.0680778,13.0369769,-373.308562,0.3474662,0.0194791,-0.9369872,1.1166646,20.6660807,16.1678677,-409.8481897
"64",32.10265,"1",NA,1,-0.3116874,0.0450242,-0.948639,2.5817445,17.838092,14.2478557,-53.1266917,0.3427978,0.020285,-0.9386882,1.1628705,20.3812107,18.5790247,-37.8804371
"65",32.12482,"1",NA,1,-0.3088579,0.0449174,-0.9495691,2.5756147,17.6671875,10.672537,-146.1330945,0.3389005,0.0213325,-0.9400791,1.2229304,20.1439563,14.4707214,-238.3434326
"66",32.14615,"1",NA,1,-0.3068834,0.0454872,-0.950182,2.6083071,17.5485654,7.8783525,-116.5780713,0.3367873,0.0222181,-0.9408177,1.2737079,20.0156083,8.2556342,-204.2414768
"67",32.16842,"1",NA,1,-0.3054242,0.0463712,-0.9506092,2.6590355,17.4613481,5.6032877,-75.2139603,0.3355848,0.0230565,-0.9412271,1.321782,19.942784,5.6477011,-65.8301431
"68",32.19038,"1",NA,1,-0.3045996,0.0465475,-0.9508652,2.6691523,17.411806,4.5432863,98.5839578,0.3344355,0.0235852,-0.941623,1.352096,19.8730878,5.3280717,87.1971768
