"","Time","Phase","GFO","Movement","pitch2","yaw2","V2","V2a"
"1",158.2922,1,"B5",NA,1.1505932,0.0682967,2.2457867,14.9006462
"2",158.3144,1,"B5",NA,1.1358698,0.0273545,1.63814789693708,0.6157444
"3",158.3363,1,"B5",NA,1.1144174,0.0069688,1.09209527687076,8.54280714781337
"4",158.3588,1,"B5",NA,1.0928923,0.0202199,2.03753456434457,11.019203325572
"5",158.3814,1,"B5",NA,1.0955617,0.0673891,1.58596131479795,-27.9528708179197
"6",158.4038,1,"B5",NA,1.1256866,0.0845184,0.781249728255081,-33.6031159453219
"7",158.4151,1,"B5",NA,1.1244162,0.0846417,0.42776756360242,-4.07688178674552
"8",158.4375,1,"B5",NA,1.1357335,0.0964036,0.945831267363024,4.66101204873953
"9",158.46,1,"B5",NA,1.1518301,0.1149065,0.635200321403908,-22.3644027461553
"10",158.4715,1,"B5",NA,1.1507036,0.1134394,0.279585986177438,5.86311482754241
"11",158.483,1,"B5",NA,1.1558441,0.1102003,0.770051962438406,15.8320311232604
"12",158.5053,1,"B5",NA,1.1451912,0.1261543,0.525083048743813,-17.4610065118004
"13",158.5168,1,"B5",NA,1.1486165,0.1276986,0.249809159398246,5.90378986126303
"14",158.5282,1,"B5",NA,1.142838,0.1290923,0.657295771587004,13.6828437775705
"15",158.5505,1,"B5",NA,1.1586196,0.1415994,0.470449599522587,-7.75373017208176
"16",158.5618,1,"B5",NA,1.166083,0.1419023,0.389895196482278,1.25442008507662
"17",158.5843,1,"B5",NA,1.1784893,0.1400127,0.606740035567974,4.3311625644402
"18",158.6068,1,"B5",NA,1.1886196,0.1295801,0.584797511882184,17.8573469297574
"19",158.6184,1,"B5",NA,1.1871532,0.1252878,1.01040055064226,37.3702108066934
"20",158.6402,1,"B5",NA,1.1845538,0.1001649,1.83990154828272,83.9070857180532
"21",158.6513,1,NA,1,1.1884195,0.0803761,3.28027825150706,79.4128573116549
"22",158.6729,1,NA,1,1.1679496,0.0079173,3.9080184810961,129.606407327528
"23",158.6841,1,NA,1,1.1614772,0.0422105,6.48570707137239,218.533928146749
