"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",1,100.3446,1,"B5",NA,-0.51132809,-0.482677778,-0.068345318,0.023185,-0.0070033,-0.9866047,-0.4065894,-0.4523606,2.1068189,20.7939112,0.0569263,-0.005872,-0.9872185,-0.3402277,0.4689473,0.7809186,NA
"2",2,100.3669,1,"B5",NA,-0.48062809,-0.651477778,0.118254682,0.0224785,-0.0069012,-0.9866218,-0.4006591,-0.4113352,1.24314914920031,-24.5784741,0.0567895,-0.0057843,-0.9872269,-0.3351483,0.4768882,0.387640751427156,-5.1746083
"3",3,100.3879,1,"B5",NA,-0.48662809,-0.599777778,0.064354682,0.022639,-0.0068753,-0.9866183,-0.399157,-0.4206527,0.709182048904018,11.7855098126444,0.0568797,-0.0057624,-0.9872218,-0.333875,0.4716528,0.603311134402705,14.9487667028705
"4",4,100.4001,1,"B5",NA,-0.48322809,-0.539877778,0.004354682,0.0227829,-0.0066755,-0.9866163,-0.3875596,-0.4290115,1.30695794659955,12.4270239289499,0.057021,-0.0055693,-0.9872148,-0.3226902,0.463457,0.842766819462053,0.523460420343824
"5",5,100.4213,1,"B5",NA,-0.49472809,-0.435377778,-0.107345318,0.0231552,-0.0066139,-0.986608,-0.3839824,-0.45063,0.795105643879252,8.74832235782642,0.0571628,-0.005506,-0.9872069,-0.3190211,0.4552277,0.448858219705711,-10.4847113512788
"6",6,100.4327,1,"B5",NA,-0.49182809,-0.405377778,-0.137745318,0.0232325,-0.0064928,-0.986607,-0.3769517,-0.4551168,1.26980872623226,21.145535132863,0.0572285,-0.005388,-0.9872038,-0.3121817,0.4514172,0.421625576237167,11.0745482890925
"7",7,100.4546,1,"B5",NA,-0.49602809,-0.489977778,-0.036745318,0.0227503,-0.0067668,-0.9866165,-0.3928603,-0.4271187,1.28405355947836,-33.3534191362085,0.0572701,-0.0056891,-0.9871997,-0.3296302,0.4489941,0.959006132699596,22.0207672533552
"8",8,100.466,1,"B5",NA,-0.50362809,-0.484177778,-0.033045318,0.0225979,-0.0068795,-0.9866191,-0.3993997,-0.4182702,0.516180484497107,-38.6459536791465,0.0574248,-0.0058243,-0.9871899,-0.3374619,0.4400171,1.18134728161613,14.5825474945137
"9",9,100.4879,1,"B5",NA,-0.52712809,-0.401177778,-0.105645318,0.0226158,-0.0070667,-0.9866174,-0.4102704,-0.419311,0.298612304762499,3.16989280138839,0.0577763,-0.00605,-0.987168,-0.3505397,0.4196119,1.39293381264127,-3.93093271982117
"10",10,100.5105,1,"B5",NA,-0.54372809,-0.291777778,-0.201445318,0.022643,-0.0070747,-0.9866168,-0.4107361,-0.4208863,0.666413873175236,7.64056503184519,0.0582386,-0.0061063,-0.9871405,-0.3538044,0.3927775,0.996906082875828,-19.7771480042048
