"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","FocusedObject","RayDirection_x","RayDirection_y","RayDirection_z"
"1",90.54607,"1","B5",NA,0.1030118,-0.0128876,0.9845359,-0.7458914,-0.0981829,5.6204138,-89.9789913,0.17196,0.0132078,0.9847758,0.7569541,0.0298781,3.7635797,-38.3089495,"B5","0.03079715","-0.08772032","-0.995656"
"2",90.56861,"1","B5",NA,0.1032544,-0.0130395,0.9845087,-0.7546809,-0.1123136,1.7541408,NA,0.1717653,0.013394,0.9848073,0.7676232,0.0411832,0.8402536,NA,"B5","0.03042925","-0.08784164","-0.9956675"
"3",90.59077,"1","B5",NA,0.1038239,-0.0130805,0.984448,-0.7570517,-0.1454632,NA,NA,0.1721093,0.0134355,0.9847466,0.7699998,0.0211638,NA,NA,"B5","0.03121883","-0.08776361","-0.9956425"
"4",90.6135,"1","B5",NA,0.1035996,-0.0130924,0.9844717,-0.7577424,-0.1324071,2.4140675,NA,0.1717489,0.013469,0.9848091,0.7719238,0.0421251,2.1755396,NA,"B5","0.03389229","-0.08554771","-0.9957562"
"5",90.62513,"1","B5",NA,0.1033604,-0.0128293,0.9845003,-0.7425141,-0.1184689,2.2434008,NA,0.1715183,0.0132108,0.9848528,0.7571212,0.0555753,2.1351409,-42.6214692,"B5","0.03347913","-0.08567531","-0.9957491"
"6",90.63631,"1","B5",NA,0.1032311,-0.0127065,0.9845153,-0.7354067,-0.1109324,NA,NA,0.1714899,0.0130818,0.9848595,0.7497303,0.0572458,1.2209604,-44.7825357,"B5","0.02904335","-0.084148","-0.9960266"
"7",90.64787,"1","B5",NA,0.1033245,-0.0125831,0.9845072,-0.728263,-0.1163567,1.5225545,NA,0.1714948,0.0129616,0.9848602,0.7428405,0.0569775,1.130841,53.1019514,"B5","-0.04057188","-0.08431755","-0.995598"
"8",90.67043,"1","B5",NA,0.1038747,-0.0123299,0.9844526,-0.713609,-0.1483606,4.453161,63.3466635,0.1720662,0.0126824,0.9847642,0.726838,0.0237678,3.7026742,37.0900701,"B5","-0.1573351","-0.06346203","-0.9854962"
"9",90.68175,"1",NA,1,0.1045551,-0.0119937,0.9843845,-0.6941496,-0.1879387,4.4168301,-23.1337841,0.1724081,0.0123488,0.9847086,0.7077167,0.0039159,3.2519168,-37.8702974,"B5","-0.1820765","-0.05887734","-0.9815095"
"10",90.70452,"1",NA,1,0.1058117,-0.0116797,0.9842542,-0.6759739,-0.2610551,3.4363966,-58.745616,0.1735351,0.0119958,0.984515,0.6874865,0.0616192,2.4339948,46.6341675,"None","-0.3184454","-0.04890826","-0.9466733"
"11",90.72679,"1",NA,1,0.1056132,-0.0114019,0.9842788,-0.6598993,-0.249483,1.7787713,-32.8178424,0.1727883,0.0117749,0.984649,0.674828,0.0181361,5.3110421,231.4559656,"B6","-0.3930791","-0.0408957","-0.9185801"
"12",90.73808,"1",NA,1,0.1054635,-0.0113604,0.9842951,-0.6574969,-0.2407646,1.8780942,182.7083606,0.1718738,0.0118118,0.9848086,0.6769433,0.0350695,9.0787698,373.1553665,"B6","-0.4406496","-0.0342442","-0.897017"
"13",90.74963,"1",NA,1,0.1049652,-0.0107877,0.984355,-0.6243467,-0.2117208,5.9970471,356.2675444,0.1701512,0.0113665,0.9851129,0.6514218,0.135324,13.8441632,617.6284973,"B6","-0.4329561","-0.04874858","-0.9000888"
"14",90.77203,"1",NA,1,0.1024178,-0.0108556,0.9846225,-0.6282802,-0.0634685,13.9695608,31.8657322,0.1646536,0.0118002,0.9860416,0.6762789,0.454872,32.2719448,248.2177689,"B6","-0.4263666","-0.04709036","-0.9033188"
"15",90.78345,"1",NA,1,0.1007733,-0.0110136,0.9847904,-0.6374243,0.0322045,10.6328158,32.1773997,0.1603177,0.0122586,0.9867502,0.7025503,0.7066748,28.5463607,184.3351633,"B6","-0.4236023","-0.03699555","-0.9050758"
"16",90.80608,"1",NA,1,0.0974392,-0.0103787,0.9851328,-0.6006753,0.2261938,18.7012962,547.3384784,0.1510381,0.0122341,0.9882135,0.7011476,1.2451001,44.2720294,866.3511011,"B6","-0.4187362","-0.04368851","-0.9070492"
"17",90.82831,"1",NA,1,0.0904785,-0.0072413,0.9858242,-0.4190905,0.6310401,35.1101002,980.3206513,0.135591,0.0099238,0.990477,0.5687351,2.1398752,67.3422921,1510.5056853,"B6","-0.4224107","-0.05310399","-0.9048316"
"18",90.85084,"1",NA,1,0.0791852,-0.0034956,0.9868161,-0.2023083,1.2871678,62.6531034,-468.9197454,0.1147844,0.0070453,0.9931279,0.4037673,3.3419927,112.024076,-552.2694983,"B6","-0.4228082","-0.04986257","-0.9048423"
"19",90.86205,"1",NA,1,0.0730441,-0.0018107,0.9872944,-0.1047963,1.6436613,38.4356588,-938.3106858,0.1027978,0.0058033,0.9944481,0.3325878,4.0331121,77.4103786,-1121.6895801,"B6","-0.4250255","-0.04576175","-0.9040177"
"20",90.884,"1",NA,1,0.0631234,0.0006848,0.9879796,0.0396344,2.2191902,44.6633477,443.7630005,0.079519,0.0040786,0.9965883,0.2337428,5.3728779,95.9443575,699.8957473,"B6","-0.4823171","-0.07384125","-0.8728676"
"21",90.90658,"1",NA,1,0.0491357,0.0023235,0.9887712,0.1344698,3.0300303,58.2972513,377.8090551,0.0515442,0.002998,0.9984299,0.1718135,6.9796242,108.4857158,283.5405821,"B6","-0.4845036","-0.06580545","-0.872299"
"22",90.92899,"1",NA,1,0.0321596,0.0037915,0.9894646,0.2194352,4.0133522,61.6993963,21.5341391,0.0226517,0.001722,0.9995059,0.0986877,8.6366423,108.7470676,24.01745,"B6","-0.4791431","-0.08289585","-0.8737949"
"23",90.95155,"1",NA,1,0.018266,0.0037983,0.9898185,0.2198252,4.8177193,59.2460996,194.6459408,-0.0048983,0.0016546,0.9997506,0.0948243,-10.2156328,109.5676338,158.2053629,"B6","-0.4898751","-0.06745025","-0.8691679"
"24",90.97346,"1",NA,1,0.0008057,0.0034339,0.9899881,0.1987347,5.8282974,70.1580969,205.4326921,-0.0343602,0.0016107,0.9991721,0.092308,-11.9044615,115.7032688,72.6748285,"B6","-0.4857832","-0.05767635","-0.8721572"
"25",90.99551,"1",NA,1,-0.0175963,0.0027038,0.9898344,0.1564802,6.8933672,68.2359561,-100.4828195,-0.0642308,0.0016208,0.9976973,0.0928849,-13.6184777,112.7333884,-110.0452431,"B6","-0.4901898","-0.06071749","-0.8694838"
"26",91.01814,"1",NA,1,-0.0335335,0.0006527,0.9894259,0.0377752,7.8160458,65.6608042,38.2793431,-0.0925602,0.0026923,0.9954664,0.1542914,-15.2470981,110.8007404,-117.2073664,"B6","-0.4813721","-0.06060783","-0.8744085"
"27",91.03962,"1",NA,1,-0.0507522,-0.0018657,0.9886908,-0.1079753,8.8134961,69.7495739,581.298029,-0.1199989,0.0040268,0.9925282,0.2307727,-16.8286392,107.5999476,606.3549336,"B6","-0.4652511","-0.06103566","-0.8830698"
