"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"26",29.47719,"1","B5",NA,0.0742632,-6.53e-05,-0.9944928,-0.0037502,0.6775244,1.6948237,36.7726705,-0.0081933,-0.0007817,-0.9939748,-0.0450608,-1.2247801,1.3610652,32.2645469
"27",29.49977,"1","B5",NA,0.0744844,-0.000696,-0.9944761,-0.0399879,0.6647808,2.3948183,34.842326,-0.0082938,-0.0013837,-0.9939733,-0.0797591,-1.2189863,2.3023735,54.7024449
"28",29.52214,"1","B5",NA,0.0744292,-0.0011838,-0.9944798,-0.0680138,0.6679588,3.2601795,1.8239654,-0.0086581,-0.0018787,-0.9939694,-0.1082879,-1.1979857,3.817207,15.8694112
"29",29.5334,"1","B5",NA,0.0740349,-0.0015923,-0.9945085,-0.0914802,0.6906715,2.8656733,-68.1745495,-0.0089753,-0.0023298,-0.9939656,-0.1342897,-1.1797055,3.4120906,-90.5558045
"30",29.54484,"1","B5",NA,0.0737733,-0.0016383,-0.994528,-0.0941277,0.7057454,1.7066523,-18.8736442,-0.0093,-0.0024087,-0.9939624,-0.1388408,-1.1609868,1.7517663,-46.459714
"31",29.56712,"1","B5",NA,0.0737787,-0.0021525,-0.9945265,-0.1236665,0.7054322,3.1228969,93.5310277,-0.0094235,-0.0029192,-0.9939599,-0.1682635,-1.1538641,2.9150901,78.8017667
"32",29.58948,"1","B5",NA,0.0745758,-0.0034426,-0.9944635,-0.1977898,0.6594929,5.8842746,68.0175369,-0.0090406,-0.0041054,-0.9939593,-0.2366422,-1.175936,5.2716042,70.4122516
"33",29.6118,"1","B5",NA,0.0746833,-0.005043,-0.9944486,-0.2897382,0.65327,6.1641396,13.5414309,-0.008802,-0.005676,-0.9939537,-0.3271702,-1.1896878,6.0625086,4.3229428
"34",29.63415,"1","B5",NA,0.0735754,-0.0064722,-0.9945229,-0.3718514,0.717065,6.4892004,-58.2939304,-0.008852,-0.0072146,-0.9939433,-0.4158616,-1.1867989,5.4637767,-66.1590792
"35",29.65615,"1","B5",NA,0.0726399,-0.0074901,-0.9945845,-0.4303355,0.7709232,3.6042971,-117.6693152,-0.0087187,-0.0083221,-0.9939358,-0.4797013,-1.1944776,3.142133,-79.3378427
"36",29.67862,"1","B5",NA,0.0727086,-0.007597,-0.9945787,-0.4364767,0.7669644,1.2627734,-10.7247699,-0.0082841,-0.0084142,-0.9939387,-0.4850106,-1.2195328,1.9479328,-2.8979451
"37",29.701,"1","B5",NA,0.0729755,-0.0082384,-0.9945541,-0.4733273,0.7515703,3.1148778,47.0383572,-0.0078548,-0.0090164,-0.9939369,-0.5197214,-1.2442754,3.0076378,48.5276088
"38",29.72281,"1","B5",NA,0.0730798,-0.0092097,-0.9945378,-0.5291329,0.7455239,3.3617581,-16.1079249,-0.0082926,-0.0099726,-0.9939242,-0.5748413,-1.2190309,4.0916969,18.0850321
"39",29.74488,"1","B5",NA,0.0730516,-0.0099046,-0.9945333,-0.5690575,0.7471175,2.4009309,-41.1744083,-0.0090997,-0.0106746,-0.9939099,-0.6153101,-1.1725042,3.7929879,-43.5107968
"40",29.76737,"1","B5",NA,0.0733595,-0.0102495,-0.9945071,-0.5888737,0.7293679,1.5280181,-24.910601,-0.0098243,-0.0109941,-0.9938995,-0.6337232,-1.1307325,2.1402658,-70.3863085
"41",29.78946,"1","B5",NA,0.0736718,-0.0103663,-0.9944828,-0.5955893,0.7113709,1.2848552,-16.9719546,-0.0098877,-0.0110754,-0.993898,-0.6384121,-1.1270737,0.653926,-15.5163505
"42",29.81164,"1","B5",NA,0.0739897,-0.0104443,-0.9944583,-0.6000699,0.693047,0.7761329,12.1127482,-0.0095361,-0.0111142,-0.993901,-0.6406503,-1.1473438,1.4580162,10.4912626
"43",29.82298,"1","B5",NA,0.0740388,-0.0105851,-0.9944532,-0.6081611,0.6902139,1.3109452,43.901408,-0.0095275,-0.0112475,-0.9938996,-0.64833,-1.1478377,1.2848497,28.2153133
"44",29.84488,"1","B5",NA,0.074074,-0.0110869,-0.9944451,-0.6369924,0.6881643,2.2009883,22.1182802,-0.0098269,-0.0117446,-0.9938909,-0.6769896,-1.130573,2.8551025,0.0630511
"45",29.85634,"1","B5",NA,0.0737624,-0.0111533,-0.9944676,-0.640805,0.706114,2.2421907,-9.7310891,-0.0101586,-0.0118498,-0.9938863,-0.6830518,-1.111452,2.0348537,-40.21741
"46",29.87819,"1","B5",NA,0.0731557,-0.0115269,-0.9945081,-0.6622698,0.7410514,1.7383843,-14.8422053,-0.010538,-0.0122919,-0.993877,-0.7085383,-1.0895764,1.8412653,-35.8910062
"47",29.90071,"1","B5",NA,0.0732362,-0.0116264,-0.994501,-0.6679866,0.7364071,1.5891463,39.7654069,-0.0107718,-0.0123858,-0.9938733,-0.7139495,-1.0760968,0.4242589,-26.9216736
"48",29.92267,"1","B5",NA,0.0742555,-0.0114539,-0.9944275,-0.658079,0.6776905,3.4811699,-5.7407009,-0.0106971,-0.0121024,-0.9938776,-0.6976148,-1.0804044,0.623629,9.6168653
"49",29.94507,"1","B5",NA,0.0748365,-0.0116553,-0.9943816,-0.6696509,0.6442017,1.2940535,-48.3995266,-0.0106792,-0.0122366,-0.9938762,-0.7053494,-1.0814377,0.8510998,21.5453342
"50",29.96737,"1","B5",NA,0.0745681,-0.0117067,-0.9944011,-0.6725988,0.6596656,1.3127871,4.9625711,-0.0110505,-0.0123228,-0.993871,-0.7103173,-1.0600294,1.5855664,14.6958578
"51",29.98936,"1","B5",NA,0.0741033,-0.0119986,-0.9944323,-0.689374,0.6864294,1.5125678,-9.3224114,-0.0114895,-0.012672,-0.9938617,-0.7304469,-1.0347228,1.5076337,23.4489057
"52",30.01186,"1","B5",NA,0.0739777,-0.012117,-0.9944402,-0.6961777,0.6936585,0.8886452,20.999839,-0.010992,-0.0127948,-0.9938657,-0.7375248,-1.0634031,2.6425746,50.1958131
"53",30.03379,"1","B5",NA,0.0743667,-0.0124694,-0.9944069,-0.7164271,0.6712293,2.4178147,62.4476199,-0.0099995,-0.0130845,-0.9938724,-0.7542261,-1.1206137,3.7379739,33.9778424
"54",30.05593,"1","B5",NA,0.0747492,-0.0131337,-0.9943697,-0.7545926,0.6491521,3.6391826,-61.3291536,-0.0093933,-0.0136912,-0.9938702,-0.7892009,-1.1555598,4.136624,-95.3083653
"55",30.0674,"1","B5",NA,0.0747321,-0.0134267,-0.994367,-0.7714299,0.6501199,1.5995416,-84.6157708,-0.0092772,-0.0139829,-0.9938672,-0.8060156,-1.1622459,1.7437227,-94.6134775
"56",30.08934,"1","B5",NA,0.0743494,-0.0137811,-0.9943909,-0.7917902,0.6721485,1.7880596,14.2701617,-0.0097245,-0.0143817,-0.9938572,-0.8290062,-1.1364586,2.1692633,10.146551
"57",30.11142,"1","B5",NA,0.0745145,-0.0141703,-0.9943731,-0.814157,0.6626151,2.228509,42.3136317,-0.0100469,-0.0147537,-0.9938486,-0.8504489,-1.1178707,2.189079,6.9109593
"58",30.13362,"1","B5",NA,0.075174,-0.0147505,-0.994315,-0.8474905,0.6245762,3.6643911,50.3470703,-0.0104503,-0.0152611,-0.9938368,-0.8797037,-1.094607,2.4760022,11.5712948
"59",30.15592,"1","B5",NA,0.0760871,-0.0153512,-0.9942364,-0.8820083,0.5719168,4.4675204,-124.398135,-0.0107873,-0.0157572,-0.9938254,-0.9082982,-1.0751755,2.7038663,-37.3898454
"60",30.1673,"1","B5",NA,0.0762098,-0.0154478,-0.9942256,-0.8875605,0.564843,1.2263708,-140.4508167,-0.0110448,-0.0158445,-0.9938212,-0.9133342,-1.06033,1.7365912,-42.8674713
"61",30.18943,"1","B5",NA,0.0764902,-0.0155956,-0.9942017,-0.8960544,0.5486733,1.3128859,29.2136219,-0.0115428,-0.0159671,-0.9938136,-0.9203997,-1.0316143,1.7202785,0.358937
"62",30.21147,"1","B5",NA,0.076944,-0.015677,-0.9941654,-0.900727,0.5225135,2.5144591,-5.5957285,-0.0118067,-0.0160002,-0.99381,-0.9223081,-1.0163996,1.7523468,-11.6823401
"63",30.22257,"1","B5",NA,0.0772268,-0.0156541,-0.9941439,-0.8994162,0.5062194,1.7850859,-28.9911943,-0.0120199,-0.0159482,-0.9938082,-0.9193108,-1.0041134,1.4768483,16.7563674
"64",30.2446,"1","B5",NA,0.0775257,-0.0152604,-0.9941267,-0.8767908,0.489018,1.9553097,22.5917951,-0.0124548,-0.0155313,-0.9938095,-0.89528,-0.9790442,2.7619115,48.9047131
"65",30.26705,"1","B5",NA,0.0775803,-0.0146356,-0.9941318,-0.8408927,0.4859102,2.7962122,-11.1814633,-0.0131162,-0.0149197,-0.9938103,-0.8600221,-0.9409198,3.6481703,-96.2996445
"66",30.27828,"1","B5",NA,0.0777595,-0.0144712,-0.9941202,-0.8314454,0.4755949,2.124438,-1.7748223,-0.0131111,-0.0147357,-0.9938132,-0.8494146,-0.9412167,1.0419535,-124.2563032
"67",30.30029,"1","B5",NA,0.0787068,-0.014877,-0.9940397,-0.8547595,0.4209705,3.3629399,-17.3984992,-0.0130525,-0.0150262,-0.9938096,-0.8661615,-0.9445899,0.6801903,NA
