"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",1,12.51548,1,"B5",NA,-0.36451791,1.218202985,-0.673910945,-0.103435,-0.0057364,-0.9942951,-0.3287774,0.514671,4.1990032,67.7999024,0.1076812,-0.0062866,-0.9941532,-0.3601996,0.5606197,4.1142352,40.3694501
"2",2,12.5375,1,"B5",NA,-0.33041791,1.038202985,-0.427510945,-0.1046635,-0.005243,-0.9941692,-0.3005022,0.5854479,3.21203135821259,-132.6530869,0.10873,-0.0057222,-0.9940424,-0.3278625,0.6210452,2.66593807900609,-129.2204034
"3",3,12.54884,1,"B5",NA,-0.32701791,0.923202985,-0.291410945,-0.1050757,-0.0052444,-0.9941257,-0.3005781,0.6092058,1.71583869104465,-86.2080191094518,0.1090388,-0.0056779,-0.9940089,-0.3253273,0.6388426,1.25691319160181,-70.8833020457572
"4",4,12.57099,1,"B5",NA,-0.31371791,0.802702985,-0.153010945,-0.105439,-0.0050765,-0.9940882,-0.2909586,0.6301404,0.819280902852921,-6.68395054076273,0.1092912,-0.0054599,-0.9939824,-0.3128367,0.6533859,0.868978788929208,7.52747331073258
"5",5,12.59306,1,"B5",NA,-0.32371791,0.708102985,-0.070010945,-0.1052768,-0.0052985,-0.9941041,-0.3036817,0.6208014,1.41757098220899,41.0902535214029,0.1090549,-0.0056422,-0.9940073,-0.3232814,0.6397705,1.58777474605609,39.3974026957056
"6",6,12.60438,1,"B5",NA,-0.33821791,0.653002985,-0.033210945,-0.1049822,-0.0055756,-0.9941337,-0.3195619,0.6038318,2.04098328893358,21.8202877506955,0.1087217,-0.0058985,-0.9940423,-0.3379677,0.6205757,2.11105182370874,15.201716361858
"7",7,12.62602,1,"B5",NA,-0.36841791,0.619802985,-0.031910945,-0.1044432,-0.0061161,-0.9941874,-0.3505445,0.5727865,1.79361248787921,-15.8282143254033,0.1081673,-0.0064256,-0.9940995,-0.3681666,0.58864,1.76865384279678,-17.5875876375028
"8",8,12.64849,1,"B5",NA,-0.38871791,0.626902985,-0.063710945,-0.1040128,-0.006463,-0.9942303,-0.3704224,0.5479937,1.33915121907579,-16.4395216560683,0.1077518,-0.0067769,-0.9941423,-0.3882967,0.5647083,1.33379827502784,-16.2768479760731
"9",9,12.67047,1,"B5",NA,-0.43001791,0.614202985,-0.071010945,-0.1036714,-0.007185,-0.994261,-0.4118087,0.5283471,1.06102074553072,-42.9532919159603,0.1074072,-0.0074968,-0.9941744,-0.4295472,0.5448785,1.04364077407271,-36.8571148055883
"10",10,12.6818,1,"B5",NA,-0.43061791,0.607802985,-0.064410945,-0.1036766,-0.0071983,-0.9942604,-0.4125681,0.5286495,0.231066678707064,-13.7874688496984,0.1074078,-0.0075079,-0.9941743,-0.4301818,0.5449183,0.358025635645433,-9.42773221863267
"11",11,12.70425,1,"B5",NA,-0.46831791,0.702102985,-0.150310945,-0.1037836,-0.0078026,-0.9942447,-0.4472045,0.5348404,1.25653437591598,45.5788145477324,0.1075891,-0.0081576,-0.9941496,-0.4674045,0.5553944,1.29324295308803,49.5332100481875
"12",12,12.72649,1,"B5",NA,-0.49051791,0.683202985,-0.117010945,-0.1040413,-0.0081968,-0.9942144,-0.469799,0.549714,2.26800469796005,10.3535007268313,0.1078245,-0.0085481,-0.9941208,-0.4897825,0.5689824,2.57001095385216,24.0810357871784
