"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"20",20,39.14677,1,"B5",NA,-0.873223553,-1.746691417,1.465014571,0.0193293,-0.0169143,-0.9971702,-0.9715905,-0.2011194,1.52523056363219,-1.96623538167688,-0.0007967,-0.016538,-0.9972591,-0.9500767,-0.3495236,1.38495610494486,7.51644903936883
"21",21,39.16918,1,NA,1,-0.890423553,-1.736391417,1.426514571,0.0198264,-0.0171959,-0.9971557,-0.9877672,-0.2296848,1.17915906675734,27.8510630397679,-0.0012584,-0.0167873,-0.9972545,-0.9643948,-0.3760502,1.38425860403777,24.6932853322673
"22",22,39.1914,1,NA,1,-0.857523553,-2.147191417,1.833114571,0.0195821,-0.0170706,-0.9971627,-0.98057,-0.2156471,2.7599976871186,106.374748768103,-0.0016476,-0.0166805,-0.9972557,-0.9582598,-0.3984145,2.48231979144872,383.950943146144
"23",23,39.21334,1,NA,1,-0.869123553,-2.265891417,2.021114571,0.0182833,-0.0173921,-0.9971818,-0.9990436,-0.1410245,5.86680360137453,134.42727983102,-0.0005889,-0.017083,-0.9972501,-0.9813847,-0.337585,18.2458629439481,349.731902712077
"24",24,39.23564,1,NA,1,-0.913123553,-2.004691417,1.901214571,0.0160246,-0.0178701,-0.9972122,-1.0265001,-0.0112543,8.70447669533297,186.611305338935,0.0019614,-0.017703,-0.9972375,-1.0170078,0.1910628,17.8217083436158,-125.143635272462
"25",25,39.25757,1,NA,1,-0.926723553,-1.836891417,1.918514571,0.0129313,-0.0179243,-0.997256,-1.0296177,0.1664672,14.0986579219158,411.904614947639,0.0051687,-0.0179538,-0.9972216,-1.0314184,0.0067875,12.7500255582009,146.220560043232
"26",26,39.26916,1,NA,1,-0.938023553,-1.878991417,2.123314571,0.0100652,-0.0181618,-0.9972848,-1.0432602,0.3311288,20.7957833480161,450.451059726253,0.0078399,-0.0183686,-0.9971966,-1.0552527,0.1466948,18.8198013357589,454.123393412774
"27",27,39.29077,1,NA,1,-0.907823553,-2.007791417,2.664214571,0.0027945,-0.0177837,-0.9973385,-1.0215355,0.7488337,27.7772306551621,721.216064036577,0.0145932,-0.0184211,-0.9971197,-1.0582684,0.5347345,27.1296844117392,826.159497178686
"28",28,39.30212,1,NA,1,-0.909523553,-1.850291417,2.804314571,-0.0022626,-0.017644,-0.9973425,-1.0135114,1.0393554,40.4820409110093,930.765305103598,0.0196634,-0.018593,-0.9970294,-1.0681441,0.8260848,41.5189898235926,1067.67218442282
"29",29,39.32419,1,NA,1,-0.915923553,-1.054491417,2.908214571,-0.0172999,-0.0168735,-0.9972083,-0.969248,1.9032591,56.8616018882779,593.967323654226,0.0352354,-0.0188073,-0.9965966,-1.0804554,1.7211364,60.6661307541827,723.896298953884
