"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","FocusedObject","RayDirection_x","RayDirection_y","RayDirection_z"
"1",199.3051,"1","B5",NA,0.0294358,-0.0075681,0.9975934,-0.4344706,0.4611448,NA,NA,0.0686336,-0.0023004,0.9763373,-0.1346672,5.3762655,1.1762503,-30.7597398,"None","0.01323591","-0.02906113","-0.9994888"
"2",199.3282,"1","B5",NA,0.0295062,-0.0075087,0.9975916,-0.4310604,0.4571038,0.4535546,NA,0.0684931,-0.0023532,0.9763471,-0.1377555,5.3845119,0.6764548,-10.7243531,"None","0.0190027","-0.02018193","-0.9996053"
"3",199.3496,"1","B5",NA,0.0300638,-0.0076489,0.9975741,-0.4391059,0.4250749,1.9927295,27.9830192,0.0686891,-0.0022145,0.9763336,-0.1296345,5.3730094,0.6804665,11.9322559,"B5","0.01163146","-0.003723581","-0.999919"
"4",199.372,"1","B5",NA,0.0301618,-0.0077368,0.9975706,-0.4441512,0.4194483,1.6352698,NA,0.0688535,-0.0021321,0.9763222,-0.1248136,5.3633634,1.2108324,38.4952482,"B5","0.006753163","0.002521727","-0.9999588"
"5",199.3834,"1","B5",NA,0.0301674,-0.0078876,0.997569,-0.4528107,0.4191237,NA,NA,0.0690018,-0.0019888,0.9763121,-0.1164254,5.3546576,1.8186057,2.0654648,"B5","0.006776283","0.002561652","-0.9999585"
"6",199.3946,"1","B5",NA,0.0300562,-0.0080221,0.9975714,-0.4605328,0.4255096,2.3951521,NA,0.0690456,-0.0018597,0.9763092,-0.108869,5.3520881,1.2677615,18.6332639,"B5","0.008241525","0.004906856","-0.9999451"
"7",199.4165,"1","B5",NA,0.0289776,-0.0086365,0.9975981,-0.4958052,0.4874506,4.972559,-108.9035209,0.0687765,-0.0012629,0.9763292,-0.0739286,5.3678859,3.1609956,-30.7514544,"B5","0.01270906","0.009232387","-0.9998679"
"8",199.4275,"1","B5",NA,0.0289799,-0.0088297,0.9975962,-0.5068982,0.4873145,1.2820936,-118.3898074,0.0688914,-0.001077,0.9763213,-0.0630483,5.3611422,1.5335241,-45.2298121,"B5","0.01376825","0.007862734","-0.9998671"
"9",199.4496,"1","B5",NA,0.0294484,-0.0092844,0.9975785,-0.5329997,0.4604013,3.4637446,-9.414181,0.0691799,-0.0006339,0.9763013,-0.0371089,5.344217,2.8041046,-0.9399853,"B5","0.02301119","0.002387736","-0.9997278"
"10",199.4609,"1","B5",NA,0.02941,-0.0095908,0.9975767,-0.5505919,0.4626,2.1354793,-5.4487183,0.0691808,-0.0003339,0.9763014,-0.019549,5.3441606,2.1331976,2.5357165,"B5","0.01369602","0.001451862","-0.9998909"
"11",199.4827,"1","B5",NA,0.0290222,-0.0102536,0.9975817,-0.5886411,0.4848625,4.4604093,-20.9315369,0.0688974,0.0003203,0.9763214,0.0187514,5.3607978,3.538071,-9.5829029,"B5","0.001488828","0.002463063","-0.9999867"
"12",199.494,"1","B5",NA,0.0287053,-0.0105281,0.997588,-0.6044043,0.5030606,2.7822323,-67.7347097,0.068709,0.0005916,0.9763346,0.0346337,5.3718491,2.5932832,-22.781756,"B5","-0.000650549","0.001120983","-0.9999846"
"13",199.5156,"1","B5",NA,0.0280996,-0.011169,0.9975981,-0.6411946,0.5378333,3.0639356,-2.723527,0.0680555,0.0012333,0.9763797,0.0722,5.4101979,3.4150774,37.00173,"B5","-0.09690343","-0.01002188","-0.995232"
"14",199.5385,"1",NA,1,0.0275583,-0.0116736,0.9976075,-0.6701672,0.5689153,2.6405404,5.5760633,0.0674072,0.001742,0.9764239,0.1019776,5.4482394,4.2385026,112.0069116,"None","-0.3224608","-0.03923618","-0.9457534"
"15",199.5605,"1",NA,1,0.0277992,-0.0123854,0.9975922,-0.7110315,0.5550658,3.2926424,68.2057421,0.0660234,0.0024867,0.9765169,0.1455714,5.529425,8.3757432,206.4552045,"None","-0.3881376","-0.03396759","-0.9209642"
"16",199.5826,"1",NA,1,0.0266683,-0.0132364,0.997612,-0.7598875,0.6199971,5.6522701,50.3293856,0.0629878,0.0033991,0.9767146,0.1989809,5.7075057,13.345017,147.9902019,"None","-0.3731867","-0.0303645","-0.9272469"
"17",199.6049,"1",NA,1,0.0250873,-0.0136931,0.9976468,-0.7861102,0.710788,5.5159789,-30.5071578,0.0592195,0.003936,0.9769483,0.2304109,5.9285292,14.9311354,45.7031214,"None","-0.3766423","-0.03096388","-0.9258375"
"18",199.6273,"1",NA,1,0.0242435,-0.0143495,0.9976585,-0.8237931,0.7592347,4.2861606,-6.5713513,0.0555119,0.0046696,0.9771628,0.2733591,6.1459377,15.3854042,116.2224399,"None","-0.3797795","-0.03128753","-0.92454"
"19",199.6493,"1",NA,1,0.0230795,-0.0146076,0.9976825,-0.8386139,0.8260812,5.2048784,-40.3361022,0.0514655,0.0050112,0.9773826,0.2933568,6.3831643,20.0530347,-248.8692799,"None","-0.3826389","-0.03534256","-0.9232067"
