"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",1,127.4138,1,"B5",NA,0.366219205,1.14997351,-1.376980795,-0.1986021,0.0061721,-0.9799489,0.3536789,-0.3093441,3.0954255,30.6662448,0.1816663,0.0043373,-0.9792803,0.2495085,0.1287328,1.5773443,-30.4144586
"2",2,127.4365,1,"B5",NA,0.324819205,0.55007351,-0.742880795,-0.1999217,0.0055409,-0.9796842,0.3175049,-0.2322191,2.21719745644257,-45.1849851,0.1814805,0.00447,-0.9793142,0.2571437,0.1396002,3.19792773629646,101.2557211
"3",3,127.4583,1,"B5",NA,0.294119205,-0.17002649,-0.063880795,-0.2001018,0.0051642,-0.9796495,0.2959203,-0.2217113,1.71780813691393,7.55124738967931,0.1799489,0.0048916,-0.9795947,0.2813959,0.2291728,4.48846339710574,7.19392330857488
"4",4,127.4803,1,"B5",NA,0.310419205,-0.45812649,0.167319205,-0.1994805,0.0055279,-0.9797743,0.3167629,-0.2580261,2.55403389497887,60.6314067276433,0.1786928,0.0054993,-0.9798214,0.3163545,0.3026011,3.50262058516876,-109.652359189031
"5",5,127.4918,1,"B5",NA,0.316619205,-0.47742649,0.159119205,-0.1990347,0.0056402,-0.9798643,0.3231991,-0.284087,3.51143823981703,18.1902169618479,0.1782326,0.0055924,-0.9799047,0.3217115,0.329506,1.49594324824286,-87.634030081578
"6",6,127.5136,1,"B5",NA,0.361919205,-0.05962649,-0.300980795,-0.1977977,0.0063191,-0.9801105,0.3620972,-0.3563618,2.48962607174709,-28.9467356906796,0.1780726,0.0057069,-0.9799332,0.3282963,0.3388537,1.47906179277233,8.93991891254388
"7",7,127.5361,1,"B5",NA,0.422619205,0.35097351,-0.701480795,-0.1974659,0.0072857,-0.9801707,0.4174918,-0.3756801,2.24164561619738,50.6217751670659,0.1787342,0.0061872,-0.9798098,0.3559257,0.300135,1.8987816643914,-21.9826527137077
"8",8,127.5473,1,"B5",NA,0.427519205,0.34767351,-0.683580795,-0.1977199,0.0073715,-0.9801188,0.4224052,-0.3608238,3.49901254003572,66.7949047184814,0.1789621,0.0062946,-0.9797675,0.3621052,0.2868022,1.19744301862056,-26.0521750817376
"9",9,127.5696,1,"B5",NA,0.431919205,-0.12422649,-0.157080795,-0.1992302,0.007556,-0.9798116,0.4329793,-0.272506,3.97455793319495,-86.8993145566399,0.1792531,0.0070952,-0.9797088,0.4081637,0.2697279,1.43193134932193,25.4000955947749
"10",10,127.5808,1,"B5",NA,0.435619205,-0.29662649,0.034219205,-0.1997664,0.0076643,-0.9797017,0.4391842,-0.2411413,1.78917434526987,-86.353445386429,0.1793422,0.0074285,-0.9796901,0.4273381,0.2644922,1.88312356670521,18.9778525820255
"11",11,127.6029,1,"B5",NA,0.474719205,0.00427351,-0.256380795,-0.199572,0.0082694,-0.9797363,0.4738607,-0.2524499,2.28458217464833,-7.05755440109414,0.179874,0.0076819,-0.9795906,0.441916,0.2333698,1.83164572188711,-16.9876826834321
"12",12,127.6248,1,"B5",NA,0.520319205,0.54517351,-0.803680795,-0.1987979,0.0089516,-0.9798877,0.5129541,-0.2976488,1.48453679127524,-30.7161990888578,0.1804321,0.0077096,-0.9794877,0.4435042,0.2007229,1.13859720232221,-26.3445689642617
"13",13,127.6472,1,"B5",NA,0.534119205,0.66097351,-0.914980795,-0.1987324,0.009173,-0.9798989,0.5256417,-0.3014552,0.926762331800552,-11.454614658139,0.1806444,0.0077961,-0.9794479,0.4484854,0.1882938,0.667232057849316,6.72319310181842
"14",14,127.6584,1,"B5",NA,0.534319205,0.55137351,-0.803280795,-0.1989034,0.0091952,-0.979864,0.5269088,-0.2914593,0.94906619319553,-8.73837205957895,0.1805445,0.0079479,-0.9794651,0.4572185,0.1941281,1.05351415556653,18.7395065059653
"15",15,127.6803,1,"B5",NA,0.516919205,0.31547351,-0.568780795,-0.1991683,0.0089383,-0.9798126,0.5121926,-0.2759969,0.522713482293972,27.0107252937885,0.1802349,0.0079682,-0.979522,0.4583828,0.2122353,1.11898508159878,21.1956794142261
"16",16,127.6917,1,"B5",NA,0.500419205,0.23717351,-0.496680795,-0.199159,0.0086667,-0.979817,0.4966236,-0.276567,1.36049504658453,23.4696010551328,0.1800409,0.0077864,-0.9795591,0.4479238,0.2235969,1.56816581622614,9.71785845941827
"17",17,127.7137,1,"B5",NA,0.507419205,0.17777351,-0.462580795,-0.1987984,0.0088006,-0.9798889,0.5042996,-0.2976361,0.776386053150505,-12.8267402237494,0.1795668,0.0079518,-0.9796448,0.4574421,0.2513138,1.12891157424688,-14.6290272438425
"18",18,127.736,1,"B5",NA,0.536019205,0.34037351,-0.621980795,-0.1986537,0.0092658,-0.979914,0.5309596,-0.3060487,0.796387555242898,18.3651257540846,0.179816,0.0082203,-0.9795969,0.472889,0.2367162,0.921701031723083,10.2950396179964
"19",19,127.7583,1,"B5",NA,0.547319205,0.40557351,-0.677080795,-0.1987448,0.0094484,-0.9798938,0.5414229,-0.3007008,1.59547066178273,33.4830878685868,0.1800558,0.0083379,-0.9795518,0.4796511,0.2226768,1.58807034120954,17.7679521210804
"20",20,127.7804,1,"B5",NA,0.552019205,0.40647351,-0.636380795,-0.1994566,0.0095318,-0.9797484,0.5462023,-0.2590703,2.28350670366696,-1.16298223243066,0.1807174,0.0084726,-0.9794288,0.4873985,0.1839631,1.71302092183796,-12.7942682331057
"21",21,127.8023,1,"B5",NA,0.539419205,0.31197351,-0.507280795,-0.2001642,0.0093299,-0.9796059,0.5346275,-0.2177096,1.55075861051681,-34.2214907038171,0.1811515,0.0084338,-0.979349,0.485169,0.1585735,1.02881216708474,-17.1261612336045
"22",22,127.8248,1,"B5",NA,0.542319205,0.29247351,-0.470980795,-0.2004743,0.0093855,-0.979542,0.5378188,-0.1995669,0.763614912218623,-13.7827535053716,0.1813944,0.0085326,-0.9793032,0.4908512,0.1443529,0.961089111661405,9.93294014654476
"23",23,127.8469,1,"B5",NA,0.577819205,0.50807351,-0.682280795,-0.2002839,0.0099628,-0.9795754,0.5708968,-0.2106388,0.927567239832143,-1.40695485384293,0.1817255,0.0088489,-0.979239,0.5090464,0.1249509,1.46664415613249,13.4315704231749
"24",24,127.8691,1,"B5",NA,0.580819205,0.73457351,-0.896880795,-0.2002096,0.0099749,-0.9795904,0.5715898,-0.2149835,0.700404250972275,14.0866544614487,0.1821899,0.0086138,-0.9791548,0.4955233,0.0977982,1.55516325906382,-18.6327342857146
"25",25,127.8805,1,"B5",NA,0.563319205,0.77207351,-0.922080795,-0.2003759,0.0096646,-0.9795594,0.5538105,-0.2052891,1.13823123724278,10.4357496287858,0.1824307,0.0082831,-0.9791128,0.476497,0.0837403,1.08488116179041,-55.9249543944122
"26",26,127.8919,1,"B5",NA,0.560619205,0.75017351,-0.897680795,-0.2004449,0.0096191,-0.9795458,0.5512019,-0.2012578,0.938339342508233,30.3155755116144,0.1824437,0.0082694,-0.9791105,0.4757126,0.0829774,0.280074298870804,-12.2119718718283
"27",27,127.9031,1,"B5",NA,0.537319205,0.64537351,-0.788780795,-0.2006427,0.0092299,-0.979509,0.5289011,-0.189731,1.81379325335564,58.5648189740998,0.1823813,0.0080183,-0.9791242,0.4612641,0.0866534,0.797213573212573,35.4498289005715
"28",28,127.9248,1,"B5",NA,0.501119205,0.47317351,-0.607680795,-0.2010074,0.0086299,-0.9794398,0.4945174,-0.168461,2.65931444456331,71.0542263532755,0.1823128,0.0076471,-0.9791399,0.4399144,0.0906933,1.33377880345938,86.6209540026061
