"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",1,29.39226,1,"B5",NA,-0.292247059,0.77464902,-0.169845098,-0.1850895,-0.0061248,-0.9780925,-0.352527,0.5452563,1.1428156,NA,0.1392489,-0.0051021,-0.9783596,-0.2958129,0.6181561,1.7798669,43.5037518
"2",2,29.41475,1,"B5",NA,-0.289947059,0.86664902,-0.232745098,-0.1854657,-0.0062207,-0.9780207,-0.3580453,0.5673007,1.09555511150873,99.2227874,0.1398284,-0.0052209,-0.9782763,-0.3026973,0.6520946,1.56523962135879,82.4781906
"3",3,29.43643,1,"B5",NA,-0.363847059,0.91634902,-0.260345098,-0.185773,-0.0075468,-0.977953,-0.4343714,0.5854006,2.32378663141144,20.2793295206108,0.1402436,-0.0064744,-0.9782094,-0.3753749,0.6764801,2.49479729422981,8.88450793753075
"4",4,29.45871,1,"B5",NA,-0.446747059,0.96754902,-0.291245098,-0.1860474,-0.0090295,-0.9778882,-0.5197152,0.6016175,1.96521038771738,-19.6721560273723,0.1406332,-0.0078808,-0.9781432,-0.4569182,0.6993812,1.93540752920083,-25.3643080575946
"5",5,29.48141,1,"B5",NA,-0.488347059,0.96224902,-0.286845098,-0.1860376,-0.0097259,-0.9778835,-0.5597977,0.601114,1.43743026403229,-7.92996393530465,0.1406134,-0.0085373,-0.9781405,-0.4949792,0.6982691,1.35380275784556,-9.67057107202587
"6",6,29.5039,1,"B5",NA,-0.530947059,0.96104902,-0.267945098,-0.1863372,-0.0104478,-0.9778189,-0.6013494,0.6187498,1.60363806250765,1.3881250080688,0.1408923,-0.0091736,-0.9780946,-0.5318736,0.7146521,1.49504475771218,10.2600613703358
"7",7,29.52594,1,"B5",NA,-0.584247059,0.96914902,-0.256745098,-0.1866546,-0.0113644,-0.9777482,-0.6541101,0.6374543,1.50194444841706,22.0503413334532,0.1412091,-0.0100006,-0.9780408,-0.5798221,0.733278,1.80889235908995,25.9651378793527
"8",8,29.54798,1,"B5",NA,-0.650147059,1.05644902,-0.329945098,-0.1867751,-0.0126119,-0.9777098,-0.7259154,0.6446863,2.57561710848631,21.7068559472392,0.1415487,-0.0112406,-0.9779782,-0.6517227,0.7532869,2.63958803543402,14.6815346836596
"9",9,29.57054,1,"B5",NA,-0.747347059,1.06904902,-0.311345098,-0.1872818,-0.0142789,-0.9775899,-0.8218713,0.6746256,2.45602612890006,10.9975450848259,0.1420615,-0.0127536,-0.9778853,-0.7394514,0.7834836,2.45172421346772,5.3862618770028
"10",10,29.59248,1,"B5",NA,-0.845047059,1.10204902,-0.334345098,-0.1873977,-0.0159855,-0.9775415,-0.9201085,0.6817071,3.0549027552772,48.4750017642326,0.1422677,-0.014379,-0.9778328,-0.8336977,0.7957528,2.87077428241159,35.6902570526865
"11",11,29.6037,1,"B5",NA,-0.906447059,1.09434902,-0.314245098,-0.1876139,-0.0170178,-0.9774824,-0.9795328,0.6945649,3.836419454486,24.1360441450304,0.1424565,-0.0153135,-0.9777911,-0.8878831,0.8069367,3.45736366099525,21.2350984191091
"12",12,29.62556,1,"B5",NA,-1.009747059,1.07724902,-0.263145098,-0.1882024,-0.0187455,-0.9773378,-1.0789912,0.7294057,3.36901316505021,-19.837609052163,0.1429761,-0.0168411,-0.9776902,-0.9764609,0.8375975,3.24290620881301,-11.1323640851795
"13",13,29.63705,1,"B5",NA,-1.057947059,1.09774902,-0.266345098,-0.1884649,-0.0195929,-0.9772705,-1.1277711,0.7449819,3.15882186537267,-38.4292444106412,0.1432789,-0.0176223,-0.9776321,-1.0217585,0.8554545,3.09980708623322,-16.701782417466
"14",14,29.65864,1,"B5",NA,-1.094247059,1.12044902,-0.258745098,-0.1889471,-0.0202434,-0.9771642,-1.1652169,0.7733933,1.89440184890473,-23.8612257430449,0.1437884,-0.0181851,-0.9775469,-1.054394,0.8854071,2.64751098450171,-17.0832305691548
"15",15,29.66988,1,"B5",NA,-1.098047059,1.21464902,-0.332945098,-0.1891647,-0.020447,-0.9771178,-1.1769413,0.7862027,2.01627296178329,34.4057297132062,0.1442276,-0.018435,-0.9774776,-1.0688844,0.9111843,2.49895046540447,-20.1355270984157
"16",16,29.69206,1,"B5",NA,-1.095147059,1.22254902,-0.301245098,-0.1898302,-0.0204087,-0.9769896,-1.1747348,0.8252176,3.30202169381443,38.5694083634231,0.1448612,-0.0183078,-0.9773863,-1.06151,0.9483081,1.89889438310308,0.495759659419821
"17",17,29.71417,1,"B5",NA,-1.071347059,0.97334902,0.004554902,-0.1911239,-0.0196362,-0.9767532,-1.1302626,0.9009215,3.72587001797474,-22.8473486813816,0.145422,-0.0171434,-0.9773241,-0.9939928,0.9810043,2.51897918271246,79.7404349321148
"18",18,29.72554,1,"B5",NA,-1.046847059,0.89054902,0.108854902,-0.1916029,-0.0190954,-0.97667,-1.0991302,0.9289055,2.98835860223455,-54.489952316806,0.1456493,-0.0164823,-0.9773016,-0.9556569,0.9942301,4.01339995793709,77.7995692546908
"19",19,29.74754,1,"B5",NA,-0.962147059,1.14184902,-0.087845098,-0.1922153,-0.0180325,-0.9765698,-1.0379454,0.9646077,2.01782366830599,30.614280202742,0.1468347,-0.0156315,-0.9771382,-0.9063228,1.0636132,4.5450016687369,-1.83099923480043
"20",20,29.76966,1,NA,1,-0.833147059,1.62224902,-0.519245098,-0.1924378,-0.0165327,-0.9765526,-0.9516074,0.9773658,4.34802818531584,116.753645799718,0.1482293,-0.0146515,-0.9769428,-0.8494947,1.1452643,3.92949690609437,-7.20762330442423
"21",21,29.79195,1,NA,1,-0.806847059,1.51424902,-0.344645098,-0.1937157,-0.0159319,-0.9763099,-0.9170233,1.0522405,7.20479275466262,105.583875558332,0.1491345,-0.013792,-0.9768175,-0.7996565,1.1982493,4.22841619296723,77.6961067643647
"22",22,29.80339,1,NA,1,-0.841647059,1.25624902,-0.019645098,-0.195191,-0.0161539,-0.9760124,-0.9298052,1.1388725,8.15436130822129,40.7253499304749,0.1498513,-0.0135274,-0.9767115,-0.784319,1.2402606,5.85268738483306,151.485017911328
