"","Time","Phase","GFO","Movement","pitch2","yaw2","V2","V2a"
"1",78.47307,1,"B5",NA,-7.5160907,22.6866564,0.5297203,-11.7225554
"2",78.49487,1,"B5",NA,-7.4993327,22.6660957,1.28983429430133,36.5744687
"3",78.51725,1,"B5",NA,-7.5053967,22.6876641,2.05417244884052,32.5734906076041
"4",78.53938,1,"B5",NA,-7.5200941,22.7362871,2.7400751717318,-18.8745960441321
"5",78.56163,1,"B5",NA,-7.5041862,22.7863942,1.21053361503691,-37.5118304657966
"6",78.58408,1,"B5",NA,-7.5145577,22.7854688,1.06954267196758,3.79601522364104
"7",78.60633,1,"B5",NA,-7.5381725,22.7591116,1.37820024845264,-0.433595774529456
"8",78.62892,1,"B5",NA,-7.5662144,22.7404881,1.04523624966072,-10.0942038856584
"9",78.65087,1,"B5",NA,-7.589483,22.7498055,0.925631454878643,-7.4546219525069
"10",78.67308,1,"B5",NA,-7.6094543,22.7609459,0.715518673584701,29.359334951576
"11",78.69512,1,"B5",NA,-7.6312159,22.7546903,2.21818269223146,21.4455361019219
"12",78.71735,1,"B5",NA,-7.6347412,22.7011041,1.65603320851585,-17.8032687891925
"13",78.73941,1,"B5",NA,-7.6576411,22.6871226,1.42840353433054,1.35861387205822
"14",78.76134,1,"B5",NA,-7.6690603,22.6616829,1.71428058694037,8.01733258840724
"15",78.784,1,"B5",NA,-7.6759369,22.627121,1.78223284803945,-8.76817080185328
"16",78.80594,1,"B5",NA,-7.6628677,22.5959484,1.33169237077778,17.9719195156325
"17",78.81725,1,"B5",NA,-7.6509474,22.5869693,1.97046936879124,27.640135932797
"18",78.83962,1,"B5",NA,-7.6569475,22.5455037,1.94365479352203,-28.2767185966332
"19",78.86167,1,"B5",NA,-7.6611711,22.5140961,0.72308249959635,-25.6011589953973
"20",78.87311,1,"B5",NA,-7.6696692,22.5140236,0.770586351056242,-2.62731063605204
"21",78.89493,1,"B5",NA,-7.6683819,22.5017065,0.565324392621306,-0.211230571355961
"22",78.91714,1,"B5",NA,-7.6785963,22.4928633,0.76487224085428,-2.28950685190647
"23",78.93931,1,"B5",NA,-7.6813573,22.4784184,0.46416704259565,-12.1462238217134
"24",78.96117,1,"B5",NA,-7.6887846,22.4743224,0.229634616764616,23.7804260154376
"25",78.97248,1,"B5",NA,-7.6937402,22.4737525,0.888891025061879,38.5639605735287
"26",78.98374,1,"B5",NA,-7.7087889,22.4631094,1.10100949344451,22.8382568541649
"27",78.99506,1,"B5",NA,-7.7220733,22.4676325,1.40481886644753,17.6250290879019
"28",79.01679,1,"B5",NA,-7.7125597,22.4435096,1.58760672289074,3.54002568727042
"29",79.03884,1,NA,1,-7.7142658,22.4126087,1.5582422314669,20.6707355206132
"30",79.06114,1,NA,1,-7.7193947,22.3855981,2.50985445785192,77.2581338723513
"31",79.08367,1,NA,1,-7.7266161,22.3252697,5.02967890913356,31897.8267342076
"32",79.10616,1,NA,1,-7.7221388,22.2081843,1437.27857468576,22377.0805725271
"33",79.12793,1,NA,1,-7.7338404,-21.9617282,1025.18011052137,-52479.7841005067
"34",79.13954,1,NA,1,-7.7336702,-21.7858373,26.3727514965731,-42666.0193078446
"35",79.16145,1,NA,1,-7.7812091,-21.2033804,41.6633096517594,623.385892116155
"36",79.18416,1,NA,1,-7.8119389,-20.2936056,54.1286344479347,558.292471216283
"37",79.20631,1,NA,1,-7.8805441,-19.2258379,66.7030453378189,443.916973212224
"38",79.22839,1,NA,1,-7.9633192,-17.8971712,73.7717465295583,390.275808527779
"39",79.23977,1,NA,1,-8.0264822,-17.1950676,79.0112255819176,782.207333992451
"40",79.25175,1,NA,1,-8.0893113,-16.3811858,92.2371875533026,768.567654865644
"41",79.27338,1,NA,1,-8.2322557,-14.6018664,101.605828523087,447.142778343312
"42",79.285,1,NA,1,-8.2684577,-13.6102485,106.964435102837,339.418393947368
"43",79.3071,1,NA,1,-8.3763344,-11.6016267,111.775230231272,138.449775271272
"44",79.32912,1,NA,1,-8.4238389,-9.5380444,113.079177848785,83.3327156525165
"45",79.3515,1,NA,1,-8.4185872,-7.4424988,115.483884639178,28.5555658487814
"46",79.37341,1,NA,1,-8.3426245,-5.3148427,114.380983735854,-97.4497834583932
"47",79.38468,1,NA,1,-8.2992122,-4.2661802,112.751772471128,-98.8537065315861
"48",79.40733,1,NA,1,-8.0977827,-2.1460692,111.548023890542,-790.327551568588
"49",79.42858,1,NA,1,-7.9208115,-0.2066399,79.0884476436951,-590.219221262381
"50",79.44047,1,NA,1,-7.8153463,-0.7659947,83.2151221656125,424.766548533679
"51",79.46221,1,NA,1,-7.6651391,-2.5885153,94.1386475489722,-0.984685756732631
"52",79.48475,1,NA,1,-7.5316658,-4.2486442,82.7687628763713,54.9548143413394
"53",79.50908,1,NA,1,-7.4007838,-5.8253358,97.7156810936047,-106.445111558214
"54",79.52455,1,NA,1,-7.2853041,-7.2518181,84.9184129991727,-975.92045928082
"55",79.547,1,NA,1,-7.1910939,-8.4793267,59.6709268933006,-871.301976405297
"56",79.55838,1,NA,1,-7.1320325,-8.9983792,52.6381514553,-451.70808491292
"57",79.58037,1,NA,1,-7.0315246,-9.921556,46.3617251252577,-338.383443195612
"58",79.60252,1,NA,1,-6.9851744,-10.7124095,37.6934324166331,-383.478720244984
"59",79.62481,1,NA,1,-6.9847035,-11.3368947,29.3210320827975,-419.817190366476
