"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",1,47.20384,1,"B5",NA,0.970466057,0.509540765,-1.225818469,-0.0701989,0.0162419,-0.9839727,0.9432676,-0.7466798,1.2931821,NA,0.1218492,0.0183515,-0.9843627,1.0599548,0.635986,NA,NA
"2",2,47.22551,1,"B5",NA,0.991366057,0.389540765,-1.097518469,-0.0704822,0.0162569,-0.9839521,0.9441413,-0.7301843,0.498445172775868,NA,0.1218397,0.0184264,-0.9843625,1.0642805,0.6365319,0.164589619554386,NA
"3",3,47.23703,1,"B5",NA,0.987466057,0.366940765,-1.074418469,-0.0705152,0.0161388,-0.9839517,0.9372801,-0.7282732,0.95662552920073,28.5194098211668,0.121822,0.0183155,-0.9843668,1.0578735,0.6375744,0.431770523106864,15.0090058267607
"4",4,47.2594,1,"B5",NA,0.979466057,0.476140765,-1.196718469,-0.0701632,0.0162948,-0.9839743,0.9463379,-0.7487573,1.34287085400719,1.33007840871519,0.1217402,0.0184375,-0.9843746,1.0649241,0.6423208,0.584450803824772,8.25013445377028
"5",5,47.28144,1,"B5",NA,0.973666057,0.568940765,-1.309518469,-0.0697122,0.0164452,-0.9840039,0.9550733,-0.7750099,1.02095323781209,-36.2718725309634,0.1215286,0.0185771,-0.9843981,1.0729875,0.6546164,0.797688774041759,3.79831724937452
"6",6,47.29255,1,"B5",NA,0.978866057,0.558140765,-1.305718469,-0.069606,0.016498,-0.9840105,0.9581419,-0.7811891,0.377265583891559,-38.9288094339323,0.1214032,0.0186537,-0.9844122,1.0774093,0.6619086,0.774597644252531,-12.0296623907641
"7",7,47.30436,1,"B5",NA,0.988666057,0.516540765,-1.268018469,-0.0695868,0.0165424,-0.9840112,0.9607191,-0.7823043,0.142011136817607,-7.19130362484871,0.1212908,0.0187346,-0.9844245,1.0820842,0.6684356,0.515003035037219,-5.98285370657677
"8",8,47.32576,1,"B5",NA,0.976666057,0.550840765,-1.299218469,-0.0695989,0.0164448,-0.9840119,0.9550543,-0.7816045,0.260509977354084,19.6425989983082,0.1213822,0.0186044,-0.9844157,1.0745656,0.6631363,0.729328482949986,-4.9084850921254
"9",9,47.33714,1,"B5",NA,0.973566057,0.599640765,-1.342718469,-0.0696339,0.0165234,-0.9840081,0.9596181,-0.7795582,0.644560726569207,29.1698438583583,0.1215243,0.0186445,-0.9843974,1.0768823,0.6548575,0.503638296961371,8.31783225319283
"10",10,47.34844,1,"B5",NA,0.979466057,0.633640765,-1.381318469,-0.0695171,0.0167021,-0.9840133,0.9699959,-0.7863469,0.92244827807276,6.25413100333375,0.1214893,0.0188207,-0.9843984,1.0870589,0.6568698,0.915724917629729,18.5870306862296
"11",11,47.37049,1,"B5",NA,0.993066057,0.660740765,-1.395018469,-0.069717,0.0169835,-0.9839944,0.9863413,-0.7746927,0.656005852607022,3.70549644140809,0.1217334,0.01907,-0.9843634,1.1014595,0.6426279,0.931297042950995,11.2496369255074
"12",12,47.3926,1,"B5",NA,1.004366057,0.730840765,-1.454318469,-0.0698243,0.0173404,-0.9839805,1.0070705,-0.7684141,1.08703034411455,0.0508953442959346,0.1219863,0.0193771,-0.9843261,1.1191985,0.6278683,1.41314148934565,5.93403138275025
"13",13,47.40383,1,"B5",NA,1.005866057,0.770540765,-1.481718469,-0.0699871,0.0174669,-0.9839667,1.014415,-0.7589292,0.869249661614942,-11.9970689700425,0.1222293,0.0194587,-0.9842943,1.1239116,0.6137132,1.30168382637724,-21.7682162683215
"14",14,47.41531,1,"B5",NA,1.002666057,0.811340765,-1.514418469,-0.0700804,0.0175229,-0.983959,1.017673,-0.7534881,0.816425830288597,-1.14294638772692,0.122407,0.0194752,-0.9842719,1.1248657,0.6033644,0.915824491887573,-22.9368313885106
"15",15,47.43679,1,"B5",NA,0.997666057,0.801240765,-1.488518469,-0.0703624,0.0174192,-0.9839409,1.0116476,-0.737078,0.866162475152172,-3.23071008398903,0.122649,0.0193399,-0.9842445,1.1170494,0.5892942,0.652431952792419,-7.55008398171799
"16",16,47.4656,1,"B5",NA,1.014766057,0.755640765,-1.427318469,-0.0706835,0.0175649,-0.9839152,1.0201103,-0.7183669,0.61329980096378,-2.34784370442903,0.1228431,0.0194895,-0.9842173,1.1256918,0.5779769,0.570670743716014,4.27993828965358
"17",17,47.48026,1,"B5",NA,1.023066057,0.770140765,-1.435618469,-0.0707748,0.0177314,-0.9839057,1.0297807,-0.7130408,0.673130471783233,-7.26420887563765,0.1229579,0.0196415,-0.9842,1.1344714,0.5712692,0.737762815002459,-4.17840063126344
"18",18,47.49808,1,"B5",NA,1.016266057,0.785340765,-1.442218469,-0.0709032,0.0176656,-0.9838976,1.0259613,-0.7055663,0.341506744535805,3.42283732268123,0.1231144,0.0195449,-0.9841823,1.1288929,0.5621733,0.385735427532557,2.63066513198581
"19",19,47.5205,1,"B5",NA,1.017266057,0.831140765,-1.488418469,-0.0708453,0.0178009,-0.9838993,1.0338162,-0.7089269,0.912214826475724,48.6555459899943,0.1231612,0.0196576,-0.9841742,1.135403,0.5594356,0.946593106768736,50.6727874254164
