"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",1,56.13909,1,"B5",NA,0.2216015,-1.414498,0.9439785,-0.0481369,-0.0006165,-0.9828709,-0.0358955,-0.380205,3.4174031,75.0960419,0.100066,0.0012453,-0.9833985,0.0721832,0.5332219,3.8293237,70.0633174
"2",2,56.16114,1,"B5",NA,0.1812015,-1.472098,1.0308785,-0.0487032,-0.0013933,-0.9828422,-0.0811223,-0.3471919,2.44225430477733,-22.3062849,0.1004709,0.000397,-0.9833579,0.0230125,0.5096333,2.16812236707592,-16.2996028
"3",3,56.17247,1,"B5",NA,0.1503015,-1.492298,1.0684785,-0.0490255,-0.0019243,-0.9828253,-0.1120408,-0.3284041,3.32420591868625,32.3060492175706,0.100727,-0.0001841,-0.9833318,-0.0106687,0.4947082,3.54802151678126,66.148078649643
"4",4,56.19449,1,"B5",NA,0.0973015,-1.415798,1.0506785,-0.0499482,-0.0025249,-0.9827775,-0.1470141,-0.2746051,3.03288007748263,-27.4185357311467,0.1017543,-0.0009873,-0.9832255,-0.0572304,0.4348474,3.77933124327168,-12.5878165034913
"5",5,56.20586,1,"B5",NA,0.0963015,-1.341898,1.0069785,-0.0503829,-0.0023367,-0.9827558,-0.1360523,-0.249266,2.55980831585031,-35.4534946935388,0.102322,-0.0009002,-0.9831667,-0.0521789,0.4017665,3.37364780233129,-36.5939499849412
"6",6,56.22781,1,"B5",NA,0.0983015,-1.184598,0.9017785,-0.0510994,-0.0018677,-0.9827198,-0.1087436,-0.2074924,1.91667388014353,-26.1025422307905,0.1033351,-0.0006194,-0.9830609,-0.0359043,0.3427234,2.55035295196277,-39.7253851735057
"7",7,56.25006,1,"B5",NA,0.1268015,-1.079698,0.8283785,-0.0515203,-0.0011393,-0.982699,-0.0663333,-0.1829544,1.4070351788678,-33.6526762094511,0.1039588,8.6e-06,-0.9829954,0.0004992,0.306372,1.61712048352776,-48.9128548032928
"8",8,56.27223,1,"B5",NA,0.1259015,-1.036198,0.7972785,-0.0516849,-0.0010317,-0.9826904,-0.0600713,-0.1733613,0.42268180820278,-20.4427451293873,0.1042068,6.82e-05,-0.9829691,0.0039518,0.2919169,0.378201527401494,-22.1193608973497
"9",9,56.29454,1,"B5",NA,0.1068015,-1.008698,0.7663785,-0.0515959,-0.0012457,-0.9826948,-0.0725326,-0.1785456,0.501095925109295,6.59758756360672,0.1041835,-0.0001623,-0.9829716,-0.0094071,0.2932744,0.637978175112267,-1.90595723603541
"10",10,56.30574,1,"B5",NA,0.0983015,-0.990098,0.7521785,-0.0516499,-0.0013231,-0.9826919,-0.0770353,-0.1753997,0.609516664241276,9.00536639038285,0.1042751,-0.0002637,-0.9829618,-0.0152862,0.2879359,0.464872431171116,-7.18446330338292
