"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","FocusedObject","RayOrigin_x","RayOrigin_y","RayOrigin_z","RayDirection_x","RayDirection_y","RayDirection_z","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",89.00761,1.820038,1.763811,-1.110385,0.06774297,0.05283798,0.9825551,-0.1649381,19.34651,172.9569,4.954368,"Calibration","B5",NA,"B5","1.783142","1.667028","-1.115051","-0.004310229","-0.03400686","-0.9994038",0.1277837,0.0142257,0.9848269,0.8206945,0.1769998,NA,NA,0.1516661,-0.0142642,0.9848081,-0.8201588,0.1567908,NA,NA
"2",89.02785,1.82014,1.763808,-1.11022,0.06758596,0.05271968,0.9825707,-0.1649473,19.34594,172.9733,4.943364,"Calibration","B5",NA,"B5","1.783184","1.667052","-1.1149","-0.002034067","-0.03754774","-0.9992902",0.127497,0.014247,0.9848637,0.8219217,0.1936745,0.6395021,NA,0.151319,-0.0142795,0.9848612,-0.8210384,0.1769846,0.8024964,NA
"3",89.04991,1.82018,1.76385,-1.109995,0.06754857,0.05269607,0.9825675,-0.164989,19.35042,172.9774,4.94106,"Calibration","B5",NA,"B5","1.783251","1.667055","-1.114749","-0.002324352","-0.03585444","-0.9993405",0.1274331,0.0141723,0.9848729,0.8176118,0.197401,NA,NA,0.151235,-0.0142027,0.9848752,-0.8166252,0.1818809,0.3233331,1.8205512
"4",89.07221,1.820311,1.763944,-1.109779,0.06748038,0.0527218,0.9825804,-0.1649322,19.34367,172.986,4.945858,"Calibration","B5",NA,"B5","1.783317","1.667059","-1.114592","-0.002296849","-0.03662009","-0.9993163",0.1274648,0.014295,0.9848672,0.8246924,0.1955435,1.2598544,NA,0.1511154,-0.0143177,0.9848919,-0.8232372,0.1888237,0.888906,26.6671867
"5",89.09399,1.820324,1.763862,-1.10957,0.06745641,0.05284785,0.9826079,-0.1647377,19.32189,172.9909,4.962551,"Calibration","B5",NA,"B5","1.783385","1.667065","-1.114409","-0.002387049","-0.0359922","-0.9993459",0.1277224,0.0146755,0.9848282,0.8466472,0.1805196,1.6211292,6.9591473,0.1511294,-0.0146881,0.9848843,-0.8445369,0.1879588,1.498144,12.2937457
"6",89.11642,1.820382,1.763867,-1.109357,0.06730327,0.05288379,0.9826469,-0.1645562,19.30033,173.0094,4.971014,"Calibration","B5",NA,"B5","1.814001","1.666722","-1.112479","-0.008662593","-0.03616669","-0.9992924",0.1277573,0.0150618,0.984818,0.8689335,0.1784457,1.5612599,-2.7999056,0.1508609,-0.0150587,0.9849199,-0.865848,0.2035313,1.4222214,-11.1172148
"7",89.13829,1.820532,1.763797,-1.109217,0.06719602,0.05307055,0.9826496,-0.1645238,19.29734,173.026,4.995723,"Calibration","B5",NA,"B5","1.783528","1.667141","-1.114085","-0.000746602","-0.03779731","-0.9992704",0.1280838,0.0151248,0.9847746,0.8725662,0.1594401,1.4971666,-9.5858376,0.1507219,-0.0150985,0.9849406,-0.8681359,0.211611,1.0099815,12.067741
"8",89.14989,1.820603,1.763794,-1.109113,0.06728843,0.05311181,0.9826202,-0.1646478,19.31249,173.0161,4.998068,"Calibration","B5",NA,"B5","1.783572","1.667135","-1.114","-0.001763337","-0.03807771","-0.9992701",0.128183,0.0148558,0.9847655,0.8570471,0.1536958,1.3087707,33.9585824,0.1509065,-0.014834,0.9849163,-0.8529261,0.2009094,1.508608,22.1908724
"9",89.17172,1.820785,1.763785,-1.108972,0.06720844,0.0534187,0.9825842,-0.1647961,19.33146,173.0323,5.035567,"Calibration","B5",NA,"B5","1.783661","1.667156","-1.113831","-0.002690224","-0.03897448","-0.9992353",0.1287316,0.0145386,0.9846987,0.8387466,0.1218125,3.145944,-14.115975,0.1508509,-0.0144857,0.98493,-0.8328943,0.2041899,1.539098,-33.1315481
"10",89.18311,1.820818,1.763782,-1.108912,0.06717773,0.05354784,0.9825749,-0.1648225,19.33528,173.0387,5.051495,"Calibration","B5",NA,"B5","1.783725","1.667158","-1.113724","-0.003087336","-0.03907008","-0.99923",0.1289676,0.0144769,0.984669,0.8351849,0.1080892,1.8658203,NA,0.1508354,-0.0144113,0.9849335,-0.828619,0.2051005,0.7684529,-27.2169246
