"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","FocusedObject","RayOrigin_x","RayOrigin_y","RayOrigin_z","RayDirection_x","RayDirection_y","RayDirection_z","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","eyepitch","eyeyaw"
"1",91.57823,1.845253,1.774539,-1.066272,0.006944073,0.03844963,0.9826257,-0.181439,20.92265,180.0188,4.485084,"Calibration","B5",NA,2.65406221,0.821393875,-0.425872096,"B5","1.813024","1.675543","-1.066021","-0.04894628","-0.0259519","-0.9984508",0.078118,0.0463598,0.9959082,2.6570591,0.7544506,NA,NA,0.0309514,-0.046363,0.9953574,-2.6655809,0.9898292,NA,NA,1.4871212,179.964391
"2",91.59795,1.845214,1.77443,-1.066618,0.006759213,0.03862865,0.9825552,-0.18179,20.96267,180.0468,4.511439,"Calibration","B5",NA,2.61404221,0.849393875,-0.399517096,"B5","1.813011","1.675325","-1.066573","-0.0519844","-0.02649583","-0.9982885",0.0783838,0.0456619,0.99592,2.6170335,0.7393103,3.3215269,NA,0.0306484,-0.0456543,0.9953995,-2.6248055,1.0073307,3.3263019,NA,1.5182888,179.7900102
"3",91.62019,1.845162,1.774318,-1.066992,0.006485829,0.03840717,0.9824969,-0.1821612,21.00466,180.0766,4.491462,"Calibration","B5",NA,2.57205221,0.879193875,-0.419494096,"B5","1.872558","1.675096","-1.068962","-0.06089474","-0.03818768","-0.9974098",0.0778314,0.0449297,0.9959963,2.5750385,0.7712338,4.3753406,-2.8238734,0.0299916,-0.044935,0.9954522,-2.5834243,1.0451926,4.7637486,-10.8842426,2.1885329,179.2771752
"4",91.63152,1.845156,1.774236,-1.067205,0.006519058,0.03827211,0.9824542,-0.1824184,21.03477,180.0708,4.474877,"Calibration","B5",NA,2.54194221,0.873393875,-0.436079096,"B5","1.874747","1.674996","-1.069175","-0.0634239","-0.04870975","-0.9967845",0.0775851,0.0444046,0.996039,2.5449271,0.7855076,3.7744942,-52.304408,0.0299769,-0.0444204,0.9954758,-2.5538151,1.0460781,3.7848153,-67.369804,2.7920034,179.1301745
"5",91.64292,1.845138,1.774171,-1.067389,0.006475483,0.03823394,0.9824194,-0.1826154,21.05752,180.0762,4.471601,"Calibration","B5",NA,2.51919221,0.878793875,-0.439355096,"B5","1.87466","1.674955","-1.069293","-0.06340769","-0.04717614","-0.9968678",0.0774922,0.0440079,0.9960639,2.5221767,0.7909316,3.1865123,5.9016597,0.0298602,-0.0440268,0.9954968,-2.531172,1.0528219,3.2337652,9.3162446,2.7040088,179.1314058
"6",91.66501,1.845107,1.773984,-1.067812,0.006311165,0.0382353,0.9823072,-0.1832234,21.12758,180.099,4.476576,"Calibration","B5",NA,2.44913221,0.901593875,-0.434380096,"B5","1.854161","1.674896","-1.068822","-0.05604347","-0.04194951","-0.9975444",0.0774238,0.042786,0.9961224,2.4520999,0.7951008,4.5865915,14.3361431,0.0294986,-0.042807,0.9955608,-2.461001,1.0737249,4.7131373,10.1960729,2.4042408,179.5553324
"7",91.6871,1.84512,1.773817,-1.068187,0.006381604,0.03819085,0.9822072,-0.1837656,21.19107,180.0922,4.470629,"Calibration","B5",NA,2.38564221,0.894793875,-0.440327096,"B5","1.854107","1.674776","-1.069041","-0.05795151","-0.03920426","-0.9975458",0.0773717,0.041679,0.9961735,2.3886207,0.7983084,3.8198831,-4.1286202,0.0295753,-0.0417069,0.9956052,-2.3977159,1.0693911,3.6842277,-22.95696,2.2468223,179.446102
"8",91.70914,1.84516,1.77367,-1.068539,0.006399094,0.03842249,0.9821419,-0.1840656,21.22607,180.0968,4.498804,"Calibration","B5",NA,2.35064221,0.899393875,-0.412152096,"B5","1.843283","1.674737","-1.06894","-0.05922679","-0.03073436","-0.9977579",0.0778314,0.0410685,0.9961631,2.3536125,0.7719795,4.4028665,-40.534785,0.0296914,-0.0410844,0.9956276,-2.3619084,1.062753,3.6988656,-21.5741731,1.76125,179.3738265
"9",91.72063,1.845176,1.773606,-1.068694,0.006477783,0.03853789,0.9820909,-0.1843106,21.25496,180.0911,4.511442,"Calibration","B5",NA,2.32175221,0.893693875,-0.399514096,"B5","1.843465","1.674718","-1.068997","-0.05852035","-0.03480813","-0.997678",0.0780922,0.0405647,0.9961633,2.3247242,0.7570705,3.1674534,-66.248319,0.0298784,-0.0405759,0.9956429,-2.3326612,1.0520292,3.19546,-36.4345371,1.9947643,179.4139845
"10",91.74242,1.845216,1.773437,-1.068989,0.006589536,0.03856688,0.9820157,-0.1847009,21.30095,180.0802,4.513151,"Calibration","B5",NA,2.27576221,0.882793875,-0.397805096,"B5","1.819808","1.674787","-1.068413","0.002094918","-0.01165742","-0.9999252",0.0782004,0.0397628,0.9961872,2.2787464,0.7509963,2.6232282,NA,0.0300797,-0.0397759,0.9956691,-2.2866439,1.0405034,2.5623172,-36.5102945,0.6679392,177.1090504
