"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",82.58183,1.922412,1.841999,-2.145972,0.5589805,-0.8275446,0.03938977,0.03404799,291.8987,181.8924,184.1713,"Calibration","B5",NA,0.525290376,-1.953242254,1.650094131,-0.1031152,0.0085146,-0.9942945,0.4880199,-0.155633,NA,NA,0.1001436,0.0097386,-0.9947838,0.5580669,0.427906,NA,NA
"2",82.60412,1.922309,1.841985,-2.145715,0.5591657,-0.8274401,0.03916793,0.03380103,291.8748,181.8663,184.1584,"Calibration","B5",NA,0.549190376,-1.979342254,1.637194131,-0.1024725,0.0089255,-0.9943573,0.5115737,-0.1926488,2.7855975,NA,0.0994833,0.0101491,-0.994846,0.58159,0.4659126,2.4649746,NA
"3",82.62611,1.922027,1.841891,-2.145723,0.5592496,-0.8273992,0.03869735,0.03395563,291.8636,181.9862,184.0123,"Calibration","B5",NA,0.560390376,-1.859442254,1.491094131,-0.1018604,0.0091462,-0.9944182,0.5242246,-0.2279037,2.1631621,-26.4221223,0.0992205,0.0102815,-0.9948709,0.5891811,0.4810364,1.4469479,-2.9289605
"4",82.64831,1.920769,1.841352,-2.146932,0.559296,-0.8273803,0.03868878,0.03366087,291.8586,181.9122,184.0611,"Calibration","B5",NA,0.565390376,-1.933442254,1.539894131,-0.1015211,0.0092176,-0.9944523,0.5283161,-0.2474484,1.6183994,-8.0056437,0.0987187,0.0103892,-0.9949197,0.5953532,0.5099297,2.3446507,12.7016821
"5",82.67056,1.920692,1.841295,-2.14671,0.559509,-0.8272492,0.03880521,0.03320683,291.8311,181.7747,184.1705,"Calibration","B5",NA,0.592890376,-2.070942254,1.649294131,-0.1012116,0.0096699,-0.9944796,0.5542425,-0.2652587,1.8081379,-4.1370864,0.0980866,0.0109152,-0.9949765,0.6254938,0.5462985,2.0101509,-19.5028241
"6",82.69267,1.920331,1.841229,-2.146759,0.5594196,-0.8273207,0.03845186,0.03334118,291.8436,181.8707,184.0565,"Calibration","B5",NA,0.580390376,-1.974942254,1.535294131,-0.1007743,0.0094707,-0.9945258,0.5428215,-0.2904642,1.4366513,36.2920676,0.0979241,0.0106485,-0.9949954,0.610209,0.5556709,1.4801311,39.0073196
"7",82.71486,1.919664,1.84097,-2.147163,0.5592034,-0.8274636,0.03824387,0.03366198,291.8724,181.9899,183.9469,"Calibration","B5",NA,0.551590376,-1.855742254,1.425694131,-0.1007856,0.008992,-0.9945292,0.5153866,-0.2898387,3.420124,43.7806907,0.0982352,0.010101,-0.9949705,0.5788362,0.5377884,3.7432135,51.6582411
"8",82.72615,1.919681,1.840991,-2.146945,0.5589885,-0.8276132,0.03813677,0.03367105,291.9024,182.0121,183.9169,"Calibration","B5",NA,0.521590376,-1.833542254,1.395694131,-0.1006214,0.0084747,-0.9945502,0.4857359,-0.2993207,3.3995254,-43.9192091,0.0981394,0.0095662,-0.9949852,0.5481875,0.5433349,3.758228,-68.8586042
"9",82.73771,1.919801,1.840968,-2.14667,0.558815,-0.8277357,0.03811752,0.03356434,291.9269,181.9894,183.9294,"Calibration","B5",NA,0.497090376,-1.856242254,1.408194131,-0.1004749,0.0080421,-0.9945688,0.460941,-0.3077839,2.4052045,NA,0.097946,0.0091447,-0.9950082,0.5240317,0.5544962,2.1508435,-66.9003022
"10",82.75961,1.918504,1.840592,-2.147528,0.5586715,-0.8278266,0.0380127,0.03382736,291.9457,182.0752,183.8569,"Calibration","B5",NA,0.478290376,-1.770442254,1.335694131,-0.1005931,0.0077316,-0.9945592,0.4431427,-0.3009865,NA,NA,0.0982724,0.0087876,-0.9949793,0.5035686,0.5357154,2.2657418,-55.9452943
