"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","FocusedObject","RayOrigin_x","RayOrigin_y","RayOrigin_z","RayDirection_x","RayDirection_y","RayDirection_z","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",41.06995,1.869858,2.045717,-1.111196,0.01001869,-0.009702862,0.9607005,-0.2772363,32.17369,178.3326,358.3618,"Calibration","B5",NA,"B5","1.903548","1.943559","-1.097446","-0.01502854","-0.1765163","-0.9841756",-0.0130524,0.0020739,0.999649,0.1188585,-0.0504392,NA,NA,0.0138187,-0.0020856,0.9996041,-0.1195343,0.0713721,NA,NA
"2",41.09193,1.869153,2.045617,-1.111498,0.01075605,-0.009987411,0.9606031,-0.2775361,32.20765,178.225,358.2961,"Calibration","B5",NA,"B5","1.88942","1.94385","-1.09724","-0.01101847","-0.1711954","-0.9851719",-0.0131954,0.0014561,0.9996485,0.0834478,-0.0422462,3.6914723,NA,0.0150836,-0.0014781,0.9995869,-0.0847119,0.143873,5.7731916,NA
"3",41.10357,1.868835,2.045612,-1.1116,0.01103437,-0.01041468,0.9606291,-0.2774193,32.19242,178.1731,358.2305,"Calibration","B5",NA,"B5","1.855458","1.94451","-1.096233","-0.003968577","-0.1575282","-0.9875014",-0.0138573,0.0017089,0.9996389,0.0979409,-0.0043087,4.2288572,78.1622817,0.0153776,-0.0017281,0.999582,-0.0990409,0.1607269,2.3553746,-124.3223301
"4",41.12532,1.868246,2.045607,-1.111702,0.01159732,-0.01123578,0.9606583,-0.2772633,32.17114,178.0697,358.1031,"Calibration","B5",NA,"B5","1.855543","1.944466","-1.096466","-0.003581463","-0.15765","-0.9874834",-0.0151151,0.0020534,0.9996202,0.1176817,0.0677842,6.6247823,-58.43383,0.0159941,-0.0020672,0.9995717,-0.1184744,0.1960674,3.3337381,-34.3215932
"5",41.13673,1.867961,2.045646,-1.111739,0.01175113,-0.01154646,0.9606858,-0.2771485,32.15651,178.0384,358.0574,"Calibration","B5",NA,"B5","1.854398","1.944487","-1.096548","-0.002864847","-0.1567281","-0.9876284",-0.0156222,0.0023002,0.9996116,0.1318242,0.0968521,4.0344255,-88.3239827,0.0161143,-0.0023103,0.9995692,-0.1324095,0.2029541,2.0372721,-34.1709448
"6",41.15896,1.867343,2.045832,-1.111729,0.01202067,-0.01233756,0.9607865,-0.2767538,32.10727,177.9753,357.9459,"Calibration","B5",NA,"B5","1.84465","1.944715","-1.09634","-0.000329181","-0.1532288","-0.9881811",-0.016978,0.003142,0.9995876,0.1800704,0.1745683,5.15431,-12.3182252,0.0161759,-0.0031386,0.999566,-0.1798813,0.2064908,3.0439249,40.4738164
"7",41.18122,1.86696,2.04604,-1.111653,0.01181625,-0.01245476,0.9608732,-0.2764559,32.07196,177.9986,357.9395,"Calibration","B5",NA,"B5","1.84078","1.944842","-1.096235","0.001380745","-0.1526597","-0.9882745",-0.0173081,0.0037646,0.9995794,0.2157512,0.1934879,3.4845068,79.459591,0.0157097,-0.0037527,0.9995713,-0.2150808,0.1797698,3.8378079,102.957069
"8",41.20309,1.866645,2.04614,-1.111472,0.01143819,-0.01290255,0.9610124,-0.2759672,32.01361,178.0329,357.8972,"Calibration","B5",NA,"B5","1.842207","1.944884","-1.096307","0.000421571","-0.1541659","-0.9880322",-0.0183642,0.0047918,0.9995564,0.274623,0.2540292,8.6006172,-1.249701,0.014717,-0.0047585,0.9995821,-0.2727238,0.12287,7.5611761,-30.4175578
"9",41.21461,1.866512,2.046199,-1.111364,0.01124837,-0.01332022,0.9611003,-0.275649,31.97526,178.0432,357.8513,"Calibration","B5",NA,"B5","1.847464","1.94484","-1.096507","-0.002147378","-0.157124","-0.9875683",-0.0192624,0.0054636,0.9995362,0.3131249,0.3055217,5.8769182,-107.079359,0.0141094,-0.005414,0.9995875,-0.3102946,0.0880486,4.8990752,-74.7001641
"10",41.23675,1.866402,2.046286,-1.111233,0.01093194,-0.01366534,0.9612191,-0.2752301,31.92536,178.0731,357.8198,"Calibration","B5",NA,"B5","1.850832","1.94493","-1.096621","-0.003495557","-0.1579527","-0.9874372",-0.0200897,0.0063421,0.9995146,0.3634718,0.3529494,6.3700532,33.9686233,0.0132941,-0.0062751,0.9995937,-0.359645,0.0413172,6.7075771,54.0734036
