"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",23.37621,1.930118,1.799166,-2.057381,-0.5067929,0.8574008,0.07965133,-0.04099291,300.3994,197.3651,159.3884,"Calibration","B5",NA,0.404421262,-0.548265449,-0.007841196,0.0957682,0.005446,-0.9828553,0.3159767,-0.4787159,NA,NA,-0.009236,0.0066279,-0.9835625,0.3860729,-0.5554205,NA,NA
"2",23.38753,1.930109,1.799188,-2.057324,-0.5069005,0.8573166,0.07981438,-0.04110671,300.3917,197.4132,159.3363,"Calibration","B5",NA,0.412121262,-0.500165449,-0.059941196,0.0959535,0.0056824,-0.9828359,0.3296911,-0.4895221,1.7756021,NA,-0.009179,0.0068929,-0.9835613,0.4015125,-0.5521034,1.6703733,NA
"3",23.41003,1.93018,1.799256,-2.057155,-0.50703,0.8572266,0.07998876,-0.04104867,300.3775,197.4316,159.2985,"Calibration","B5",NA,0.426321262,-0.481765449,-0.097741196,0.0963301,0.005961,-0.9827975,0.3458577,-0.5114892,1.5123938,-23.7691352,-0.0094212,0.0072261,-0.9835566,0.4209171,-0.5662124,1.4006456,-15.8158013
"4",23.43184,1.930268,1.799142,-2.057059,-0.5071179,0.8572132,0.07972,-0.04076463,300.3543,197.3553,159.3737,"Calibration","B5",NA,0.449521262,-0.558065449,-0.022541196,0.0961649,0.0061739,-0.9828123,0.3582072,-0.5018622,0.7307207,-18.8887096,-0.0096227,0.0074038,-0.9835533,0.4312735,-0.5779509,0.9722164,NA
"5",23.44308,1.930301,1.799127,-2.056978,-0.5071485,0.857208,0.07962167,-0.04068587,300.3466,197.332,159.3987,"Calibration","B5",NA,0.457221262,-0.581365449,0.002458804,0.0960795,0.0062492,-0.9828202,0.3625766,-0.4968868,0.7089455,10.2315849,-0.0096542,0.007463,-0.9835525,0.4347169,-0.5797859,NA,NA
"6",23.46522,1.930397,1.799095,-2.056891,-0.5071214,0.857224,0.07958273,-0.04076089,300.3511,197.3399,159.4003,"Calibration","B5",NA,0.452721262,-0.573465449,0.004058804,0.095935,0.0061934,-0.9828346,0.3593432,-0.4884607,1.2048918,44.1641605,-0.0094948,0.0073852,-0.9835547,0.4301862,-0.5705005,1.4550287,NA
"7",23.48756,1.930509,1.798976,-2.056803,-0.5069484,0.8573354,0.0793756,-0.04097483,300.3738,197.3442,159.4312,"Calibration","B5",NA,0.430021262,-0.569165449,0.034958804,0.0953425,0.0058243,-0.9828946,0.3379253,-0.4539068,2.6777201,24.9245917,-0.0089643,0.006932,-0.983563,0.4037872,-0.539596,2.6701522,17.4035987
"8",23.50978,1.930549,1.79892,-2.056753,-0.5067413,0.8574574,0.07927947,-0.04116884,300.4026,197.3541,159.4455,"Calibration","B5",NA,0.401221262,-0.559265449,0.049258804,0.0949528,0.0053671,-0.9829349,0.3113982,-0.4311796,2.320452,-11.0077221,-0.0085824,0.0064233,-0.9835698,0.3741566,-0.5173474,2.2349717,-4.8566906
"9",23.53196,1.930586,1.798853,-2.056744,-0.5064816,0.8576587,0.07896411,-0.04077514,300.42,197.224,159.5688,"Calibration","B5",NA,0.383821262,-0.689365449,0.172558804,0.0947561,0.0047849,-0.9829569,0.2776214,-0.4196968,2.1887744,20.3563338,-0.0089962,0.0058113,-0.9835699,0.3385086,-0.5414482,2.453926,-15.6908895
"10",23.55444,1.930507,1.798782,-2.056823,-0.5063224,0.85771,0.07938457,-0.04085838,300.4504,197.2728,159.4915,"Calibration","B5",NA,0.353421262,-0.640565449,0.095258804,0.0953641,0.0043887,-0.9829,0.2546331,-0.4551283,3.2374538,27.4756391,-0.009298,0.0055197,-0.9835688,0.3215188,-0.5590283,1.5265478,-12.6789237
"11",23.57614,1.930444,1.7987,-2.056839,-0.5061076,0.85773,0.08021905,-0.0414626,300.5083,197.4608,159.2837,"Calibration","B5",NA,0.295521262,-0.452565449,-0.112541196,0.0961572,0.0038504,-0.9828249,0.2234017,-0.501348,3.4176037,-13.9696863,-0.009134,0.0051301,-0.9835724,0.2988251,-0.5494736,1.871483,33.2940001
"12",23.59843,1.930443,1.798678,-2.056859,-0.5058014,0.8578784,0.08050609,-0.04157278,300.5553,197.4881,159.2412,"Calibration","B5",NA,0.248521262,-0.425265449,-0.155041196,0.096485,0.0031308,-0.9827953,0.1816502,-0.5204425,2.6097871,12.3612201,-0.0092909,0.0044774,-0.9835742,0.2608041,-0.5586096,3.0014159,-55.958369
"13",23.60985,1.930547,1.798607,-2.05682,-0.5058287,0.8579373,0.07992679,-0.04114277,300.5302,197.3461,159.3959,"Calibration","B5",NA,0.273621262,-0.567265449,-0.000341196,0.0959243,0.003226,-0.98285,0.1871717,-0.4877596,3.305992,3.2681512,-0.0094478,0.004471,-0.9835727,0.2604355,-0.5677495,1.1444199,-37.4474556
