"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","FocusedObject","RayOrigin_x","RayOrigin_y","RayOrigin_z","RayDirection_x","RayDirection_y","RayDirection_z","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"14",83.20928,1.858171,1.663874,-1.179558,-0.003758497,0.05797839,0.987861,-0.1440661,16.51097,181.4422,6.927033,"Calibration","B5",NA,"B5","1.851031","1.571382","-1.190568","-0.001286705","0.01509656","-0.9998807",0.112906,0.0195735,0.9926455,1.1224043,-0.1149455,2.7563628,34.4138469,0.0115257,-0.0193194,0.9928539,-1.114671,0.7892568,1.8965052,22.8105908
"15",83.23125,1.858436,1.663994,-1.179731,-0.003993024,0.05823791,0.9878068,-0.1443265,16.53902,181.4764,6.962732,"Calibration","B5",NA,"B5","1.850599","1.571365","-1.190588","-0.001316109","0.01742075","-0.9998382",0.1133463,0.0190797,0.992605,1.0940886,-0.1402943,3.9158458,15.5031978,0.0111202,-0.0188118,0.9928682,-1.0853784,0.7658476,2.7338681,-41.2691526
"16",83.24314,1.858579,1.664011,-1.179832,-0.004148595,0.05857963,0.9877782,-0.1443797,16.54355,181.5011,7.006078,"Calibration","B5",NA,"B5","1.849329","1.571344","-1.190546","-0.000582845","0.01807629","-0.9998345",0.1139679,0.0189974,0.9925355,1.0893663,-0.1761672,3.6570083,-7.1643206,0.0109195,-0.0187066,0.9928725,-1.079311,0.7542698,1.2993131,-45.4690788
"17",83.26505,1.858729,1.664108,-1.179924,-0.004334786,0.05908746,0.9877595,-0.144295,16.53167,181.5311,7.069119,"Calibration","B5",NA,"B5","1.847491","1.571354","-1.190508","0.001474047","0.01875749","-0.9998189",0.1149017,0.0192007,0.9924238,1.1010249,-0.2301015,3.8200341,58.5404354,0.0107305,-0.0188732,0.9928714,-1.0889253,0.7433653,1.9503484,81.8568155
"18",83.28709,1.858956,1.664119,-1.180028,-0.004648299,0.059513,0.987798,-0.143846,16.47687,181.5719,7.123196,"Calibration","B5",NA,"B5","1.844452","1.571303","-1.190399","0.002874005","0.01906553","-0.9998022",0.1156221,0.0201505,0.9923212,1.1554961,-0.271822,6.2365034,-46.140739,0.0103077,-0.0197884,0.992858,-1.1417335,0.7189768,4.9036987,-7.6751044
"19",83.29833,1.859097,1.664176,-1.180156,-0.004729338,0.05978966,0.9878137,-0.1436211,16.44986,181.5844,7.156494,"Calibration","B5",NA,"B5","1.843319","1.571347","-1.190374","0.003498513","0.02008798","-0.999782",0.116132,0.0206196,0.9922523,1.1824034,-0.3013252,3.9669041,-122.2195506,0.0102661,-0.0202351,0.9928495,-1.167514,0.7165773,3.2250073,-45.0500674
"20",83.32018,1.859352,1.664142,-1.180297,-0.005155935,0.05993292,0.9878623,-0.1432116,16.39924,181.6339,7.179131,"Calibration","B5",NA,"B5","1.867989","1.57212","-1.193274","-0.01115716","0.01049339","-0.9998735",0.116262,0.0214953,0.9922183,1.2326261,-0.3089564,3.0378977,-107.5987408,0.0095276,-0.0210974,0.9928389,-1.2172713,0.6739696,4.5196118,-113.3628932
"21",83.3316,1.859515,1.664189,-1.180491,-0.005241922,0.06009109,0.9878511,-0.1432191,16.39922,181.6468,7.199348,"Calibration","B5",NA,"B5","1.871159","1.572233","-1.193732","-0.0132148","0.007819991","-0.9998682",0.1165444,0.0214938,0.992185,1.2325399,-0.3252659,1.0658918,-57.2434844,0.0094101,-0.0210849,0.9928403,-1.2165513,0.6671892,1.2537725,-113.6168146
"22",83.35371,1.859678,1.664218,-1.180759,-0.005547152,0.0603204,0.9878146,-0.1433631,16.41324,181.6879,7.232242,"Calibration","B5",NA,"B5","1.872513","1.57231","-1.194091","-0.01208222","0.005556711","-0.9998996",0.1168991,0.0212432,0.9921488,1.2181676,-0.3457113,2.3525403,56.2878515,0.0088702,-0.0208212,0.9928508,-1.2013331,0.636034,2.5525535,54.0178852
"23",83.37605,1.859925,1.664035,-1.181091,-0.005716489,0.06052534,0.9877396,-0.1437865,16.46057,181.7148,7.261066,"Calibration","B5",NA,"B5","1.876878","1.572408","-1.194798","-0.01430228","0.005097432","-0.9998765",0.1172591,0.0204141,0.9921239,1.1706162,-0.366385,3.5674486,40.8385799,0.0085548,-0.0199832,0.9928708,-1.1529749,0.6178203,3.653781,30.4162613
"24",83.39829,1.859981,1.66399,-1.181399,-0.005891079,0.06028185,0.987685,-0.1442559,16.51393,181.7351,7.237064,"Calibration","B5",NA,"B5","1.872037","1.572211","-1.194488","-0.01202663","0.007154203","-0.9998866",0.1167396,0.0194804,0.9922039,1.1170657,-0.3362569,4.1744786,46.1982271,0.0080766,-0.0190745,0.9928927,-1.1005398,0.5902158,3.9103982,20.1312743
"25",83.42056,1.860004,1.66387,-1.181673,-0.006204007,0.05982952,0.9876624,-0.1445856,16.55055,181.7669,7.190133,"Calibration","B5",NA,"B5","1.855278","1.571625","-1.192958","-0.001409664","0.01374454","-0.9998966",0.1157614,0.018837,0.992331,1.0801695,-0.2796889,5.6242988,-76.881054,0.007279,-0.0184702,0.9929102,-1.0656691,0.5441848,4.5500818,-40.1864207
"26",83.43185,1.860053,1.663792,-1.181838,-0.006267333,0.05971098,0.9876452,-0.1447489,16.56917,181.7737,7.177827,"Calibration","B5",NA,"B5","1.854327","1.571574","-1.192994","-0.001532608","0.0176385","-0.9998366",0.1155135,0.0185113,0.9923658,1.0614898,-0.2653406,3.1533237,-52.1170444,0.0070964,-0.0181555,0.9929174,-1.0475123,0.5336469,3.3183784,3.4097862
"27",83.4538,1.86011,1.663693,-1.182123,-0.006378101,0.05973867,0.9875395,-0.145452,16.64956,181.7929,7.185858,"Calibration","B5",NA,"B5","1.85995","1.571723","-1.193696","-0.007643873","0.01072948","-0.9999047",0.1155547,0.0171066,0.9923861,0.9809309,-0.2675501,5.6694513,112.4435808,0.006805,-0.0167583,0.992944,-0.9668874,0.5168239,5.8627438,110.4513079
"28",83.47607,1.860126,1.663686,-1.182511,-0.006545291,0.05968115,0.9874229,-0.1462576,16.74155,181.8182,7.185214,"Calibration","B5",NA,"B5","1.877412","1.572125","-1.195814","-0.02056695","0.001557552","-0.9997812",0.1154141,0.0154986,0.9924289,0.8887166,-0.2592602,8.1248792,-95.6427676,0.0063624,-0.0151656,0.9929725,-0.8749878,0.4912726,8.2007864,-126.5550839
"29",83.48743,1.860077,1.663688,-1.182609,-0.006540737,0.05962495,0.9873703,-0.146636,16.78542,181.8198,7.180025,"Calibration","B5",NA,"B5","1.880307","1.572185","-1.196281","-0.0233004","0.000966106","-0.9997261",0.1153175,0.0147334,0.9924522,0.8448342,-0.2536036,4.6993537,-163.3497613,0.0063071,-0.0144091,0.9929841,-0.8313391,0.4880771,4.1328117,-188.114929
"30",83.5097,1.860128,1.663741,-1.182819,-0.006814105,0.05914127,0.987337,-0.1470427,16.83134,181.8469,7.129083,"Calibration","B5",NA,"B5","1.882642","1.572322","-1.196535","-0.03354961","-0.004228854","-0.9994196",0.1142942,0.0139281,0.992582,0.7986576,-0.1944515,4.1391121,-14.8682886,0.0055698,-0.0136459,0.9929993,-0.7873038,0.4455331,3.7289788,-24.6705504
