"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"16",47.53212,1.882006,1.841286,-2.108334,0.6212844,-0.7816263,0.01809463,0.05233209,283.3151,194.9271,170.8206,"Calibration","B5",NA,0.852580342,0.563574074,-0.519173789,-0.092407,0.0149845,-0.9938288,0.8601072,0.0279783,1.8391643,20.3372227,0.1048289,0.0150239,-0.9936936,0.8614218,0.0591986,2.5190348,8.8188364
"17",47.55423,1.881892,1.841293,-2.108442,0.6211385,-0.7817248,0.01792959,0.05265046,283.3428,195.0805,170.6799,"Calibration","B5",NA,0.824880342,0.716974074,-0.659873789,-0.0925452,0.0146714,-0.9938207,0.8421292,0.0359207,2.2425244,NA,0.1051248,0.0146349,-0.9936681,0.8391201,0.0762283,2.0110165,-79.2718468
"18",47.56539,1.881738,1.841295,-2.108551,0.6210787,-0.7817763,0.0181112,0.05252645,283.3465,194.9705,170.7946,"Calibration","B5",NA,0.821180342,0.606974074,-0.545173789,-0.0926849,0.0144985,-0.99381,0.8322053,0.0439628,NA,NA,0.1051463,0.0144991,-0.9936678,0.8313307,0.0774586,0.4980906,-52.6406477
"19",47.58764,1.881685,1.841273,-2.108613,0.6210447,-0.7818087,0.0183878,0.05234949,283.3441,194.8151,170.9582,"Calibration","B5",NA,0.823580342,0.451574074,-0.381573789,-0.0929077,0.0143829,-0.9937909,0.8255693,0.0567963,1.0511559,NA,0.1052026,0.0144391,-0.9936628,0.8278919,0.0806952,1.1719439,NA
"20",47.59897,1.881618,1.841274,-2.108623,0.6210737,-0.7817817,0.01829111,0.05244305,283.3428,194.8839,170.8891,"Calibration","B5",NA,0.824880342,0.520374074,-0.450673789,-0.092867,0.0144729,-0.9937934,0.8307401,0.0544575,0.5033816,1.8588315,0.1052335,0.0145041,-0.9936585,0.8316177,0.0824859,NA,NA
"21",47.62099,1.881455,1.841331,-2.108692,0.6209798,-0.7818334,0.01781579,0.05294637,283.3712,195.2077,170.5677,"Calibration","B5",NA,0.796480342,0.844174074,-0.772073789,-0.0927379,0.0143225,-0.9938077,0.822102,0.0470053,1.6498509,63.571099,0.1054457,0.0142173,-0.9936402,0.8151749,0.0946977,2.2035041,NA
"22",47.64349,1.881359,1.8413,-2.108798,0.6206207,-0.7821026,0.017789,0.05318842,283.4261,195.2612,170.5321,"Calibration","B5",NA,0.741580342,0.897674074,-0.807673789,-0.0930182,0.0134551,-0.9937936,0.7723114,0.0630968,3.3390899,26.2091611,0.1057783,0.013295,-0.9936176,0.7622903,0.1137992,3.5117333,9.0905948
"23",47.66546,1.881215,1.841267,-2.108747,0.6203132,-0.7823448,0.01779905,0.05321195,283.4701,195.2266,170.5697,"Calibration","B5",NA,0.697580342,0.863074074,-0.770073789,-0.0930869,0.0126776,-0.9937975,0.7276802,0.0670062,2.8412724,-32.3534102,0.1058132,0.0125132,-0.993624,0.7174592,0.1157473,2.6337609,-38.0733565
"24",47.68773,1.881194,1.841198,-2.108778,0.6201174,-0.7824975,0.01801561,0.05317434,283.4935,195.1227,170.6884,"Calibration","B5",NA,0.674180342,0.759174074,-0.651373789,-0.093397,0.0121762,-0.9937746,0.6989009,0.0848474,1.9048667,-32.1726405,0.1060087,0.012034,-0.9936091,0.689981,0.1269862,1.8279347,-24.930717
"25",47.71008,1.881111,1.841139,-2.108723,0.6200228,-0.7825616,0.01813782,0.05329239,283.506,195.1196,170.7112,"Calibration","B5",NA,0.661680342,0.756074074,-0.628573789,-0.09374,0.0119609,-0.9937449,0.6865423,0.1046083,1.4065192,3.529925,0.106339,0.0118041,-0.9935766,0.676801,0.1460169,1.5222526,1.6903619
