"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"15",38.79048,1.913956,1.854269,-2.068037,0.4933638,-0.8611762,0.1050693,-0.06267565,303.2197,157.2767,206.3085,"Calibration","B5",NA,-0.048779104,-0.890545771,-0.224727363,-0.1197431,0.0018988,-0.9717203,0.1111209,-0.9695687,1.8420643,-83.1725037,-0.0038828,-0.001562,-0.9696615,-0.0922958,-1.078676,2.5540852,-28.5744362
"16",38.80196,1.913939,1.854273,-2.068042,0.4934268,-0.8611827,0.1048801,-0.06240587,303.1993,157.336,206.2559,"Calibration","B5",NA,-0.028379104,-0.831245771,-0.277327363,-0.1196902,0.0020456,-0.9717264,0.1197081,-0.9726889,0.7306543,-28.7975349,-0.0036249,-0.0014293,-0.9696627,-0.0844565,-1.0634381,1.7127691,-21.4559752
"17",38.8236,1.913795,1.854294,-2.068115,0.4934431,-0.8612889,0.1042865,-0.06180321,303.1645,157.496,206.0963,"Calibration","B5",NA,0.006420896,-0.671245771,-0.436927363,-0.1192515,0.0021161,-0.9717802,0.1238382,-0.998552,1.5793242,12.9278089,-0.00318,-0.0014477,-0.9696642,-0.0855404,-1.0371528,2.37005,-17.4961829
"18",38.83493,1.91378,1.854282,-2.068146,0.493472,-0.8612891,0.1042576,-0.06161855,303.1548,157.5285,206.0769,"Calibration","B5",NA,0.016120896,-0.638745771,-0.456327363,-0.1193829,0.0021725,-0.971764,0.1271357,-0.990804,1.4279324,14.9773584,-0.0029052,-0.001364,-0.9696652,-0.0805943,-1.0209131,1.6294556,-44.1971062
"19",38.85737,1.91375,1.854198,-2.068258,0.4934677,-0.8612505,0.1046038,-0.06160543,303.1638,157.4987,206.1372,"Calibration","B5",NA,0.007120896,-0.668545771,-0.396027363,-0.119983,0.0021193,-0.9716902,0.1240226,-0.9554225,2.3999602,18.6828068,-0.0025544,-0.0012928,-0.9696663,-0.076391,-1.0001862,1.1126978,-21.6154964
"20",38.87943,1.913613,1.854196,-2.06846,0.4935049,-0.8611513,0.1050957,-0.0618575,303.1792,157.4047,206.2516,"Calibration","B5",NA,-0.008279104,-0.762545771,-0.281627363,-0.1205912,0.002158,-0.9716149,0.1262867,-0.9195605,2.2686782,-25.90599,-0.0025233,-0.0011302,-0.9696666,-0.0667784,-0.9983496,0.6670291,4.3744595
"21",38.90199,1.913515,1.85419,-2.0686,0.4934891,-0.8611222,0.1053798,-0.06190494,303.1898,157.3712,206.3053,"Calibration","B5",NA,-0.018879104,-0.796045771,-0.227927363,-0.1210259,0.0020904,-0.9715609,0.1223298,-0.8939246,1.2340575,-19.4683757,-0.0023291,-0.0011058,-0.9696671,-0.0653407,-0.9868714,1.3201747,45.3422186
"22",38.92404,1.913356,1.854252,-2.068769,0.4932945,-0.8612844,0.1051884,-0.06152386,303.1973,157.4741,206.2185,"Calibration","B5",NA,-0.026379104,-0.693145771,-0.314727363,-0.1210129,0.001654,-0.9715634,0.0967913,-0.8946977,1.3867338,-14.0732631,-0.0018179,-0.0015303,-0.9696676,-0.0904227,-0.9566637,2.6813862,23.9987882
"23",38.94625,1.913203,1.854231,-2.068812,0.4932443,-0.8613991,0.1048472,-0.06089938,303.1764,157.6205,206.0959,"Calibration","B5",NA,-0.005479104,-0.546745771,-0.437327363,-0.1210087,0.0015445,-0.9715641,0.0903827,-0.894944,0.6078153,17.0990965,-0.0010786,-0.0016354,-0.9696685,-0.0966323,-0.9129807,2.3763236,-9.0001481
"24",38.96818,1.913119,1.85425,-2.068946,0.4933766,-0.8613235,0.1049326,-0.06075013,303.1581,157.6264,206.1095,"Calibration","B5",NA,0.012820896,-0.540845771,-0.423727363,-0.1213255,0.0018211,-0.9715241,0.1065708,-0.8762622,2.1268804,-17.0965963,-0.0007861,-0.0013011,-0.9696693,-0.0768777,-0.8956966,2.2827938,-58.169969
"25",38.97959,1.913043,1.854272,-2.069023,0.4934693,-0.8612673,0.1049633,-0.06074031,303.1474,157.6167,206.1226,"Calibration","B5",NA,0.023520896,-0.550545771,-0.410627363,-0.1214086,0.0020243,-0.9715133,0.1184642,-0.8713531,0.9463789,-43.4669235,-0.0007646,-0.0010875,-0.9696696,-0.064258,-0.8944259,1.0040179,-35.9128955
"26",39.00209,1.912798,1.85427,-2.069227,0.4933605,-0.8613185,0.105092,-0.06067619,303.162,157.6259,206.1298,"Calibration","B5",NA,0.008920896,-0.541345771,-0.403427363,-0.1216623,0.0017609,-0.9714821,0.1030501,-0.8563982,1.3182625,NA,-0.0005066,-0.0012907,-0.9696695,-0.0762653,-0.8791868,1.9096254,76.2543402
"27",39.02387,1.912547,1.854301,-2.069381,0.4932954,-0.8614258,0.1048608,-0.06007807,303.1465,157.7588,206.0278,"Calibration","B5",NA,0.024420896,-0.408445771,-0.505427363,-0.121817,0.0016073,-0.9714629,0.0940573,-0.8472751,NA,NA,0.000296,-0.0014063,-0.9696694,-0.0830933,0.8317613,4.3546364,7.9420939
"28",39.03533,1.912444,1.854348,-2.069428,0.4933513,-0.8614312,0.1047558,-0.05972495,303.1268,157.8257,205.9818,"Calibration","B5",NA,0.044120896,-0.341545771,-0.551427363,-0.1219839,0.0017244,-0.9714418,0.1009108,-0.8374281,1.3389392,NA,0.0007756,-0.0012587,-0.9696694,-0.0743757,0.8034225,3.2501758,-48.4833486
"29",39.0572,1.912334,1.854328,-2.069482,0.4933597,-0.8614862,0.1046165,-0.05910233,303.1042,157.9476,205.9005,"Calibration","B5",NA,0.066720896,-0.219645771,-0.632727363,-0.1223352,0.0017239,-0.9713976,0.1008844,-0.8167067,1.4149533,2.2823028,0.0016851,-0.0011884,-0.9696683,-0.0702213,0.7496797,3.2372413,-28.9019317
"30",39.07936,1.912186,1.854222,-2.069709,0.4933283,-0.8615223,0.1046579,-0.05876459,303.0992,158.0061,205.8741,"Calibration","B5",NA,0.071720896,-0.161145771,-0.659127363,-0.1227164,0.0016294,-0.9713497,0.0953556,-0.7942253,1.4390829,1.3508208,0.0023006,-0.001202,-0.969667,-0.0710239,0.7133138,1.9694137,-40.3327164
"31",39.10189,1.912098,1.854235,-2.069976,0.4931833,-0.8616039,0.1047145,-0.05868486,303.1159,158.028,205.8638,"Calibration","B5",NA,0.055020896,-0.139245771,-0.669427363,-0.1228543,0.0012934,-0.9713328,0.0756895,-0.7860941,1.4754184,-11.1531973,0.0025252,-0.0014997,-0.969666,-0.0886131,0.7000401,1.4410177,-16.7773565
"32",39.12344,1.91209,1.854199,-2.070143,0.4930484,-0.8616811,0.1047625,-0.05859801,303.131,158.051,205.8523,"Calibration","B5",NA,0.039920896,-0.116245771,-0.680927363,-0.1229867,0.0009806,-0.9713164,0.0573846,-0.778289,0.9599606,-21.1368931,0.0027515,-0.0017765,-0.969665,-0.1049679,0.6866715,1.2233257,-6.8746863
"33",39.14592,1.912011,1.854192,-2.070303,0.4930069,-0.8616947,0.1047891,-0.05869977,303.1396,158.0344,205.8627,"Calibration","B5",NA,0.031320896,-0.132845771,-0.670527363,-0.1229264,0.0008901,-0.9713241,0.0520914,-0.7818428,0.5473485,-2.5291782,0.0026182,-0.0018751,-0.9696651,-0.1107949,0.6945467,1.1413264,19.5803107
"34",39.16844,1.911975,1.854181,-2.070436,0.4931777,-0.8615537,0.1049088,-0.05911985,303.1341,157.9336,205.938,"Calibration","B5",NA,0.036820896,-0.233645771,-0.595227363,-0.1227736,0.0012819,-0.971343,0.0750196,-0.7908573,0.8467806,49.1256292,0.0019804,-0.0015262,-0.9696673,-0.0901802,0.7322298,2.1053688,12.3524063
"35",39.19029,1.911779,1.854211,-2.070666,0.4930161,-0.8615786,0.1052871,-0.0594317,303.1722,157.8579,206.0197,"Calibration","B5",NA,-0.001279104,-0.309345771,-0.513527363,-0.1230854,0.000892,-0.971304,0.0522008,-0.7724697,2.703047,-35.1122051,0.0018585,-0.0018372,-0.969667,-0.1085568,0.7394328,1.7098081,66.3609104
"36",39.20168,1.911763,1.85418,-2.070676,0.4929372,-0.8616289,0.1053239,-0.05929087,303.1786,157.8864,206.0063,"Calibration","B5",NA,-0.007679104,-0.280845771,-0.526927363,-0.1232623,0.0007028,-0.9712817,0.0411264,-0.7620351,0.9355537,NA,0.0021509,-0.0019844,-0.9696661,-0.1172564,0.7221572,3.4277081,235.6361095
"37",39.22366,1.911554,1.854224,-2.070823,0.4929228,-0.8618239,0.104567,-0.05789994,303.1212,158.2038,205.742,"Calibration","B5",NA,0.049720896,0.036554229,-0.791227363,-0.1232835,0.0006845,-0.971279,0.0400564,-0.76078,NA,NA,0.0037722,-0.002006,-0.9696611,-0.1185296,0.6263606,10.4711317,49.2887117
"38",39.23489,1.911518,1.854263,-2.070994,0.492941,-0.861989,0.1038433,-0.05657534,303.0632,158.5043,205.4917,"Calibration","B5",NA,0.107720896,0.337054229,-1.041527363,-0.1233067,0.0007416,-0.9712761,0.0433967,-0.7594152,1.0036033,NA,0.0053037,-0.0019585,-0.969654,-0.1157245,0.5358638,7.9795371,-130.9911716
"39",39.25727,1.911528,1.854212,-2.071146,0.4927986,-0.862177,0.1035162,-0.05554186,303.0432,158.7306,205.325,"Calibration","B5",NA,0.127720896,0.563354229,-1.208227363,-0.1236938,0.0004095,-0.9712271,0.0239637,-0.7365796,4.2938803,151.7296047,0.0067656,-0.002214,-0.9696444,-0.1308224,0.4494835,7.0818119,NA
"40",39.26854,1.911612,1.854162,-2.071203,0.4927637,-0.8621264,0.1040757,-0.0555906,303.0623,158.6719,205.4271,"Calibration","B5",NA,0.108620896,0.504654229,-1.106127363,-0.1245907,0.0002684,-0.9711124,0.0157049,-0.683664,6.0569656,171.6854493,0.0072227,-0.0021657,-0.9696412,-0.1279666,0.4224736,NA,NA
"41",39.2906,1.911736,1.854114,-2.071292,0.4926581,-0.8618712,0.1059327,-0.05695878,303.1598,158.2643,205.8771,"Calibration","B5",NA,0.011120896,0.097054229,-0.656127363,-0.126431,-0.0001203,-0.9708746,-0.0070414,-0.5750737,10.1806485,-153.9631797,0.0067135,-0.0021416,-0.9696449,-0.1265414,0.4525596,2.2288647,NA
"42",39.30202,1.911906,1.854121,-2.07127,0.4926047,-0.8617409,0.1069025,-0.05757696,303.2083,158.069,206.1026,"Calibration","B5",NA,-0.037379104,-0.098245771,-0.430627363,-0.127483,-0.0003251,-0.9707369,-0.0190227,-0.5129855,4.5293852,-325.0108956,0.0066071,-0.0021113,-0.9696457,-0.1247496,0.458844,1.1577925,-41.2254553
"43",39.32429,1.912054,1.854142,-2.071252,0.4926879,-0.8615943,0.1073966,-0.05813675,303.2269,157.9167,206.2496,"Calibration","B5",NA,-0.055979104,-0.250545771,-0.283627363,-0.1278137,-0.0001699,-0.9706935,-0.0099423,-0.4934699,1.0738582,-43.6325711,0.0061138,-0.0018833,-0.9696494,-0.111283,0.4879964,1.4102953,10.0246143
"44",39.34603,1.912105,1.854131,-2.071304,0.4926291,-0.8617099,0.1068817,-0.05787047,303.2134,158.0173,206.1278,"Calibration","B5",NA,-0.042479104,-0.149945771,-0.405427363,-0.1271765,-0.0002529,-0.9707772,-0.0147995,-0.5310751,2.5500035,31.9081915,0.0060896,-0.0021023,-0.9696491,-0.1242225,0.4894282,1.599672,31.2026882
"45",39.36857,1.912038,1.854125,-2.071518,0.4923247,-0.8619597,0.1064783,-0.05748313,303.2291,158.151,205.9929,"Calibration","B5",NA,-0.058179104,-0.016245771,-0.540327363,-0.1267866,-0.0009055,-0.9708278,-0.0529918,-0.5540829,2.4579595,43.6654559,0.0064397,-0.0028225,-0.969645,-0.166778,0.4687388,2.8099437,41.5573133
"46",39.39032,1.912185,1.854031,-2.071515,0.4921633,-0.8620089,0.1068599,-0.05741835,303.2562,158.1411,206.0408,"Calibration","B5",NA,-0.085279104,-0.026145771,-0.492427363,-0.1274587,-0.001316,-0.9707393,-0.0770106,-0.5144159,4.4462248,8.510449,0.0069519,-0.0030788,-0.9696407,-0.1819177,0.4384722,3.4498337,-23.4612246
