"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"17",31.49588,1.898337,2.06523,-2.02447,0.6395581,-0.7660462,0.03136358,0.05617075,280.4589,194.6597,172.4673,"Calibration","B5",NA,-0.1211203,-0.0276681,-0.9914854,-1.5866733,0.1120441,3.8208402,-50.0807158,0.1254722,-0.0276758,-0.9914087,-1.5863851,0.0690509,4.0996925,-54.1929653
"18",31.51762,1.898276,2.065155,-2.02432,0.6399516,-0.7657194,0.03172343,0.05594088,280.3922,194.4679,172.6693,"Calibration","B5",NA,-0.1213315,-0.0266927,-0.9914862,-1.5307255,0.1240615,4.8558413,-33.6586208,0.1256157,-0.0266035,-0.9914199,-1.5249071,0.0771323,5.3227814,-54.8358957
"19",31.52909,1.898274,2.06514,-2.024254,0.6401201,-0.7655678,0.0317024,0.05609828,280.3694,194.5791,172.5691,"Calibration","B5",NA,-0.121498,-0.026221,-0.9914783,-1.5036666,0.1335938,3.5376471,-36.5826197,0.125829,-0.0261691,-0.9914044,-1.4999987,0.089376,3.4195456,-63.1785302
"20",31.5513,1.898204,2.065257,-2.024088,0.6405304,-0.7651806,0.03131104,0.05691275,280.325,195.1977,171.9847,"Calibration","B5",NA,-0.1219629,-0.02498,-0.9914533,-1.4324859,0.1602382,4.46514,22.56181,0.1265449,-0.0251583,-0.9913395,-1.4420478,0.1305595,4.2984968,25.9081629
"21",31.57374,1.898284,2.065157,-2.024047,0.6407372,-0.7649776,0.03142351,0.0572501,280.2961,195.3527,171.8663,"Calibration","B5",NA,-0.1225614,-0.0243668,-0.9913947,-1.3973167,0.1947158,4.5406163,18.7408131,0.1272056,-0.0246077,-0.9912687,-1.4104852,0.1686488,4.5732018,9.1658689
"22",31.58485,1.898339,2.065128,-2.024015,0.6407512,-0.764943,0.03165843,0.05742753,280.2912,195.3485,171.9041,"Calibration","B5",NA,-0.1231431,-0.0242889,-0.9913247,-1.3928468,0.228321,4.919669,-41.6430074,0.1277797,-0.0245396,-0.9911966,-1.4065757,0.2018217,4.6408615,-46.2647511
"23",31.59629,1.898384,2.065149,-2.023972,0.6407728,-0.7648993,0.03187993,0.05764657,280.286,195.3713,171.9171,"Calibration","B5",NA,-0.1237589,-0.0241819,-0.9912507,-1.3867118,0.2638985,3.5765653,-65.2098031,0.128397,-0.0244554,-0.9911189,-1.4017493,0.2374868,3.5126546,-50.7290941
"24",31.61851,1.898274,2.065245,-2.023779,0.6407224,-0.7649041,0.03217306,0.05797778,280.291,195.4086,171.9308,"Calibration","B5",NA,-0.1246326,-0.0242362,-0.9911397,-1.3898274,0.3144142,3.2873623,-6.9591771,0.1292758,-0.0245477,-0.9910024,-1.4070407,0.2883089,3.4495786,-6.1180342
"25",31.64048,1.898202,2.065163,-2.023598,0.6407196,-0.7648719,0.03254061,0.05822805,280.2867,195.3846,172.0051,"Calibration","B5",NA,-0.1255081,-0.0241839,-0.9910306,-1.3868235,0.3650155,3.2675252,-0.8405576,0.130131,-0.0245054,-0.9908915,-1.404615,0.3377512,3.2431185,-6.8466495
"26",31.66306,1.898077,2.065259,-2.023521,0.6408546,-0.7647173,0.0324319,0.05883093,280.2755,195.7465,171.6835,"Calibration","B5",NA,-0.1261293,-0.0236973,-0.9909635,-1.3589179,0.4008486,3.2499535,21.1247979,0.130895,-0.0241715,-0.990799,-1.3854761,0.3818691,3.1461163,17.498597
"27",31.68454,1.898032,2.065165,-2.023254,0.6412055,-0.7644012,0.03213923,0.05927356,280.2352,196.1422,171.2997,"Calibration","B5",NA,-0.1262531,-0.0226863,-0.9909713,-1.3009335,0.4078359,4.1741905,-69.5288345,0.1311842,-0.0233018,-0.9907816,-1.3356157,0.3984351,3.9901327,-63.1039277
"28",31.69633,1.897996,2.065122,-2.023145,0.6412861,-0.7643315,0.03213123,0.05930504,280.224,196.1754,171.2684,"Calibration","B5",NA,-0.1262776,-0.0224695,-0.9909731,-1.2884966,0.4092154,2.0274029,-1.4407573,0.1312248,-0.0230941,-0.9907811,-1.3237094,0.4007441,2.0388761,6.5354669
"29",31.71771,1.897902,2.065082,-2.02299,0.6416283,-0.7640376,0.0321855,0.05936126,280.1735,196.2433,171.2092,"Calibration","B5",NA,-0.1264114,-0.0215655,-0.9909762,-1.2366511,0.4168042,5.8587833,76.4951513,0.131393,-0.0221957,-0.9907793,-1.2722069,0.4103169,5.8567437,92.7768155
"30",31.72915,1.897841,2.065132,-2.022918,0.6419961,-0.7637453,0.03225487,0.05910819,280.1154,196.1567,171.2804,"Calibration","B5",NA,-0.1261612,-0.0206652,-0.9910273,-1.1850155,0.4021983,5.5588992,-170.5847955,0.1311181,-0.0212267,-0.990837,-1.2166552,0.3942631,5.9366145,-157.0982759
"31",31.74062,1.897829,2.065147,-2.022841,0.6421185,-0.7636447,0.03222229,0.05909596,280.098,196.1861,171.2473,"Calibration","B5",NA,-0.1260893,-0.0203496,-0.9910429,-1.1669122,0.3979935,1.9463545,-135.4227579,0.1310628,-0.0209114,-0.990851,-1.1985804,0.3910107,2.2526998,-138.2858398
"32",31.76317,1.898022,2.065102,-2.022634,0.6424051,-0.7634269,0.03256665,0.05860459,280.0435,195.8527,171.5684,"Calibration","B5",NA,-0.1259424,-0.0197115,-0.9910745,-1.1303207,0.389412,2.9410447,80.5484399,0.1307892,-0.0201157,-0.9909036,-1.1529701,0.3750684,3.2585783,64.0778551
"33",31.78545,1.898125,2.065143,-2.022568,0.6426288,-0.7632677,0.03201217,0.05853221,280.0213,196.0831,171.2868,"Calibration","B5",NA,-0.1250078,-0.0191502,-0.9912039,-1.098128,0.3353028,5.5475028,138.8127185,0.1299639,-0.0196066,-0.9910224,-1.1237846,0.3272751,5.1200528,132.2362401
"34",31.80658,1.898084,2.065108,-2.022468,0.643167,-0.7628679,0.03142025,0.0581511,279.9506,196.2335,171.0567,"Calibration","B5",NA,-0.1235942,-0.0178387,-0.9914055,-1.0229136,0.2534263,8.9418046,-131.3195907,0.1286394,-0.0182819,-0.9912205,-1.04785,0.2505167,8.9429633,-102.9172045
"35",31.81821,1.898045,2.065075,-2.022422,0.6433668,-0.7627226,0.03133518,0.057892,279.9201,196.175,171.0869,"Calibration","B5",NA,-0.1231166,-0.0173765,-0.9914731,-0.9964064,0.2257663,4.0190795,-173.2334564,0.1281462,-0.0177701,-0.9912937,-1.0185103,0.221941,4.4449705,-149.3396537
"36",31.83979,1.897991,2.065084,-2.022464,0.6436092,-0.7625752,0.03127461,0.05716759,279.8776,195.8778,171.32,"Calibration","B5",NA,-0.122065,-0.0169057,-0.9916113,-0.9694074,0.1649442,5.6766664,-103.970861,0.1269923,-0.0171429,-0.9914533,-0.9825558,0.1551748,6.3457036,-135.1238249
"37",31.85104,1.897984,2.065046,-2.022519,0.6437367,-0.7624807,0.03115598,0.05705762,279.86,195.8947,171.2843,"Calibration","B5",NA,-0.1217367,-0.0165983,-0.9916569,-0.9517825,0.145938,2.4731954,-158.566414,0.1266758,-0.0168233,-0.9914992,-0.964239,0.136845,2.3145349,-192.0683508
"38",31.87306,1.89805,2.0651,-2.022549,0.6438183,-0.7624322,0.03097485,0.05688437,279.8499,195.897,171.2532,"Calibration","B5",NA,-0.121235,-0.0164252,-0.9917213,-0.9418518,0.1169321,1.7601911,-27.9082423,0.1261847,-0.0166352,-0.991565,-0.9534546,0.1084412,1.7461856,-17.2122548
"39",31.89582,1.898119,2.065097,-2.022775,0.6437235,-0.7625301,0.03104674,0.05660269,279.8591,195.7062,171.4269,"Calibration","B5",NA,-0.1209798,-0.0167337,-0.9917471,-0.9595447,0.1022214,1.2267733,39.0991508,0.125852,-0.0168711,-0.9916033,-0.9669765,0.0892481,1.5501329,27.8317846
"40",31.91768,1.898014,2.065182,-2.023008,0.6435578,-0.7626815,0.0312833,0.05631693,279.8755,195.4325,171.6967,"Calibration","B5",NA,-0.1209689,-0.0172262,-0.9917401,-0.987792,0.1016543,3.448513,79.2444781,0.1257274,-0.0172711,-0.9916122,-0.989909,0.0820977,2.9552387,86.6762861
"41",31.92957,1.897993,2.065167,-2.023165,0.6433337,-0.7628712,0.03117666,0.05636731,279.911,195.4624,171.6623,"Calibration","B5",NA,-0.1208883,-0.0178008,-0.9917398,-1.0207423,0.0970671,4.1245073,103.4381583,0.1256537,-0.0178693,-0.991611,-1.0241986,0.0779172,4.2521415,127.4966721
"42",31.9513,1.898019,2.065114,-2.02367,0.6427832,-0.7633458,0.03099925,0.05632001,279.9948,195.4144,171.6925,"Calibration","B5",NA,-0.120593,-0.0192481,-0.9917487,-1.1037433,0.0801918,7.3844918,-30.2779988,0.1253322,-0.0193292,-0.9916243,-1.1078833,0.0595357,7.4229452,-39.7284049
"43",31.96273,1.897977,2.065115,-2.023873,0.64256,-0.7635515,0.03091556,0.05612624,280.027,195.3124,171.7721,"Calibration","B5",NA,-0.1202271,-0.0198727,-0.991781,-1.1395616,0.0591392,4.9775819,-31.523271,0.1249252,-0.0199195,-0.991664,-1.1417231,0.0361028,4.8469082,-34.3120479
"44",31.98459,1.89797,2.065051,-2.024452,0.6419945,-0.764051,0.03075566,0.05588594,280.1106,195.1602,171.8921,"Calibration","B5",NA,-0.1197058,-0.0213993,-0.9918121,-1.2271178,0.0292398,8.202626,-21.5639777,0.1243352,-0.0214148,-0.9917069,-1.2274409,0.0022414,8.2734844,-21.9271141
"45",31.99621,1.897983,2.065019,-2.024733,0.641686,-0.7643282,0.0306388,0.0557024,280.1562,195.0641,171.9639,"Calibration","B5",NA,-0.1193083,-0.0222432,-0.9918415,-1.2755179,0.0064045,5.9871602,-76.1406187,0.1238954,-0.0222332,-0.991744,-1.2743529,0.0230436,5.942452,-83.6268155
"46",32.01778,1.89788,2.065122,-2.025212,0.6410832,-0.7648702,0.03050293,0.05527778,280.2428,194.8091,172.1737,"Calibration","B5",NA,-0.1185822,-0.0239042,-0.99189,-1.3707851,-0.0352725,6.8149838,43.3302946,0.123061,-0.023818,-0.9918111,-1.3652108,0.0709832,6.6618453,35.8371812
"47",32.03996,1.897968,2.064929,-2.025648,0.6405348,-0.7653592,0.030627,0.0547957,280.3161,194.4352,172.5189,"Calibration","B5",NA,-0.1181636,-0.025432,-0.9919019,-1.4584124,-0.0591925,7.8858812,-96.6491144,0.1224859,-0.0252269,-0.9918474,-1.4459829,0.1039624,7.5118449,-97.5994502
"48",32.05146,1.898045,2.06501,-2.025918,0.6402552,-0.7656059,0.03079295,0.0545239,280.3514,194.193,172.7527,"Calibration","B5",NA,-0.1180683,-0.0262148,-0.9918929,-1.5033159,-0.0645636,5.1077072,-100.6705442,0.1222891,-0.0259304,-0.9918536,-1.4863126,0.1152044,4.8263454,-93.7619519
"49",32.07347,1.898025,2.065041,-2.026452,0.6396769,-0.7661117,0.03090254,0.05414245,280.4308,193.8772,173.0467,"Calibration","B5",NA,-0.1177599,-0.0277967,-0.9918864,-1.5940511,-0.082087,5.9933733,-3.0858682,0.1218432,-0.0274179,-0.9918684,-1.5715973,0.1406802,5.8387568,0.5742355
"50",32.09556,1.897956,2.065009,-2.026748,0.6391841,-0.7665466,0.03077558,0.05387835,280.5031,193.7275,173.1649,"Calibration","B5",NA,-0.1172489,-0.0291326,-0.9919086,-1.6706816,-0.1113415,4.9681544,-19.1909043,0.1212656,-0.0287144,-0.9919025,-1.6459346,0.1737892,4.8480353,-22.4481007
"51",32.11771,1.898091,2.06515,-2.027211,0.6388793,-0.7668305,0.0310618,0.05328603,280.5378,193.2874,173.5803,"Calibration","B5",NA,-0.1169092,-0.0300443,-0.9919215,-1.7229801,-0.1307827,5.1460009,-64.0414817,0.1207504,-0.0294666,-0.9919433,-1.6890624,0.2033938,4.8469969,-59.6363836
"52",32.12938,1.898139,2.065215,-2.027356,0.6387023,-0.7670008,0.03130645,0.0528116,280.5558,192.9399,173.9092,"Calibration","B5",NA,-0.1166558,-0.0305992,-0.9919344,-1.7548121,-0.1453024,3.5575721,-32.9034071,0.1203605,-0.0298918,-0.991978,-1.7134429,0.2258302,3.4556308,-24.8501727
"53",32.15136,1.898144,2.065339,-2.027528,0.6384495,-0.7672421,0.03126263,0.05238865,280.5904,192.7209,174.0903,"Calibration","B5",NA,-0.1160451,-0.0313416,-0.9919829,-1.7974032,-0.1804246,5.1028834,-22.689935,0.1196641,-0.0305519,-0.9920421,-1.751292,0.2659135,4.9838022,-19.4406726
"54",32.16273,1.898123,2.065363,-2.027587,0.6383597,-0.767337,0.03113445,0.05216842,280.604,192.6539,174.129,"Calibration","B5",NA,-0.1155685,-0.0316202,-0.9920297,-1.8133858,-0.2078936,3.7875426,-12.3332491,0.1191648,-0.0308004,-0.9920945,-1.765544,0.2946986,3.7512159,-8.3343012
