"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",125.4448,1.890547,1.82715,-2.169181,-0.5977629,0.7981914,0.02442611,-0.07052205,288.045,207.2394,156.5431,"Calibration","B5",NA,-1.07443192,-1.36148005,1.65623217,-0.0481493,-0.0197621,-0.9888353,-1.1435643,0.3588371,NA,NA,0.0808146,-0.0205009,-0.9887889,-1.1838186,0.2184336,NA,NA
"2",125.4667,1.89065,1.827123,-2.169198,-0.5979117,0.7981903,0.02366968,-0.06952502,287.9728,206.835,156.9275,"Calibration","B5",NA,-1.00223192,-1.76588005,2.04063217,-0.0480947,-0.0195889,-0.9888415,-1.1335397,0.3556607,1.5165637,NA,0.0801936,-0.0201286,-0.9888471,-1.1623128,0.1824146,2.3465123,NA
"3",125.4782,1.890669,1.827114,-2.16923,-0.5977938,0.7983027,0.02337352,-0.06934851,287.9736,206.7035,157.0687,"Calibration","B5",NA,-1.00303192,-1.89738005,2.18183217,-0.0483622,-0.0199066,-0.9888221,-1.1519257,0.3711785,2.8400166,-14.6290253,0.0802558,-0.0204256,-0.9888359,-1.1794679,0.1860429,2.1277409,-32.5004283
"4",125.4895,1.890473,1.827082,-2.169497,-0.597654,0.7984097,0.0233818,-0.06931799,287.9912,206.6699,157.0993,"Calibration","B5",NA,-1.02063192,-1.93098005,2.21243217,-0.0483362,-0.0202588,-0.9888161,-1.1723061,0.3696932,1.2089643,-38.7805825,0.0801784,-0.0207695,-0.9888351,-1.1993271,0.1815928,1.6081979,-10.6749716
"5",125.5112,1.890424,1.827051,-2.169494,-0.5979061,0.7981361,0.02412318,-0.07003619,288.0027,207.0692,156.6981,"Calibration","B5",NA,-1.03213192,-1.53168005,1.81123217,-0.0480082,-0.0195066,-0.9888472,-1.1287782,0.3506443,2.6580848,-7.9764195,0.080443,-0.0201419,-0.9888266,-1.1630838,0.1968665,2.1426106,-3.4619537
"6",125.5334,1.890471,1.827026,-2.169487,-0.59803,0.798049,0.02421858,-0.06993809,287.9869,207.0838,156.6675,"Calibration","B5",NA,-1.01633192,-1.51708005,1.78063217,-0.0477195,-0.0192277,-0.9888666,-1.1126334,0.3339066,0.8214214,-36.4178466,0.0801923,-0.0198266,-0.9888533,-1.1448721,0.1823088,1.4421735,-13.8629624
"7",125.5557,1.890719,1.827121,-2.169328,-0.5980963,0.7980804,0.02358233,-0.06922765,287.9376,206.7679,156.9771,"Calibration","B5",NA,-0.96703192,-1.83298005,2.09023217,-0.0478393,-0.019197,-0.9888615,-1.110856,0.340842,1.0421221,63.9696329,0.0798602,-0.0196641,-0.9888834,-1.1354874,0.1630494,1.5274776,45.3305924
"8",125.5782,1.890969,1.827213,-2.169041,-0.5983159,0.7979361,0.02345784,-0.06903571,287.8995,206.7302,157.0091,"Calibration","B5",NA,-0.92893192,-1.87068005,2.12223217,-0.0477635,-0.0186928,-0.9888749,-1.0816807,0.3364239,3.6980755,77.8654079,0.0797438,-0.0191172,-0.9889035,-1.1039051,0.1562561,3.4812851,61.3920595
"9",125.5895,1.890991,1.827167,-2.168896,-0.5985342,0.797746,0.0237484,-0.06923997,287.8863,206.8884,156.8438,"Calibration","B5",NA,-0.91573192,-1.71248005,1.95693217,-0.0475207,-0.0181208,-0.9888971,-1.0485765,0.3223283,4.1239549,81.5501276,0.0797463,-0.0185733,-0.9889137,-1.0724952,0.1563527,3.8875001,83.1128845
"10",125.6114,1.891155,1.827327,-2.168602,-0.5990672,0.7973103,0.02404057,-0.06954736,287.8353,207.1379,156.5952,"Calibration","B5",NA,-0.86473192,-1.46298005,1.70833217,-0.0473454,-0.0167482,-0.9889297,-0.9691378,0.3121048,6.8704736,-48.5552165,0.0799546,-0.0172538,-0.9889208,-0.9962908,0.1683121,6.7405782,-37.6111162
"11",125.6232,1.891134,1.827334,-2.168488,-0.5993502,0.7971135,0.02395379,-0.06939545,287.7913,207.1322,156.5953,"Calibration","B5",NA,-0.82073192,-1.46868005,1.70843217,-0.0472485,-0.0160796,-0.9889455,-0.9304483,0.3064609,4.2447111,-90.5540468,0.0798638,-0.0165501,-0.9889401,-0.9556564,0.1629948,4.3156809,-84.9375699
"12",125.6449,1.891453,1.827584,-2.167874,-0.5998542,0.7967504,0.02391254,-0.06922437,287.7196,207.1736,156.5429,"Calibration","B5",NA,-0.74903192,-1.42728005,1.65603217,-0.0470198,-0.014871,-0.9889753,-0.8605041,0.2931569,5.1433982,24.1738215,0.0797222,-0.0152973,-0.9889717,-0.883308,0.154695,5.0887354,19.8219816
"13",125.6669,1.891365,1.827596,-2.167693,-0.6003932,0.7962854,0.02435723,-0.06974457,287.6793,207.5198,156.2028,"Calibration","B5",NA,-0.70873192,-1.08108005,1.31593217,-0.0468602,-0.0134404,-0.9890033,-0.7777189,0.2838569,5.295935,-2.9722283,0.0800866,-0.0139618,-0.988962,-0.8061895,0.1757171,5.1771607,-2.1152009
"14",125.6898,1.89126,1.827605,-2.167521,-0.6008905,0.7958891,0.02438994,-0.06997462,287.6227,207.6927,156.0457,"Calibration","B5",NA,-0.65213192,-0.90818005,1.15883217,-0.0469998,-0.0121592,-0.9890134,-0.7035828,0.2918974,5.00103,15.9363704,0.0804832,-0.0127375,-0.9889464,-0.7354895,0.1986202,4.9882418,27.3380448
"15",125.7113,1.891178,1.827595,-2.167406,-0.6013022,0.7955351,0.02447456,-0.07043166,287.5856,207.9255,155.8433,"Calibration","B5",NA,-0.61503192,-0.67538005,0.95643217,-0.0473457,-0.0110396,-0.9890099,-0.6387941,0.3119004,5.9631698,-73.4026471,0.0811637,-0.0117302,-0.9889032,-0.677321,0.2379845,6.341147,-75.8152623
"16",125.7228,1.891009,1.827592,-2.167422,-0.6015034,0.7953626,0.02441772,-0.07068051,287.5651,208.0273,155.7665,"Calibration","B5",NA,-0.59453192,-0.57358005,0.87963217,-0.0476984,-0.0104817,-0.988999,-0.6065102,0.3323175,3.760276,-74.7364192,0.0816549,-0.0112454,-0.9888684,-0.6493268,0.2664166,3.873749,-89.0405134
