"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",170.8259,1.90454,1.730026,-2.057119,0.05796399,-0.05070196,0.9912959,-0.1067801,11.87771,172.6172,353.375,"Calibration","B5",NA,0.842694329,-0.433536658,0.934734414,-0.0863697,0.0144012,0.9892441,0.8308784,-1.030189,NA,NA,0.1021857,-0.0150135,0.9863386,-0.867413,0.6393943,NA,NA
"2",170.8372,1.904416,1.7299,-2.057496,0.05787047,-0.05074588,0.9912231,-0.1074835,11.95872,172.6217,353.3647,"Calibration","B5",NA,0.761684329,-0.429036658,0.924434414,-0.0865668,0.013,0.9892463,0.7500321,-1.0188684,8.9690477,NA,0.1020717,-0.0136074,0.9863708,-0.7861713,0.6326517,8.7274931,NA
"3",170.8593,1.904087,1.729483,-2.058268,0.05779137,-0.05121995,0.9910644,-0.1087567,12.10182,172.6143,353.299,"Calibration","B5",NA,0.618584329,-0.436436658,0.858734414,-0.087677,0.0105172,0.9891778,0.6067829,-0.9547166,14.2328155,-98.4828379,0.1019536,-0.0111028,0.9864144,-0.641462,0.6256036,13.2335983,-103.6408828
"4",170.8705,1.903721,1.72907,-2.058834,0.05778621,-0.05149906,0.9909744,-0.1094456,12.17884,172.6056,353.2603,"Calibration","B5",NA,0.541564329,-0.445136658,0.820034414,-0.0883133,0.0091787,0.9891346,0.5295587,-0.9179266,9.3591891,-125.6228289,0.1019582,-0.0097532,0.9864282,-0.5634849,0.6257881,8.6284055,-112.8922584
"5",170.8926,1.903411,1.728722,-2.059495,0.05749434,-0.051935,0.9908261,-0.1107281,12.32477,172.6232,353.2015,"Calibration","B5",NA,0.395634329,-0.427536658,0.761234414,-0.0893975,0.006659,0.9890572,0.3841792,-0.8552237,13.4233693,-125.2615068,0.1014347,-0.0072022,0.9865041,-0.4161011,0.5952518,12.7255999,-150.7994125
"6",170.904,1.903313,1.72851,-2.059623,0.05739252,-0.05218988,0.990759,-0.111261,12.38474,172.6273,353.1682,"Calibration","B5",NA,0.335664329,-0.423436658,0.727934414,-0.089988,0.0056219,0.9890104,0.3243479,-0.8210481,8.470952,-161.4903918,0.1012386,-0.0061498,0.9865314,-0.3552949,0.5838186,7.1738884,-205.4910073
"7",170.9265,1.903003,1.728306,-2.060208,0.05703506,-0.05310423,0.9906005,-0.1124172,12.51314,172.6473,353.0556,"Calibration","B5",NA,0.207264329,-0.403436658,0.615334414,-0.0920088,0.0034068,0.9888345,0.1965505,-0.7040244,10.9783922,36.8402167,0.1004682,-0.0038774,0.9866217,-0.2240125,0.539007,8.8841184,58.7678451
"8",170.9483,1.902606,1.728024,-2.060581,0.05644283,-0.05392345,0.9904986,-0.1132208,12.6035,172.6988,352.9603,"Calibration","B5",NA,0.116904329,-0.351936658,0.520034414,-0.0938494,0.0018658,0.9886654,0.107645,-0.5973891,10.1551947,-354.9235925,0.0992201,-0.0022704,0.986753,-0.1311714,0.466505,9.7893736,-162.8340669
"9",170.9596,1.902474,1.727908,-2.060551,0.05603559,-0.0540471,0.9905037,-0.1133202,12.6169,172.7438,352.9502,"Calibration","B5",NA,0.103504329,-0.306936658,0.509934414,-0.0941946,0.0016552,0.9886333,0.095493,-0.5773818,2.5606248,-255.4960572,0.0984068,-0.0020339,0.9868349,-0.117508,0.4192794,5.6400859,-88.060209
"10",170.9819,1.902064,1.727713,-2.060367,0.05511147,-0.054194,0.9905706,-0.1131176,12.59914,172.8515,352.9468,"Calibration","B5",NA,0.121264329,-0.199236658,0.506534414,-0.0946631,0.0020137,0.9885876,0.1161742,-0.5502292,6.1530147,368.8699957,0.0965387,-0.0023397,0.9870188,-0.1351709,0.3108289,9.9010179,332.1571673
"11",171.0038,1.901681,1.727744,-2.059485,0.05412824,-0.0546177,0.9908066,-0.1113079,12.39538,172.9769,352.926,"Calibration","B5",NA,0.325024329,-0.073836658,0.485734414,-0.0954967,0.0056022,0.9884939,0.32321,-0.5018372,18.7815681,459.1014804,0.0942974,-0.0058556,0.9872208,-0.3383005,0.180821,20.2649991,383.7313834
"12",171.0236,1.901541,1.727935,-2.058167,0.05352501,-0.05474605,0.9911618,-0.1083335,12.0574,173.0717,352.9445,"Calibration","B5",NA,0.663004329,0.020963342,0.504234414,-0.0955317,0.0115013,0.9884391,0.6635639,-0.499522,25.5443905,434.9795253,0.0927279,-0.0117118,0.9873174,-0.6766482,0.0900172,26.0905871,403.8623308
"13",171.0456,1.901165,1.727884,-2.056837,0.05325275,-0.05509105,0.9915368,-0.104804,11.65198,173.13,352.9379,"Calibration","B5",NA,1.068424329,0.079263342,0.497634414,-0.0958537,0.0185515,0.9883008,1.0703592,-0.4802591,37.1692425,-382.7214332,0.0916853,-0.0187227,0.9873067,-1.081741,0.0300925,37.3876541,-394.5183799
"14",171.0569,1.900984,1.727919,-2.056089,0.05311504,-0.05487139,0.9917619,-0.1028412,11.42932,173.1656,352.9817,"Calibration","B5",NA,1.291084329,0.114863342,0.541434414,-0.0952232,0.0224247,0.9882816,1.293863,-0.516366,22.5487914,-505.015307,0.0912286,-0.0225947,0.987268,-1.3054866,0.0040228,22.6689543,-481.0435321
"15",171.0793,1.900505,1.72801,-2.054975,0.05236418,-0.05460692,0.992116,-0.09990924,11.10013,173.2808,353.0455,"Calibration","B5",NA,1.620274329,0.230063342,0.605234414,-0.0945431,0.0281781,0.9881994,1.6259037,-0.554985,28.9062388,-370.2295011,0.0894687,-0.0283179,0.9872815,-1.6362468,0.0973366,30.2950957,-409.3163113
"16",171.0903,1.900296,1.72811,-2.054347,0.0519548,-0.05489813,0.9922442,-0.09868304,10.96042,173.3355,353.0263,"Calibration","B5",NA,1.759984329,0.284763342,0.586034414,-0.0950728,0.0306219,0.988076,1.7669531,-0.5238704,17.639229,-388.7377885,0.0884448,-0.0307254,0.9873017,-1.7753986,0.1563832,17.5451567,-511.9009215
"17",171.1122,1.899832,1.728147,-2.053122,0.05117164,-0.0565001,0.992442,-0.09616747,10.66689,173.4302,352.8693,"Calibration","B5",NA,2.053514329,0.379463342,0.429034414,-0.0981189,0.0357463,0.9876062,2.0627657,-0.3462288,23.0441061,60.271047,0.0861969,-0.0357286,0.9873322,-2.0646133,0.285975,20.5078658,23.0359783
"18",171.1349,1.899189,1.728095,-2.052233,0.05041327,-0.05850404,0.992575,-0.09397107,10.4075,173.5157,352.6624,"Calibration","B5",NA,2.312904329,0.464963342,0.222134414,-0.101987,0.0402745,0.9870395,2.3242028,-0.1207436,20.1780961,-198.2287271,0.0839182,-0.0401149,0.98736,-2.3182104,0.4173702,18.4827633,-119.9169087
