TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrotFocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.124746,1.241319,-1.985435,-0.1381989,-0.01400679,0.981883,0.1288823,345.5685,196.4967,356.2625,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.124723,1.24144,-1.984969,-0.1376284,-0.01412971,0.9819421,0.1290296,345.5515,196.4321,356.2541,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.067693,1.259855,-1.578173,-0.01863,-0.006069348,-0.9997981,1.034109,0,0,0
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.066045,1.258733,-1.603449,-0.03417465,0.009158705,0.9983164,-0.04596305,5.229502,183.9775,1.232967,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.064163,1.254688,-1.577191,-0.01736717,-0.006882125,-0.9998224,1.05316,0,0,0
0.041016,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.066027,1.258586,-1.603512,-0.03412361,0.009404568,0.9982972,-0.04636841,5.275055,183.9736,1.262611,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.063892,1.254654,-1.577196,-0.01722209,-0.00767996,-0.9998075,1.051686,0,0,0
0.0539606,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.066134,1.258562,-1.603491,-0.0341123,0.009355311,0.9982909,-0.04652055,5.292706,183.9723,1.257517,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.064332,1.254628,-1.577191,-0.01781593,-0.008738047,-0.9997883,1.050494,0,0,0
0.0690228,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.066179,1.25857,-1.603579,-0.0340941,0.009348523,0.9982908,-0.04653706,5.294649,183.9702,1.256709,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.064318,1.254645,-1.577217,-0.01799567,-0.01168959,-0.9997554,1.045805,0,0,0
0.0913741,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.066005,1.258535,-1.603576,-0.03405934,0.009349827,0.9982966,-0.04643785,5.283314,183.966,1.256266,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.062914,1.25463,-1.577241,-0.01566191,-0.007968836,-0.9998416,1.054392,0,0,0
0.1130912,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.065893,1.258535,-1.603631,-0.0339456,0.009170919,0.9983066,-0.04634282,5.273271,183.9518,1.234719,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.083951,1.254618,-1.577102,-0.03909992,0.001288295,-0.9992211,1.091329,0,0,0
0.1356225,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.066097,1.258435,-1.60375,-0.03390364,0.00906833,0.9983083,-0.04635572,5.275207,183.9465,1.222763,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.088003,1.254235,-1.577947,-0.0290842,-0.006279339,-0.9995472,1.430199,0,0,0
0.157893,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.06585,1.258366,-1.603777,-0.03381756,0.009042955,0.9983138,-0.04630451,5.269542,183.9364,1.219183,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,closed,True,True,closed,closed,closed,closed,closed,closed,closed
0.1796254,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.065728,1.258297,-1.603849,-0.03389005,0.008782641,0.9983066,-0.04645805,5.288082,183.9436,1.190284,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,closed,True,True,closed,closed,closed,closed,closed,closed,closed
