TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot
0.4473087,1,0,-1.64,0,180,0,1.52618,0.872213,-2.444359,347.4853,181.8715,343.8949,1.26481,0.8699901,-2.45949,357.1155,184.4881,0.8054238,1.994506,0.7994207,-2.178425,272.1436,178.7967,316.44,1.85802,0.815667,-2.241885,273.4044,356.6753,181.533
0.47029,1,0,-1.64,0,180,0,1.526247,0.8722749,-2.444307,347.4872,181.862,343.9005,1.264939,0.8700645,-2.459533,357.1271,184.4845,0.7863012,1.994539,0.7995251,-2.178335,272.1478,178.9673,316.2741,1.85788,0.8153746,-2.241889,273.4242,356.5298,181.6744
0.4852783,1,0,-1.64,0,180,0,1.526441,0.872284,-2.44419,347.4739,181.864,343.8939,1.264783,0.8698891,-2.459488,357.1133,184.4886,0.8070143,1.994404,0.7992507,-2.178368,272.1548,178.654,316.5816,1.857947,0.8153369,-2.241906,273.4207,356.7362,181.4765
0.5038048,1,0,-1.64,0,180,0,1.526122,0.8720902,-2.444289,347.4688,181.875,343.8908,1.264878,0.8699695,-2.459558,357.1131,184.4906,0.8101212,1.994455,0.7993718,-2.1784,272.1586,178.6697,316.5677,1.857918,0.8152367,-2.241896,273.4275,356.7704,181.4387
0.5152016,1,0,-1.64,0,180,0,1.526091,0.8720547,-2.444376,347.485,181.866,343.8897,1.264841,0.8699713,-2.459547,357.1158,184.4888,0.8006654,1.994358,0.7992527,-2.178469,272.1538,178.8363,316.3989,1.859504,0.8160625,-2.241229,273.3785,356.859,181.3125
0.5377548,1,0,-1.64,0,180,0,1.526041,0.8720142,-2.444394,347.4847,181.8719,343.8828,1.264837,0.8699881,-2.459516,357.1032,184.495,0.7972075,1.994156,0.7990975,-2.178522,272.1617,178.7774,316.4538,1.859358,0.8162965,-2.241324,273.3749,356.8263,181.3512
0.560388,1,0,-1.64,0,180,0,1.526274,0.8721879,-2.444285,347.4883,181.8721,343.8836,1.264826,0.8700093,-2.459424,357.1123,184.4981,0.7983276,1.994944,0.7995017,-2.178148,272.1,179.7308,315.5129,1.859252,0.8163346,-2.241526,273.3722,356.7335,181.4478
0.5819472,1,0,-1.64,0,180,0,1.526191,0.8721708,-2.444261,347.4827,181.8671,343.8834,1.264898,0.870011,-2.459425,357.0966,184.4951,0.7991515,1.994879,0.7997173,-2.178254,272.1069,179.7639,315.499,1.859074,0.8161649,-2.241693,273.3984,356.3431,181.8593
0.604285,1,0,-1.64,0,180,0,1.526342,0.8721954,-2.444153,347.4716,181.8615,343.8893,1.264935,0.8699886,-2.459403,357.1052,184.4971,0.8060413,1.994847,0.7997995,-2.178228,272.0993,179.6626,315.601,1.858685,0.8157552,-2.241693,273.4041,356.3563,181.8445
0.6261365,1,0,-1.64,0,180,0,1.526792,0.8723868,-2.444139,347.4864,181.8542,343.8936,1.26482,0.8699547,-2.459423,357.1014,184.502,0.7875146,1.994932,0.7997981,-2.178269,272.1077,179.574,315.6823,1.858479,0.8157755,-2.241746,273.4196,356.2947,181.9295
0.648237,1,0,-1.64,0,180,0,1.526787,0.8723669,-2.444146,347.4843,181.8568,343.8982,1.264889,0.8700296,-2.459427,357.1073,184.5066,0.7963178,1.99475,0.7994649,-2.178393,272.1009,179.4659,315.7848,1.858469,0.8158057,-2.241765,273.4105,356.588,181.6476
0.659662,1,0,-1.64,0,180,0,1.526449,0.8723477,-2.444238,347.4789,181.8569,343.8932,1.264894,0.8700598,-2.459394,357.1192,184.4982,0.7994568,1.994567,0.7993484,-2.178428,272.0998,179.5412,315.707,1.85793,0.8155559,-2.241906,273.4103,356.3982,181.8312
0.6814619,1,0,-1.64,0,180,0,1.526853,0.8724517,-2.444102,347.4839,181.8497,343.8931,1.264955,0.8700328,-2.459421,357.1219,184.5037,0.7906244,1.994731,0.7993003,-2.178266,272.0841,179.7946,315.4588,1.857473,0.8151342,-2.242104,273.427,356.5403,181.6835
0.6929716,1,0,-1.64,0,180,0,1.526865,0.8724557,-2.444098,347.4813,181.8473,343.896,1.264976,0.8701253,-2.459527,357.1194,184.5004,0.7885849,1.994728,0.7992826,-2.178246,272.0934,179.8109,315.4448,1.857409,0.8150983,-2.24213,273.4294,356.5805,181.6414
0.7146942,1,0,-1.64,0,180,0,1.52699,0.8724048,-2.444043,347.4854,181.8512,343.8983,1.264934,0.8701145,-2.459548,357.1117,184.4958,0.7954186,1.994859,0.7995133,-2.178275,272.0896,179.936,315.3171,1.857861,0.8153456,-2.241905,273.4191,356.8221,181.4124
0.7263572,1,0,-1.64,0,180,0,1.527296,0.8725555,-2.443919,347.4838,181.8555,343.8962,1.264921,0.8701226,-2.459534,357.116,184.5029,0.80007,1.994584,0.7992694,-2.178348,272.0859,179.7218,315.5194,1.857823,0.8153194,-2.24191,273.4231,356.8195,181.421
0.7484976,1,0,-1.64,0,180,0,1.527298,0.8725564,-2.443906,347.4796,181.8576,343.8934,1.264954,0.870111,-2.459455,357.1254,184.5065,0.78631,1.994249,0.7990807,-2.178436,272.0872,179.6021,315.6475,1.857411,0.8150104,-2.242079,273.428,356.923,181.3085
0.7597323,1,0,-1.64,0,180,0,1.527776,0.8728228,-2.443691,347.4843,181.8529,343.8946,1.264934,0.8700876,-2.459439,357.1244,184.4964,0.7960041,1.994154,0.7991029,-2.178493,272.097,179.5792,315.6562,1.857757,0.8152184,-2.241934,273.4209,357.0336,181.1993
0.781606,1,0,-1.64,0,180,0,1.527822,0.8728441,-2.443661,347.4857,181.8478,343.8985,1.265024,0.8699827,-2.459362,357.1254,184.4954,0.7915483,1.994142,0.7991363,-2.178469,272.0997,179.554,315.6812,1.857987,0.8153605,-2.241826,273.4106,357.2711,180.9701
