TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat
0,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,-0.4327466,1.219961,-1.777542,0.9832419,-0.1699569,-0.06595179,0.0006943343
0.0908673,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4323002,1.219967,-1.778106,0.9832048,-0.1705721,-0.06490779,0.000719887
0.2018947,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.432441,1.21971,-1.77733,0.9833148,-0.169604,-0.06577381,0.0005711792
0.3128676,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.43197,1.219336,-1.776843,0.9837107,-0.1679019,-0.06420458,5.522312E-05
0.4239269,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4307044,1.219731,-1.775975,0.9835371,-0.1699303,-0.0614332,0.002108381
0.5348381,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4262801,1.216641,-1.771996,0.9865515,-0.1520402,-0.05991825,-0.003127276
0.6351459,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4207637,1.214059,-1.771401,0.9901738,-0.1304003,-0.04899148,-0.01230751
0.7387371,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4160635,1.213446,-1.774118,0.9923458,-0.1191165,-0.02906002,-0.01472051
0.839019,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4140455,1.213052,-1.776582,0.9939474,-0.1082492,-0.006931646,-0.01739637
0.9500117,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4144909,1.212795,-1.779121,0.9941313,-0.107174,0.008910992,-0.0117219
1.05036,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4157753,1.214917,-1.782947,0.9935093,-0.1126083,0.01465921,-0.006623618
1.16108,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4172416,1.21527,-1.785453,0.9933887,-0.1135584,0.01511954,-0.007418864
1.26129,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4180863,1.214689,-1.786632,0.993606,-0.1115725,0.01627431,-0.005820322
1.371843,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4182078,1.213967,-1.786903,0.9940236,-0.1080615,0.01515324,-0.003224812
1.471931,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4191091,1.21315,-1.785995,0.9942405,-0.105917,0.01634953,-8.464295E-06
1.572145,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4195161,1.212239,-1.784488,0.9946107,-0.1021405,0.01765081,-0.002338311
1.682916,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4180722,1.211165,-1.782582,0.9951031,-0.09547085,0.02539144,-0.003262861
1.793868,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4177376,1.206668,-1.778274,0.996721,-0.07622555,0.02651558,-0.005825779
1.905083,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4176255,1.195559,-1.77388,0.9990159,-0.03611934,0.02572802,-0.0008820558
2.016508,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4207523,1.186323,-1.7721,0.9997545,-0.002033709,0.01538988,-0.01580948
2.127489,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4209923,1.177774,-1.773555,0.9988456,0.0430313,0.01738426,-0.01239482
