TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,locRayDirection_x,locRayDirection_y,locRayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0.2744961,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3750554,1.039222,2.737764,0.2505232,-0.08365685,0.9434651,0.2002834,335.1757,151.058,356.3674,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.064783,1.758479,2.11128,-0.08174653,0.1361826,0.567047,0.8082262,290.1375,21.72336,176.2854,None,False,False,-0.3750554,1.039222,2.737764,0.4392097,0.4198367,-0.7942494,0,0,1,0,0,0,0
0.2966937,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3750104,1.039163,2.737802,0.2505363,-0.08371609,0.9434454,0.2003346,335.1681,151.0573,356.3623,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.070068,1.758325,2.117264,-0.08144433,0.1406637,0.5680673,0.8067714,290.03,23.11,175.2439,None,False,False,-0.3750104,1.039163,2.737802,0.4391922,0.4199574,-0.7941952,0,0,1,0,0,0,0
0.30825,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.374981,1.039168,2.737808,0.2504825,-0.08381116,0.9434443,0.2003677,335.1617,151.0662,356.3505,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.072354,1.758209,2.120379,-0.08120497,0.1433567,0.5686137,0.8059362,289.9795,23.95395,174.6031,None,False,False,-0.374981,1.039168,2.737808,0.4390464,0.4200581,-0.7942226,0,0,1,0,0,0,0
0.3308432,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3749719,1.039185,2.737799,0.2504951,-0.08372277,0.9434478,0.2003722,335.1638,151.0623,356.3615,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.076893,1.757954,2.126563,-0.08184544,0.1475746,0.5693669,0.8045772,289.8886,25.0927,173.8668,None,False,False,-0.3749719,1.039185,2.737799,0.4391067,0.4200258,-0.7942063,0,0,1,0,0,0,0
0.3435968,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3749878,1.03921,2.737784,0.2504672,-0.08367705,0.9434615,0.2003616,335.1664,151.0649,356.3658,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.079051,1.757826,2.129601,-0.08309928,0.1482447,0.5693775,0.8043179,289.8543,25.05736,174.0616,None,False,False,-0.3749878,1.03921,2.737784,0.4390811,0.4199837,-0.7942428,0,0,1,0,0,0,0
0.3631921,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3751036,1.039247,2.737733,0.2506314,-0.08366958,0.9434259,0.2003272,335.17,151.0441,356.3703,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.083148,1.757292,2.13568,-0.08700621,0.1472968,0.5694767,0.8040087,289.7188,24.09762,175.2642,None,False,False,-0.3751036,1.039247,2.737733,0.4393817,0.4199282,-0.7941058,0,0,1,0,0,0,0
0.3837166,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3750905,1.039239,2.737735,0.2505019,-0.08372407,0.9434521,0.2003432,335.167,151.0618,356.3607,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.087599,1.756968,2.142079,-0.09035673,0.1466314,0.5695285,0.8037239,289.6122,23.30276,176.2799,None,False,False,-0.3750905,1.039239,2.737735,0.4391259,0.4199745,-0.7942228,0,0,1,0,0,0,0
0.3952915,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3751354,1.039231,2.73778,0.2504295,-0.08382582,0.9434696,0.2003085,335.1683,151.0738,356.3454,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.089886,1.756815,2.145296,-0.09031009,0.1474179,0.5696336,0.8035108,289.6029,23.54396,176.1002,None,False,False,-0.3751354,1.039231,2.73778,0.4389632,0.4199548,-0.7943232,0,0,1,0,0,0,0
0.4173257,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3752184,1.039243,2.737757,0.2505147,-0.08377798,0.9434159,0.2004746,335.1505,151.0603,356.3586,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.094519,1.756361,2.151892,-0.08844376,0.1492012,0.5699567,0.8031601,289.6227,24.42178,175.216,None,False,False,-0.3752184,1.039243,2.737757,0.4390885,0.420237,-0.7941046,0,0,1,0,0,0,0
0.4394522,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3752892,1.039279,2.737728,0.2504965,-0.08369949,0.94343,0.200464,335.154,151.0607,356.3671,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.098864,1.756151,2.158421,-0.08816861,0.1477458,0.5694884,0.8037913,289.686,24.01414,175.4811,None,False,False,-0.3752892,1.039279,2.737728,0.4390944,0.4201803,-0.7941314,0,0,1,0,0,0,0
