TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.235098,0.909884,-2.4204,0.01672871,-0.001144586,0.9997146,-0.01701968,1.947936,178.0799,359.8362
0.0782186,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235348,0.9101117,-2.420667,0.01698394,-0.0005391813,0.9996887,-0.01827298,2.092693,178.0516,359.9026
0.1833897,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235585,0.9100252,-2.420803,0.0170866,-0.0001693306,0.999683,-0.01849223,2.118533,178.0406,359.9444
0.2943264,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235363,0.9100336,-2.420648,0.01686687,-0.0007846724,0.9996901,-0.01829206,2.094416,178.0645,359.8747
0.4056393,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235274,0.9099558,-2.420748,0.01663285,-0.0008898766,0.9996989,-0.01802259,2.063364,178.0912,359.8636
0.5163613,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235473,0.9100208,-2.420674,0.01683547,-0.0006031687,0.9997,-0.0177843,2.036584,178.0686,359.8965
0.6519034,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235467,0.9098941,-2.420522,0.01687654,-0.0007316674,0.999704,-0.01751343,2.005292,178.0636,359.8822
0.7609762,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.23536,0.9098343,-2.420558,0.01683167,-0.0005184193,0.999707,-0.01738985,1.991547,178.0692,359.907
0.8723095,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.23525,0.9097329,-2.420615,0.01690484,-0.0006670179,0.9997125,-0.0169928,1.945753,178.0606,359.8906
0.9835127,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235317,0.9097921,-2.420533,0.01696873,-0.0005128801,0.9997146,-0.01681338,1.925487,178.0536,359.9085
1.094632,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235294,0.9098134,-2.420433,0.01688701,-0.0007394862,0.9997124,-0.01701376,1.948017,178.0625,359.8823
1.205279,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235382,0.9097718,-2.420468,0.01683577,-0.000826731,0.9997145,-0.01693774,1.939143,178.0682,359.8725
1.305737,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235494,0.9097397,-2.420532,0.01687771,-0.0007926233,0.9997116,-0.0170688,1.954222,178.0635,359.8761
1.408203,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235543,0.9097617,-2.420592,0.01697114,-0.0007042388,0.9997114,-0.01699053,1.945414,178.0529,359.8862
1.508909,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235468,0.9097605,-2.420496,0.0170158,-0.0007000256,0.9997126,-0.01687796,1.932518,178.0479,359.8868
1.61973,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235555,0.9097956,-2.420574,0.01700816,-0.0005260079,0.9997108,-0.01699512,1.946283,178.049,359.9066
1.729849,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235538,0.9097403,-2.420469,0.01727838,-0.0003022598,0.9997079,-0.0168968,1.935434,178.0185,359.9319
1.830436,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235399,0.9096338,-2.42053,0.01686964,-0.0005305317,0.9997154,-0.01685821,1.930599,178.0649,359.9066
