TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot
5.126409,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.252625,0.9100877,-2.420609,-0.007018493,0.0008735322,0.9996822,-0.02419769,2.772349,180.8074,0.119669
5.237479,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.250422,0.9093656,-2.419566,-0.01406927,-0.0008933577,0.9995915,-0.02486266,2.850503,181.6112,359.9377
5.337863,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.248034,0.9094062,-2.417797,-0.02303891,-0.002298744,0.9994462,-0.02390176,2.744542,182.6363,359.7996
5.448703,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.245879,0.9101396,-2.415272,-0.0361784,-0.003710459,0.9991102,-0.02135935,2.461563,184.1404,359.6634
5.548897,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.24309,0.9111181,-2.412106,-0.05215831,-0.005185073,0.9984595,-0.01820118,2.113959,185.9717,359.5152
5.648935,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.24015,0.9110633,-2.40855,-0.07452278,-0.009288404,0.9970258,-0.01731192,2.057662,188.5328,359.086
5.759383,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.237918,0.9101729,-2.406213,-0.100176,-0.01163292,0.9947142,-0.01931849,2.33622,191.479,358.8948
5.861048,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.23805,0.9095522,-2.40392,-0.1229983,-0.01051836,0.992097,-0.02245811,2.702425,194.114,359.1197
5.970461,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.239496,0.9098947,-2.397173,-0.1488249,-0.009068811,0.9885984,-0.02102977,2.537848,197.1074,359.3306
6.070645,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.241868,0.911346,-2.389988,-0.1757091,-0.005355968,0.9842316,-0.01964502,2.324135,200.2399,359.7913
6.174186,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.243198,0.9126554,-2.384318,-0.2019803,-0.0006422718,0.9791789,-0.02030642,2.293973,203.3184,0.3982527
6.284103,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.2441,0.9130389,-2.376382,-0.2359414,-0.0003158017,0.9714664,-0.02418121,2.701436,207.317,0.6193295
6.394543,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.245654,0.9142187,-2.365359,-0.2737175,0.0017212,0.9615127,-0.02385677,2.575449,211.8016,0.9389191
6.495553,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.246101,0.9132598,-2.354868,-0.3104286,-0.003412626,0.9502895,-0.02392228,2.727446,216.1925,0.4799062
6.607566,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.245483,0.9118499,-2.339541,-0.3566805,-0.01255219,0.9337822,-0.02593108,3.289565,221.803,359.7163
6.717699,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.243873,0.9107921,-2.323322,-0.3946078,-0.01388751,0.918371,-0.02620237,3.387422,226.4965,359.7229
6.827557,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.240436,0.9131283,-2.304148,-0.4329447,-0.01657439,0.9010655,-0.01911038,2.796629,231.3081,359.2358
6.936619,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.237908,0.9096189,-2.286312,-0.4647217,-0.02457602,0.8848085,-0.02331886,3.675608,235.3788,358.7473
7.040436,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235739,0.9080762,-2.267986,-0.4973731,-0.03137355,0.8666583,-0.02322209,4.097847,239.6385,358.2029
7.151297,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.235804,0.9093066,-2.251495,-0.5294165,-0.03135626,0.8475529,-0.01972743,3.821086,243.9194,358.147
7.262265,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.2384,0.9086899,-2.240922,-0.5492844,-0.03137604,0.8348498,-0.01811006,3.710036,246.6249,358.134
7.370307,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.241659,0.9090396,-2.230124,-0.5713486,-0.03054093,0.8199968,-0.01527745,3.43717,249.679,358.1268
7.480136,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.245112,0.9070594,-2.220248,-0.5897098,-0.0363683,0.8066995,-0.01247811,3.613498,252.2551,357.4755
7.589052,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.247932,0.9063258,-2.212093,-0.6116412,-0.03287784,0.7903041,-0.01528755,3.691399,255.4133,358.0897
7.700413,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.248412,0.9062984,-2.206672,-0.629469,-0.03383112,0.7761344,-0.01547814,3.819732,258.023,358.103
7.812097,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.247657,0.9055797,-2.201994,-0.6443526,-0.03316439,0.763817,-0.01713201,3.951416,260.245,358.3581
7.92661,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.247061,0.9052055,-2.195743,-0.6618003,-0.03784394,0.7485898,-0.0142016,4.091681,262.8797,357.8246
8.037073,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.246773,0.9058105,-2.192927,-0.672209,-0.03773494,0.7392786,-0.01335137,4.041115,264.4823,357.8258
8.146734,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.246086,0.9071992,-2.192716,-0.6752364,-0.03475527,0.7367032,-0.01078575,3.602142,264.9484,357.8959
8.246994,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.245921,0.9075159,-2.192671,-0.6752792,-0.03307547,0.7367457,-0.0104867,3.446839,264.9552,358.0151
8.348273,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.246422,0.9069252,-2.193028,-0.6732289,-0.03276849,0.7386031,-0.01243595,3.582854,264.6408,358.1821
8.455122,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.247537,0.9064676,-2.192409,-0.6727072,-0.03398449,0.7390044,-0.0135137,3.76685,264.562,358.1595
8.555369,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.247749,0.906223,-2.192668,-0.6708764,-0.03410405,0.740647,-0.01428002,3.836648,264.2801,358.199
8.666149,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.247262,0.9065637,-2.192673,-0.6696716,-0.03348055,0.7417738,-0.01381037,3.745817,264.0927,358.2098
8.767144,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.246842,0.9064374,-2.192963,-0.6695417,-0.03338002,0.7418797,-0.01464039,3.808473,264.075,358.2815
8.869795,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.246716,0.9066848,-2.193393,-0.66978,-0.03271052,0.7416697,-0.01584231,3.859912,264.1157,358.4321
8.970299,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.24663,0.9074556,-2.194469,-0.6684344,-0.0302385,0.7429861,-0.01589929,3.672355,263.9093,358.6404
9.080546,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.246071,0.9076993,-2.194918,-0.6675288,-0.0289819,0.7438245,-0.01704246,3.672062,263.7739,358.8308
9.181422,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.24616,0.9078162,-2.19394,-0.6682713,-0.02985132,0.7431074,-0.01771548,3.797282,263.8903,358.812
9.292697,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.246258,0.9076192,-2.194201,-0.668393,-0.03065269,0.7429668,-0.017655,3.853769,263.9084,358.7396
9.393025,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.246126,0.9075022,-2.193917,-0.6684042,-0.03118298,0.7429158,-0.01843194,3.960713,263.9126,358.754
9.4933,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.245755,0.9074064,-2.194164,-0.6682984,-0.03136471,0.7429949,-0.01876597,4.002961,263.8974,358.7636
