TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot
38.13694,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.006268,1.286722,-2.043885,0.1434561,0.03189741,0.9865715,0.07127207,352.445,163.1346,4.825263,1.994949,1.390433,-1.994315,-0.682467,0.722005,0.08302621,0.07780898,273.2319,180.9842,165.9501,1.361271,0.8792557,-2.561401,0.4477451,0.03903979,0.887422,-0.1023832,12.51376,126.3098,358.6856
38.15898,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.006651,1.286736,-2.043235,0.1461917,0.03267776,0.9865193,0.06587823,353.0833,162.8489,4.83865,1.995333,1.39079,-1.994577,-0.6777776,0.7262062,0.08378255,0.07888296,273.9449,179.1682,167.6142,1.361238,0.8792901,-2.56145,0.4478289,0.03914786,0.887351,-0.1025906,12.54057,126.2971,358.6845
38.18132,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.007115,1.287032,-2.042537,0.1504717,0.03425147,0.986172,0.06041405,353.751,162.379,4.947873,1.995923,1.391404,-1.994936,-0.6733568,0.7298905,0.08269259,0.08373999,274.5828,172.1746,174.2974,1.361453,0.8792065,-2.561455,0.4479542,0.03918647,0.8872752,-0.1026851,12.5521,126.2798,358.6816
38.2034,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.00775,1.287619,-2.041686,0.1543881,0.03460608,0.9858184,0.05593594,354.2839,161.9523,4.929481,1.996175,1.39228,-1.995064,-0.6693496,0.7330726,0.0814542,0.08911277,275.2023,166.2123,179.9188,1.361364,0.8791957,-2.56136,0.4480829,0.03904762,0.8872471,-0.1024188,12.51732,126.2653,358.6797
38.21492,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.007514,1.288055,-2.041148,0.1557499,0.03420038,0.9856938,0.05459001,354.4356,161.8052,4.866059,1.996118,1.392668,-1.99505,-0.6671386,0.734805,0.08207458,0.09083811,275.5308,165.5894,180.3481,1.361318,0.8792014,-2.561412,0.4480394,0.03901078,0.8872848,-0.1022969,12.50294,126.2722,358.683
38.22616,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.008317,1.288643,-2.040396,0.1566542,0.03309289,0.9856265,0.05389695,354.4982,161.7105,4.73233,1.99545,1.393307,-1.994897,-0.6653221,0.7361826,0.08530384,0.09002798,275.7569,169.0551,176.6834,1.361321,0.8793077,-2.561363,0.4480608,0.03890233,0.8872821,-0.102267,12.49418,126.2689,358.6731
38.24788,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.008738,1.289594,-2.039102,0.1586383,0.02946057,0.9854747,0.0529676,354.5458,161.5048,4.313356,1.99471,1.394258,-1.994422,-0.6641455,0.7367862,0.09160327,0.08755522,275.8977,175.9019,169.5226,1.361396,0.8792377,-2.56133,0.448205,0.03887609,0.8872176,-0.1022046,12.4862,126.2507,358.6716
38.25911,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.008889,1.290136,-2.03835,0.1598371,0.02734821,0.9853515,0.05278905,354.532,161.3775,4.076825,1.994837,1.394802,-1.993847,-0.6633445,0.7373051,0.09379441,0.08693645,276.0214,177.9451,167.35,1.361464,0.8792022,-2.561289,0.4482142,0.0390501,0.8871785,-0.1024371,12.51913,126.2479,358.6771
38.27077,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.008837,1.290578,-2.037709,0.1611763,0.02539111,0.9851944,0.05262489,354.5195,161.2328,3.859025,1.994564,1.395315,-1.993346,-0.6628573,0.7375171,0.09554094,0.08695225,276.0923,179.1375,166.0129,1.361363,0.8791987,-2.561371,0.4481002,0.03904934,0.8872251,-0.1025332,12.52914,126.2615,358.6735
38.29256,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.008946,1.291821,-2.036216,0.164243,0.02244826,0.9847135,0.05347651,354.3792,160.8865,3.558921,1.993655,1.396392,-1.992121,-0.6630989,0.7368781,0.0976025,0.0882284,276.029,179.6798,165.1979,1.361281,0.8793323,-2.561382,0.4481984,0.03916879,0.8871455,-0.1027468,12.55716,126.2469,358.673
38.31474,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.008973,1.293153,-2.034535,0.1665025,0.02166129,0.9842556,0.05521448,354.1758,160.6179,3.516952,1.993234,1.397442,-1.990512,-0.6634317,0.7360685,0.1012028,0.08842784,275.9787,182.2583,162.3087,1.361241,0.8793579,-2.561396,0.4480984,0.03937141,0.8871921,-0.1027029,12.56335,126.2623,358.6978
38.32603,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.008906,1.293667,-2.033543,0.1671234,0.02187388,0.9841051,0.05593368,354.1008,160.5402,3.559026,1.992954,1.39778,-1.98959,-0.6641877,0.7351363,0.102505,0.08900565,275.8545,182.9798,161.4341,1.361231,0.8793623,-2.561385,0.4481068,0.03920833,0.8871978,-0.1026796,12.55246,126.2601,358.682
