TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot
6.125528,1.629252,0.840364,-2.415758,0.1417017,-0.007042557,0.9834272,0.1128809,347.055,163.4804,1.066459,1.555063,0.8448814,-2.46038,-0.01790859,-0.0874995,0.9890937,0.1171191,346.7883,183.293,349.5076,1.355978,0.8294882,-2.504076,0.1971191,-0.006053139,0.9797446,0.03475659,355.9578,157.2448,0.1057627,1.97471,0.7796717,-2.191375,0.1712661,-0.18963,0.6505952,0.7151463,275.44,329.3177,181.0783,1.886268,0.7811882,-2.247993,0.210655,-0.2005863,0.663423,0.6893907,272.2568,4.284462,141.8981
6.147777,1.629094,0.8403792,-2.415838,0.1417219,-0.007047202,0.9834159,0.1129536,347.0466,163.4777,1.067448,1.55529,0.8450062,-2.460312,-0.0178802,-0.08753406,0.9890919,0.1171124,346.7889,183.2901,349.504,1.356126,0.8294803,-2.504133,0.1972959,-0.005769272,0.9796977,0.03512077,355.9233,157.2224,0.1467097,1.974745,0.77965,-2.191346,0.1712585,-0.1896579,0.6505985,0.7151378,275.4399,329.2848,181.1094,1.886162,0.781076,-2.24799,0.2106937,-0.2005876,0.6634512,0.6893514,272.2529,4.404951,141.7742
6.170038,1.628555,0.8400471,-2.41608,0.1417257,-0.007011906,0.9834064,0.1130331,347.0381,163.4764,1.072951,1.555759,0.8451803,-2.460069,-0.01789767,-0.0875356,0.9890816,0.1171954,346.7795,183.2931,349.5031,1.356601,0.8292212,-2.503848,0.1971184,-0.005982357,0.9797443,0.03478102,355.9566,157.2446,0.1142803,1.974624,0.779561,-2.191378,0.1711897,-0.1896796,0.6505697,0.7151746,275.4471,329.2279,181.1702,1.886481,0.781274,-2.247959,0.210607,-0.2004859,0.663591,0.6892728,272.2369,4.606936,141.5883
6.192109,1.62841,0.8399585,-2.416192,0.1417282,-0.006967809,0.9834031,0.1130613,347.0356,163.4754,1.078567,1.555785,0.845199,-2.460066,-0.01794357,-0.08752629,0.9890803,0.117207,346.7787,183.2985,349.5035,1.356773,0.8295792,-2.503818,0.1972601,-0.005602514,0.9797075,0.03507511,355.9322,157.2261,0.1642906,1.974531,0.779493,-2.191392,0.1711925,-0.1896388,0.6505384,0.7152133,275.4515,329.2816,181.1196,1.886383,0.781233,-2.247919,0.2106075,-0.2005484,0.6635017,0.6893405,272.2466,4.366096,141.8237
6.214488,1.627406,0.8394535,-2.416502,0.1416812,-0.00696881,0.9834006,0.1131426,347.0263,163.4806,1.079223,1.555853,0.8453245,-2.460074,-0.01793234,-0.08749937,0.989089,0.1171556,346.7844,183.2962,349.5071,1.356719,0.82967,-2.503855,0.1974405,-0.005330392,0.979668,0.0352057,355.9237,157.2036,0.1986335,1.974559,0.7795635,-2.191383,0.1712683,-0.1897597,0.6505882,0.7151178,275.4413,329.2025,181.1824,1.886529,0.781391,-2.247947,0.2106058,-0.2004618,0.6635696,0.6893009,272.2412,4.614363,141.583
6.236613,1.626994,0.8391941,-2.416665,0.1416709,-0.007040055,0.9833993,0.1131618,347.0229,163.4826,1.071182,1.5555,0.8452284,-2.460259,-0.01791206,-0.0875145,0.9890943,0.117102,346.7904,183.2934,349.5059,1.356591,0.8297597,-2.503916,0.1975077,-0.00512081,0.9796503,0.03535407,355.9118,157.1947,0.2258737,1.97461,0.7795936,-2.191402,0.1711908,-0.1897747,0.6505852,0.7151351,275.4449,329.1339,181.2561,1.886552,0.7814424,-2.247969,0.2106468,-0.200471,0.6634988,0.6893538,272.2515,4.579897,141.6131
6.258695,1.626983,0.8391362,-2.416694,0.1417003,-0.007032076,0.9833999,0.1131205,347.0278,163.4793,1.071785,1.555013,0.8450218,-2.460519,-0.01795287,-0.08755106,0.9891002,0.1170188,346.8004,183.2977,349.5016,1.357168,0.8293293,-2.503373,0.1971602,-0.005747814,0.9797326,0.03491278,355.9471,157.2386,0.1438389,1.974595,0.7796294,-2.191385,0.1712025,-0.1897425,0.6506093,0.715119,275.4407,329.1614,181.2305,1.886752,0.7815883,-2.247953,0.2106788,-0.2004133,0.6634811,0.6893779,272.2571,4.720862,141.4743
6.270006,1.626688,0.8390589,-2.416747,0.1415869,-0.007091903,0.9834071,0.1131964,347.018,163.4931,1.064657,1.554859,0.844911,-2.460479,-0.01786785,-0.08751006,0.989104,0.1170298,346.7982,183.2874,349.5074,1.357321,0.8289463,-2.503257,0.1969924,-0.006334845,0.9797768,0.034515,355.9785,157.2611,0.0680586,1.974655,0.7796351,-2.191409,0.1712171,-0.1897602,0.6505753,0.7151417,275.4452,329.1708,181.2183,1.88666,0.7813762,-2.247898,0.210718,-0.2003607,0.6634535,0.6894078,272.2643,4.852866,141.3434
6.281317,1.626639,0.8390393,-2.416764,0.1416445,-0.007110531,0.9833969,0.1132114,347.0161,163.4864,1.063535,1.554846,0.8449025,-2.460486,-0.01784485,-0.08752789,0.9891029,0.1170295,346.798,183.285,349.5056,1.357026,0.8286668,-2.503367,0.1967132,-0.007167297,0.9798435,0.03404777,356.0123,157.2977,359.9626,1.974755,0.7797717,-2.191299,0.1711874,-0.1897405,0.6505898,0.7151408,275.4442,329.161,181.2322,1.886361,0.781337,-2.247877,0.2107732,-0.2004523,0.6634132,0.689403,272.2658,4.750655,141.4332
6.303187,1.626473,0.8388846,-2.416878,0.1415599,-0.007150243,0.9834068,0.1132291,347.0133,163.4968,1.058115,1.554158,0.84448,-2.460794,-0.01785788,-0.087455,0.989119,0.1169463,346.8075,183.2845,349.5145,1.356292,0.828876,-2.504038,0.1970256,-0.007034147,0.9797818,0.03404639,356.0154,157.2607,359.9789,1.97482,0.7797642,-2.191273,0.1711931,-0.1896813,0.6506082,0.7151384,275.4412,329.2117,181.1861,1.886477,0.7812868,-2.248003,0.2107249,-0.2004814,0.66339,0.6894316,272.2676,4.564979,141.6205
