TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuatFocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance
0,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0.4738479,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
0.9743692,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
1.475017,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
1.975982,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
2.476442,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
2.978849,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
3.480608,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
3.980971,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
4.481583,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
4.983025,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
5.487441,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
5.988515,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
6.489286,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
6.989748,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
7.490841,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
7.991919,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
8.492017,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
8.994123,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
9.496553,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
9.998558,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
10.50028,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,None,False,False,0,0,-2.4,0,0,1,0
