TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat
0,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0
0.4443496,0,0,-2.4,1,0,0,0,0.4651369,0.9081482,-2.090259,0.7253085,0.1455533,0.6007469,0.3030593,0.3559084,1.384119,-2.296774,0.9388933,-0.3250225,0.039447,-0.106225
0.9444069,0,0,-2.4,1,0,0,0,0.4652989,0.9078636,-2.090532,0.7256696,0.1450164,0.6007922,0.3023615,0.3538305,1.381063,-2.291019,0.9453945,-0.3073369,0.03649662,-0.1021823
1.455337,0,0,-2.4,1,0,0,0,0.4649892,0.9079491,-2.090599,0.725477,0.1444549,0.6012394,0.3022038,0.3460302,1.367573,-2.268319,0.9661233,-0.2380661,0.02146686,-0.09731149
1.960379,0,0,-2.4,1,0,0,0,0.4651808,0.9080389,-2.090794,0.7256967,0.1439394,0.6013767,0.3016485,0.3482969,1.36685,-2.267226,0.9668676,-0.2335301,0.02560883,-0.09987437
2.465703,0,0,-2.4,1,0,0,0,0.4651542,0.9079721,-2.090703,0.7257211,0.1436097,0.6015889,0.3013236,0.3492116,1.364871,-2.264486,0.9690741,-0.2244091,0.0259058,-0.09932252
2.965999,0,0,-2.4,1,0,0,0,0.4644654,0.9076403,-2.091792,0.7246458,0.141426,0.6052148,0.2976612,0.3508029,1.360704,-2.261587,0.9753266,-0.2007445,0.03058798,-0.08662605
3.470197,0,0,-2.4,1,0,0,0,0.4663882,0.9065146,-2.091511,0.7252252,0.1448394,0.602932,0.2992374,0.3639812,1.349146,-2.262223,0.9866831,-0.1195186,0.05910532,-0.09315713
3.981037,0,0,-2.4,1,0,0,0,0.4643877,0.9090264,-2.091553,0.7247836,0.1453507,0.6028168,0.3002897,0.3583906,1.302391,-2.291232,0.9786588,0.2023918,0.01183791,-0.03353308
4.491997,0,0,-2.4,1,0,0,0,0.4648293,0.9089351,-2.088527,0.7226292,0.1551514,0.6006961,0.3047941,0.3700526,1.293928,-2.281969,0.9810246,0.1923318,-0.01259363,-0.02099157
4.992061,0,0,-2.4,1,0,0,0,0.4620904,0.9117477,-2.087367,0.7220371,0.1557991,0.6010645,0.3051401,0.3491614,1.313879,-2.278826,0.9836114,0.1763432,-0.03140401,-0.0206262
5.502656,0,0,-2.4,1,0,0,0,0.4610157,0.9129186,-2.086397,0.7217298,0.156728,0.600912,0.3056916,0.3637317,1.322591,-2.287329,0.9945247,0.09668011,-0.01019159,-0.03833762
6.013472,0,0,-2.4,1,0,0,0,0.4635618,0.9085329,-2.096233,0.7717332,0.1324784,0.5599656,0.2707693,0.3645827,1.331969,-2.303266,0.9964105,0.07412553,-0.02204374,-0.03443237
6.524283,0,0,-2.4,1,0,0,0,0.3607976,1.222697,-2.072111,0.5870308,-0.195652,0.4427871,0.6488873,0.3632619,1.336626,-2.317066,0.9975827,0.05656857,-0.02276869,-0.03332071
7.035277,0,0,-2.4,1,0,0,0,0.4301536,1.149308,-2.12983,0.6949571,-0.47694,0.5373174,-0.02920497,0.3629075,1.33642,-2.315181,0.9971976,0.06034199,-0.02435178,-0.03691777
7.546165,0,0,-2.4,1,0,0,0,0.4977245,0.9209785,-2.12847,0.7035355,0.1376321,0.660107,0.2243971,0.3829254,1.365056,-2.298256,0.9874511,-0.1502998,0.00951722,-0.04753647
8.056865,0,0,-2.4,1,0,0,0,0.485075,0.9102489,-2.102094,0.7252104,0.1214416,0.6322026,0.2442164,0.3876854,1.382812,-2.312194,0.9662448,-0.2399964,-0.0003144721,-0.093662
8.568021,0,0,-2.4,1,0,0,0,0.4829514,0.9124023,-2.10172,0.7254504,0.1206381,0.6318567,0.2447964,0.3834611,1.388289,-2.322722,0.9541044,-0.2888735,0.01488527,-0.07755926
9.078783,0,0,-2.4,1,0,0,0,0.4845608,0.9108149,-2.102356,0.7249486,0.1210558,0.6325669,0.2442421,0.3690695,1.385795,-2.317161,0.9604449,-0.2642762,-0.03416473,-0.08084814
9.589812,0,0,-2.4,1,0,0,0,0.4843572,0.911172,-2.102332,0.7246554,0.1214702,0.6327351,0.2444704,0.38241,1.384814,-2.312609,0.9627007,-0.259983,0.00570532,-0.07472408
10.10049,0,0,-2.4,1,0,0,0,0.4864199,0.9096276,-2.102828,0.7244402,0.121235,0.6336631,0.2428157,0.378799,1.382351,-2.31023,0.9682668,-0.2424429,0.01596912,-0.05853093
10.6112,0,0,-2.4,1,0,0,0,0.4855659,0.9107846,-2.10323,0.7253698,0.1202691,0.6327314,0.2429509,0.359457,1.383683,-2.312555,0.9692194,-0.2417292,-0.02297433,-0.04065684
11.12215,0,0,-2.4,1,0,0,0,0.4847353,0.9108487,-2.10256,0.7245018,0.121839,0.6332524,0.2434002,0.3660431,1.380024,-2.293285,0.9744452,-0.2189702,0.04913321,-0.009726121
11.63328,0,0,-2.4,1,0,0,0,0.4855,0.9104751,-2.101371,0.7236329,0.1252993,0.6331797,0.2444156,0.3602204,1.393412,-2.28752,0.9326764,-0.3589463,0.006783643,-0.03501768
12.14423,0,0,-2.4,1,0,0,0,0.4858456,0.9098991,-2.098534,0.7190451,0.1368304,0.6329031,0.2523594,0.3391103,1.389152,-2.292566,0.9395348,-0.3408731,0.02775285,-0.01760193
12.65291,0,0,-2.4,1,0,0,0,0.4869884,0.9091923,-2.097765,0.7190926,0.1396147,0.632395,0.2519726,0.3669328,1.389537,-2.295515,0.9391102,-0.3374162,0.05382141,-0.03640937
13.16036,0,0,-2.4,1,0,0,0,0.4871898,0.9095885,-2.097162,0.7178508,0.1437856,0.6331002,0.2513963,0.3989715,1.39021,-2.31105,0.9067575,-0.3458337,0.2387307,0.03460703
13.66525,0,0,-2.4,1,0,0,0,0.4873526,0.9097127,-2.094982,0.7160292,0.1533129,0.6323192,0.2529225,0.39881,1.388978,-2.309284,0.9115753,-0.340267,0.2291799,0.02693255
14.16574,0,0,-2.4,1,0,0,0,0.4875188,0.9096137,-2.095167,0.7160234,0.1528872,0.6325976,0.2525002,0.3829002,1.389777,-2.303842,0.9086928,-0.3275209,0.2399058,0.09722452
14.67582,0,0,-2.4,1,0,0,0,0.4871601,0.9098155,-2.0946,0.7163671,0.1530959,0.632001,0.2528926,0.3753507,1.387364,-2.295754,0.9070167,-0.3050648,0.2498512,0.1477516
15.18684,0,0,-2.4,1,0,0,0,0.4870828,0.9099046,-2.094873,0.7160318,0.1535057,0.6324733,0.2524124,0.3938473,1.384063,-2.30501,0.920226,-0.3149042,0.2310824,0.02490666
15.68693,0,0,-2.4,1,0,0,0,0.4870417,0.9098372,-2.094716,0.7161515,0.153369,0.6323383,0.2524944,0.3956622,1.385638,-2.30898,0.9154879,-0.3168708,0.2451209,0.03729191
16.19757,0,0,-2.4,1,0,0,0,0.4871831,0.9099108,-2.094978,0.7163467,0.1529359,0.6323441,0.2521884,0.3974362,1.385777,-2.310123,0.915332,-0.3173586,0.2455331,0.03412378
16.70668,0,0,-2.4,1,0,0,0,0.4872222,0.9099636,-2.095118,0.7165148,0.1522916,0.6326292,0.2513844,0.3976178,1.385135,-2.309188,0.9159693,-0.3145956,0.2467463,0.03385477
17.20811,0,0,-2.4,1,0,0,0,0.4875886,0.9098713,-2.094718,0.7166408,0.1540709,0.6320775,0.2513288,0.3983749,1.384323,-2.307778,0.9169357,-0.3121338,0.2463051,0.03369394
17.71886,0,0,-2.4,1,0,0,0,0.4876246,0.9099672,-2.094027,0.7158713,0.15718,0.6313758,0.2533523,0.3997086,1.38298,-2.305135,0.9188743,-0.3071226,0.2454722,0.03300425
18.23013,0,0,-2.4,1,0,0,0,0.48745,0.9099289,-2.093618,0.7154511,0.1585861,0.6312947,0.2538648,0.3980683,1.383667,-2.305524,0.9190363,-0.3080485,0.2434738,0.03462529
18.73679,0,0,-2.4,1,0,0,0,0.4873115,0.9100335,-2.093872,0.7156298,0.1572901,0.6315731,0.2534744,0.3941798,1.384592,-2.306335,0.9186831,-0.3124923,0.2385068,0.0385293
19.24019,0,0,-2.4,1,0,0,0,0.4871989,0.9099187,-2.093849,0.7155972,0.1569167,0.6316276,0.2536623,0.3888807,1.385732,-2.307097,0.9208308,-0.3184206,0.2222906,0.03557749
19.75139,0,0,-2.4,1,0,0,0,0.4870968,0.9100581,-2.093844,0.7155339,0.156973,0.6315053,0.2541099,0.3630316,1.387474,-2.301659,0.9400055,-0.3336308,0.04281553,-0.05698138
20.26201,0,0,-2.4,1,0,0,0,0.4870495,0.9100324,-2.093885,0.7156412,0.1567748,0.6314317,0.2541129,0.3667011,1.386788,-2.302408,0.9406408,-0.3300955,0.06265105,-0.04802844
20.77301,0,0,-2.4,1,0,0,0,0.4871933,0.9101058,-2.094142,0.7158291,0.1555073,0.6319106,0.2531705,0.3682645,1.383943,-2.298042,0.9458594,-0.3139302,0.06794694,-0.04670204
21.28395,0,0,-2.4,1,0,0,0,0.487112,0.9100999,-2.094189,0.7159392,0.1556503,0.6317416,0.2531928,0.3682422,1.384997,-2.300017,0.9443174,-0.3182114,0.07125532,-0.04391838
21.79473,0,0,-2.4,1,0,0,0,0.4869913,0.9100523,-2.094096,0.7158048,0.1562849,0.6316272,0.2534674,0.3674708,1.385448,-2.301109,0.9432414,-0.3219593,0.06983858,-0.04195855
22.30205,0,0,-2.4,1,0,0,0,0.4872185,0.9100724,-2.093567,0.715565,0.1581083,0.6313458,0.2537144,0.3681645,1.385532,-2.301192,0.943577,-0.320972,0.06978618,-0.04206439
22.80527,0,0,-2.4,1,0,0,0,0.4871559,0.910165,-2.093718,0.7156155,0.1572833,0.6316905,0.2532265,0.3699746,1.386186,-2.303013,0.941502,-0.3232889,0.09021195,-0.0303334
23.31617,0,0,-2.4,1,0,0,0,0.487142,0.9100991,-2.094015,0.7156218,0.1559679,0.6321994,0.2527516,0.373439,1.386301,-2.304986,0.9392079,-0.3247994,0.1090041,-0.02262857
23.82714,0,0,-2.4,1,0,0,0,0.4869794,0.9100196,-2.094157,0.7157363,0.1562561,0.6318555,0.2531093,0.3618285,1.386088,-2.301952,0.9439848,-0.3231837,0.05694086,-0.03468024
24.33282,0,0,-2.4,1,0,0,0,0.486815,0.9097641,-2.093677,0.7157817,0.1562346,0.6318101,0.2531072,0.354797,1.386427,-2.300627,0.9451714,-0.3228491,0.02660291,-0.04137357
24.83523,0,0,-2.4,1,0,0,0,0.4870952,0.9100491,-2.094096,0.7158636,0.1560891,0.6317634,0.2530822,0.3554312,1.386572,-2.300964,0.9448884,-0.3233159,0.02418416,-0.04547453
25.33738,0,0,-2.4,1,0,0,0,0.4870937,0.9100623,-2.094309,0.7161022,0.1555653,0.6317732,0.2527051,0.3542208,1.386748,-2.301209,0.944724,-0.3240362,0.02250346,-0.04461666
25.84466,0,0,-2.4,1,0,0,0,0.4869704,0.9100075,-2.094223,0.7161532,0.1552154,0.6317134,0.252925,0.3537764,1.387207,-2.301709,0.944149,-0.3259101,0.02042124,-0.04413924
26.34818,0,0,-2.4,1,0,0,0,0.4869374,0.9100116,-2.094451,0.7164397,0.1546763,0.6316124,0.2526961,0.3530129,1.386895,-2.301528,0.9445034,-0.3251092,0.01974438,-0.04275098
26.85894,0,0,-2.4,1,0,0,0,0.4870203,0.9101632,-2.094491,0.7164177,0.1547467,0.6317265,0.2524297,0.3525936,1.386909,-2.301447,0.9444558,-0.3253271,0.01955286,-0.04222803
