TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuatFocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance
0,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0.378134,1.377066,-2.316054,0.9226493,-0.3163283,0.2200052,0.01588961,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0.3533334,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3781692,1.377049,-2.316056,0.9226598,-0.3162612,0.2200583,0.01587989,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0.8709164,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3779078,1.3785,-2.313414,0.9486269,-0.3118939,0.04910261,-0.02045137,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
1.381493,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3765085,1.378832,-2.313701,0.9488924,-0.3113937,0.0485892,-0.01662252,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
1.886624,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3761289,1.378693,-2.314708,0.9486573,-0.3122316,0.04814534,-0.0155849,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
2.397235,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3776999,1.378809,-2.315583,0.9476605,-0.3124035,0.06531396,-0.008817668,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
2.908145,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3828511,1.379588,-2.318579,0.9430424,-0.3170782,0.1003442,0.007975616,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
3.407816,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3832192,1.38054,-2.321396,0.9401565,-0.3264132,0.09776206,-0.001684278,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
3.919031,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3885283,1.375677,-2.330986,0.9481767,-0.3025315,0.09697344,-0.005630031,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
4.418552,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3939301,1.376192,-2.345686,0.9491253,-0.2959697,0.1075304,-0.0005327011,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
4.929313,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3903003,1.377868,-2.348634,0.9462077,-0.3038556,0.111155,-0.002726647,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
5.440207,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3849142,1.383312,-2.321832,0.929854,-0.3252589,0.1692425,0.03058233,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
5.940071,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3909149,1.378976,-2.317682,0.9430864,-0.304775,0.1320865,0.01591636,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
6.450921,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.390521,1.380155,-2.323943,0.9392972,-0.317244,0.1306133,0.004147354,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
6.961771,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3887671,1.381069,-2.32648,0.9380962,-0.3223594,0.1267099,0.002115516,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
7.472574,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.389537,1.382649,-2.329919,0.9337551,-0.3332632,0.1305083,0.002144022,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
7.972315,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3896796,1.382522,-2.331826,0.9341424,-0.331943,0.1311053,0.001770916,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
8.483138,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3855776,1.382882,-2.331722,0.9348233,-0.3335055,0.1219127,0.004104344,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
8.994069,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3818535,1.382694,-2.331524,0.9355758,-0.3341063,0.1141533,0.006323603,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
9.493922,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3815168,1.382597,-2.332004,0.935597,-0.3344173,0.1130475,0.006603132,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
10.00473,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3813008,1.382523,-2.33243,0.9356376,-0.3343942,0.1127579,0.006964101,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
10.5044,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3817103,1.382571,-2.332377,0.9354728,-0.3347681,0.1130673,0.006067301,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
11.01519,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3797162,1.382844,-2.332168,0.9352654,-0.3353678,0.1128214,0.00885933,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
11.52633,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3805026,1.38278,-2.333057,0.9347426,-0.3366303,0.113426,0.00842298,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
12.037,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.380285,1.382555,-2.332357,0.9354175,-0.3351715,0.1120827,0.00957121,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
12.54783,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.379659,1.383027,-2.333404,0.9347419,-0.337447,0.110809,0.01041913,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
13.04759,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3789311,1.383097,-2.334899,0.9339144,-0.3396171,0.1111075,0.0109241,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
13.54764,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3785006,1.383134,-2.335023,0.9340425,-0.339343,0.1108586,0.01101677,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
14.05834,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3786085,1.382927,-2.334111,0.9345778,-0.3378381,0.1110014,0.01041543,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
14.56916,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3797488,1.382563,-2.334478,0.93441,-0.3377252,0.1128453,0.009251526,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
15.06926,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3794677,1.382691,-2.334383,0.9345815,-0.3374565,0.1121861,0.009739932,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
15.57981,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3794702,1.38239,-2.333885,0.9349446,-0.3361823,0.1129763,0.009816348,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
16.09069,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.379626,1.382313,-2.333722,0.9351155,-0.3357936,0.1127693,0.00920404,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
16.59041,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3792833,1.382366,-2.333642,0.9353416,-0.3353978,0.1120731,0.009172101,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
17.10139,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3789953,1.382333,-2.333627,0.935243,-0.3356815,0.1119879,0.009859352,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
17.61222,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3791021,1.382329,-2.333914,0.9351894,-0.3359107,0.1117622,0.009698337,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
