TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot
2.47149,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354355,0.8289655,-2.504504,0.1968881,-0.00668207,0.9798089,0.0341304,356.0139,157.2753,0.01984017,1.722617,0.7833757,-2.296633,0.04367091,-0.07343658,0.7029259,0.7061127,272.4258,271.3601,259.1378,1.629271,0.7795966,-2.301881,-0.1147493,0.1172129,0.673536,0.720724,273.8295,12.43432,186.4572
2.494608,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.35456,0.8289397,-2.504598,0.1970806,-0.006409446,0.9797643,0.03435279,355.9951,157.2514,0.05634734,1.722557,0.7833583,-2.296706,0.04366817,-0.07347512,0.7029681,0.7060668,272.4284,271.1825,259.3125,1.629199,0.7795382,-2.302076,-0.1146956,0.1170119,0.6735046,0.7207945,273.8372,12.2394,186.6312
2.515307,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.355205,0.8287637,-2.504165,0.1967455,-0.006407136,0.9798349,0.03425969,356.0056,157.2908,0.05312808,1.722468,0.7832267,-2.296639,0.04366318,-0.07348803,0.7029824,0.7060515,272.4293,271.1225,259.3719,1.62889,0.7797961,-2.301907,-0.1147022,0.1171147,0.673471,0.7208083,273.8412,12.35732,186.5223
2.526949,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.355307,0.8288434,-2.504166,0.1967803,-0.006395143,0.9798297,0.03420981,356.0115,157.2867,0.05349068,1.722517,0.7832795,-2.296568,0.04363099,-0.07338196,0.7029684,0.7060785,272.4241,271.2206,259.285,1.628853,0.7800216,-2.302046,-0.1144256,0.1170746,0.6733514,0.7209703,273.8652,12.61094,186.2428
2.549136,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.355164,0.8288667,-2.504435,0.1966787,-0.006583974,0.9798529,0.03409509,356.0201,157.2995,0.02922872,1.722518,0.7832732,-2.296603,0.04368951,-0.07339262,0.7029792,0.706063,272.4199,271.1773,259.3227,1.62905,0.7797636,-2.302079,-0.1144859,0.1169889,0.6733296,0.7209951,273.8682,12.43171,186.42
2.570894,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354826,0.8291435,-2.504769,0.1968728,-0.006261224,0.9798064,0.03437021,355.9965,157.2751,0.07257258,1.72265,0.783175,-2.29661,0.04355232,-0.07344653,0.7029536,0.7060913,272.4357,271.2452,259.2615,1.62895,0.7794619,-2.301653,-0.1145437,0.1172319,0.6732842,0.7209888,273.8723,12.66353,186.2129
2.593153,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.355217,0.8288906,-2.504476,0.1967307,-0.006456928,0.9798363,0.0342951,356.0005,157.2926,0.04826504,1.722477,0.7832171,-2.296767,0.04364889,-0.07350665,0.7029915,0.7060415,272.432,271.0795,259.4145,1.628988,0.7791911,-2.302023,-0.1148371,0.117032,0.6735859,0.7206928,273.8218,12.10957,186.7742
2.615438,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.355323,0.8285135,-2.504367,0.1966537,-0.006889184,0.9798615,0.03393138,356.0316,157.3038,359.9911,1.722635,0.7834313,-2.29664,0.04365677,-0.07337698,0.7029703,0.7060755,272.4216,271.2166,259.2873,1.629148,0.7795359,-2.302166,-0.1147792,0.1168652,0.6734374,0.7208678,273.8477,11.95099,186.9145
2.64203,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.352391,0.8274974,-2.505913,0.1968812,-0.006624541,0.9797981,0.03448947,355.9749,157.2753,0.03441855,1.722691,0.7834094,-2.296567,0.04366779,-0.0734646,0.7029986,0.7060375,272.4271,271.0713,259.4247,1.62914,0.779637,-2.301786,-0.1149526,0.117091,0.6733139,0.7209189,273.862,12.02123,186.8771
2.659846,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.352911,0.8280994,-2.505564,0.1969486,-0.006240781,0.9797787,0.03472779,355.9568,157.2656,0.08328691,1.722521,0.7832581,-2.296658,0.04372291,-0.07348334,0.7029682,0.7060624,272.4246,271.1807,259.3092,1.629127,0.779447,-2.301842,-0.1149227,0.117096,0.6735343,0.7207169,273.8279,12.08533,186.8108
2.681909,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354121,0.8279638,-2.504534,0.196531,-0.007055363,0.9798809,0.03404919,356.0146,157.3186,359.9745,1.722514,0.7832502,-2.2967,0.04374766,-0.07344446,0.7029114,0.7061216,272.4205,271.4152,259.0759,1.629142,0.7793838,-2.301845,-0.1148964,0.1171084,0.6736372,0.7206229,273.8121,12.14288,186.752
2.704234,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354213,0.8281635,-2.50464,0.1963784,-0.007169462,0.9799178,0.03384328,356.0352,157.3372,359.9564,1.722676,0.7832337,-2.296647,0.04375639,-0.07345509,0.7029409,0.7060905,272.4202,271.2983,259.1912,1.629017,0.7798913,-2.302016,-0.1146819,0.1173909,0.673618,0.720629,273.8163,12.74831,186.1522
2.726284,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354045,0.8287764,-2.504935,0.1964627,-0.006848426,0.9798959,0.0340503,356.0192,157.3259,-0.002427104,1.722579,0.7833025,-2.296624,0.04371925,-0.07337613,0.7029624,0.7060797,272.4164,271.2498,259.2491,1.628733,0.7796992,-2.301711,-0.1148057,0.1174462,0.6735517,0.7206623,273.824,12.66573,186.2495
2.742128,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354103,0.8285768,-2.504777,0.1963454,-0.007075956,0.97992,0.03398959,356.0209,157.3405,359.9701,1.722596,0.7832836,-2.296603,0.04368105,-0.07336863,0.7029532,0.706092,272.4191,271.2867,259.2159,1.628704,0.7797068,-2.301684,-0.1147592,0.1175099,0.6735728,0.7206396,273.821,12.80295,186.1137
