TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,lshoulder_xPos,lshoulder_yPos,lshoulder_zPos,lshoulder_wQuat,lshoulder_xQuat,lshoulder_yQuat,lshoulder_zQuat,lshoulder_xrot,lshoulder_yrot,lshoulder_zrot,rshoulder_xPos,rshoulder_yPos,rshoulder_zPos,rshoulder_wQuat,rshoulder_xQuat,rshoulder_yQuat,rshoulder_zQuat,rshoulder_xrot,rshoulder_yrot,rshoulder_zrot
12.3274,1,0,-1.64,0,0,1,0,0,180,0,1.778285,0.8275732,-2.568953,-0.1875945,-0.1550308,0.9445423,0.2204848,339.0012,206.9247,336.2775,1.271494,0.8679065,-2.462789,-0.04092349,0.007205303,0.9987223,0.02876193,356.6727,184.6728,0.6909146,2.015314,0.8126713,-2.18995,0.1886674,-0.2327315,0.6777596,0.671478,273.6071,244.5419,260.7684,1.851785,0.8150939,-2.248496,0.1418293,-0.149664,0.6720961,0.7111765,273.23,336.7642,179.4364
12.34941,1,0,-1.64,0,0,1,0,0,180,0,1.778226,0.8275629,-2.568971,-0.1876303,-0.1550339,0.9445364,0.2204777,339.0029,206.9288,336.2766,1.27143,0.8678995,-2.462752,-0.04091456,0.007276507,0.9987229,0.02873742,356.6752,184.6715,0.6992211,2.014959,0.8125747,-2.189867,0.1885069,-0.2328527,0.6778815,0.6713579,273.6325,244.288,261.0254,1.851893,0.8151797,-2.248499,0.1415555,-0.1496768,0.672122,0.7112039,273.2348,336.372,179.8503
12.37157,1,0,-1.64,0,0,1,0,0,180,0,1.778187,0.8275748,-2.569007,-0.1876353,-0.1550367,0.9445314,0.2204927,339.0015,206.93,336.2756,1.271414,0.8679443,-2.462699,-0.0408874,0.007241534,0.998726,0.02867298,356.6827,184.6686,0.6956012,2.014756,0.8124447,-2.189898,0.1885494,-0.2329215,0.6778656,0.6713381,273.6346,244.2833,261.0207,1.851756,0.8150761,-2.248496,0.1416929,-0.1496564,0.6719716,0.711323,273.2536,336.6657,179.5467
12.39374,1,0,-1.64,0,0,1,0,0,180,0,1.778158,0.8275663,-2.569051,-0.18761,-0.1550261,0.9445331,0.2205146,338.9982,206.9275,336.2765,1.271375,0.8678741,-2.462643,-0.04088807,0.007154035,0.9987274,0.02864546,356.6863,184.6689,0.6856954,2.01473,0.8124746,-2.189868,0.1887199,-0.2329312,0.6778297,0.6713231,273.6215,244.2722,261.0166,1.851774,0.8151782,-2.248592,0.1414472,-0.1496135,0.6718957,0.7114525,273.2732,336.4535,179.7827
12.41627,1,0,-1.64,0,0,1,0,0,180,0,1.778129,0.8275613,-2.569093,-0.1876277,-0.1550188,0.9445397,0.2204762,339.0026,206.9281,336.2785,1.271418,0.8679342,-2.462679,-0.0408815,0.007215422,0.9987258,0.02869505,356.6803,184.668,0.6925249,2.014681,0.8123445,-2.189862,0.1888416,-0.2328904,0.6777495,0.671384,273.6068,244.4182,260.8639,1.851762,0.815092,-2.248516,0.1414783,-0.1496212,0.6717824,0.7115517,273.2897,336.5449,179.688
12.43821,1,0,-1.64,0,0,1,0,0,180,0,1.7781,0.8275396,-2.569131,-0.1876154,-0.1550496,0.944546,0.2204382,339.0073,206.9258,336.2766,1.271425,0.8679357,-2.462674,-0.04087954,0.007116329,0.9987281,0.02864307,356.6867,184.6681,0.6814121,2.015009,0.8126189,-2.189897,0.1889743,-0.2327434,0.6778436,0.6713027,273.5865,244.1424,261.1411,1.851938,0.8152626,-2.248607,0.1413022,-0.1496258,0.6718186,0.7115516,273.2897,336.2919,179.9553
12.44949,1,0,-1.64,0,0,1,0,0,180,0,1.778088,0.8275381,-2.569137,-0.1876331,-0.1550248,0.9445298,0.22051,338.9992,206.9301,336.2764,1.271373,0.8679569,-2.462707,-0.04081366,0.007150199,0.9987284,0.02871998,356.6778,184.6604,0.6851577,2.014965,0.812595,-2.189913,0.188947,-0.2327302,0.6778699,0.6712884,273.5881,244.0947,261.1922,1.852107,0.8153118,-2.248574,0.1410594,-0.1496575,0.6718344,0.7115781,273.2953,335.925,180.3395
12.47168,1,0,-1.64,0,0,1,0,0,180,0,1.778921,0.8276439,-2.568615,-0.1874851,-0.1550096,0.9445246,0.2206687,338.9778,206.9178,336.2752,1.271356,0.8679824,-2.462675,-0.04081447,0.007088306,0.9987334,0.02855777,356.6967,184.6608,0.6788104,2.01493,0.8126494,-2.189858,0.1889057,-0.232716,0.6778668,0.6713081,273.59,244.1315,261.1601,1.852053,0.8154269,-2.248502,0.1411223,-0.1496394,0.671819,0.711584,273.2956,336.0411,180.2197
12.49377,1,0,-1.64,0,0,1,0,0,180,0,1.779588,0.8279433,-2.568526,-0.1874698,-0.1549371,0.9445339,0.2206928,338.9728,206.9153,336.2832,1.271262,0.8679477,-2.462648,-0.04085476,0.007065204,0.9987301,0.02862003,356.6896,184.6654,0.67574,2.01536,0.8127652,-2.189826,0.1890009,-0.2326388,0.6779801,0.6711937,273.5789,243.8055,261.4847,1.852356,0.8154086,-2.248465,0.1411614,-0.1496644,0.6718565,0.7115356,273.2885,336.0324,180.2231
12.50494,1,0,-1.64,0,0,1,0,0,180,0,1.779889,0.828096,-2.568621,-0.187532,-0.1549106,0.9445334,0.2206607,338.9771,206.9211,336.2862,1.271287,0.8679585,-2.462682,-0.04083952,0.007003146,0.9987328,0.0285654,356.6962,184.6639,0.6689292,2.015361,0.8127604,-2.189831,0.1890308,-0.2326514,0.6779663,0.6711948,273.5774,243.8193,261.4673,1.852397,0.8154092,-2.248396,0.1411162,-0.1496592,0.6718596,0.7115427,273.2896,335.9807,180.2791
