Time,X,Y,Z,wquat,xquat,yquat,zquat,xrot,yrot,zrot,,,,,,130.4695428,-16.75916874,22.05932882,,v_roll,v_pitch,v_yaw,V,,vxavg,vyavg,vzavg,avg speed,,Phase,GFO,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3247306,1.918688,1.78809,-2.204813,0.3200503,-0.939005,0.1053721,-0.06880511,324.0869,165.9467,197.3805,,144.0869,-14.0533,17.3805,,-13.61735721,2.705868736,-4.678828825,,3.740900024,5.158684036,-1.418361941,6.528254328,,0.688344537,5.732653234,-4.154351251,7.113070056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3360668,1.918296,1.787986,-2.204897,0.3197368,-0.9391184,0.1055191,-0.06848928,324.1201,165.9928,197.377,,144.1201,-14.0072,17.377,,-13.65055721,2.751968736,-4.682328825,,1.759613724,3.480619953,-0.720322663,3.966083768,,0.594942826,4.924650485,-3.26441581,5.938227846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3584186,1.917758,1.7879,-2.204667,0.3195554,-0.939213,0.1055109,-0.0680499,324.1333,166.0575,197.3517,,144.1333,-13.9425,17.3517,,-13.66375721,2.816668736,-4.707628825,,-0.270135248,5.42729156,-3.258289918,6.336001888,,0.364978392,3.650879657,-2.218522547,4.287653646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3810569,1.917132,1.787724,-2.20454,0.3195255,-0.9393674,0.1049787,-0.06687259,324.1077,166.2377,197.2298,,144.1077,-13.7623,17.2298,,-13.63815721,2.996868736,-4.829528825,,-0.804679153,7.225293397,-5.628782309,9.194322351,,0.164136815,2.224595325,-1.260426247,2.56211623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3925504,1.916796,1.787643,-2.204509,0.3194625,-0.9394588,0.1046258,-0.06644069,324.1022,166.3123,197.1623,,144.1022,-13.6877,17.1623,,-13.63265721,3.071468736,-4.897028825,,-0.073665951,5.014734239,-4.141010167,6.503918155,,-0.060033288,0.844546477,-0.413487812,0.942249923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4145915,1.916479,1.78768,-2.204161,0.3193018,-0.9395704,0.1044174,-0.06596056,324.1095,166.3903,197.1092,,144.1095,-13.6097,17.1092,,-13.63995721,3.149468736,-4.950128825,,0.117828467,1.044167181,0.067884659,1.052984794,,-0.409118111,-0.55020683,0.529342979,0.866203887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4261047,1.916433,1.787652,-2.203916,0.3193429,-0.9395313,0.1046096,-0.06601476,324.1084,166.3736,197.1385,,144.1084,-13.6264,17.1385,,-13.63885721,3.132768736,-4.920828825,,0.479198803,-3.720426184,4.152771734,5.596133983,,-0.898242086,-1.80837559,1.41455835,2.465367405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4483071,1.916312,1.787602,-2.203566,0.3193493,-0.9393954,0.1053197,-0.06678485,324.1318,166.2406,197.2664,,144.1318,-13.7594,17.2664,,-13.66225721,2.999768736,-4.792928825,,0.182375463,-11.39382034,9.619057984,14.91236666,,-1.454713566,-2.524362725,1.812342042,3.431207135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4705071,1.916637,1.78786,-2.202895,0.3199949,-0.9388599,0.1067097,-0.06898237,324.1165,165.8677,197.5656,,144.1165,-14.1323,17.5656,,-13.64695721,2.626868736,-4.493728825,,-2.15339436,-15.22755639,11.07251279,18.95035938,,-1.858262838,-2.818230588,1.877859324,3.862890118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4922895,1.916336,1.787864,-2.202579,0.3210256,-0.9383065,0.1073116,-0.0707651,324.0377,165.5702,197.7544,,144.0377,-14.4298,17.7544,,-13.56815721,2.329368736,-4.304928825,,-3.548513111,-9.845474921,5.156888759,11.66699719,,-2.138494516,-2.910887124,1.822854685,4.0458895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
