Time,x,y,z,wquat,xquat,yquat,zquat,xrot,yrot,zrot,,,,,,127.1532442,-1.122246215,4.673249402,,v_roll,v_pitch,v_yaw,V,,vxavg,vyavg,vzavg,avg speed,,Phase,GFO,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3338129,1.893194,1.78076,-2.04754,0.4434353,-0.8956027,0.03541344,-0.002606709,307.4297,176.5971,186.2098,,127.4297,-3.4029,6.2098,,-0.276455777,-2.280653785,1.536550598,,-0.670031472,3.048768548,-2.018693261,3.717398865,,-0.32657438,0.94451136,-0.845326086,1.308941834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3558121,1.893424,1.780828,-2.047281,0.4434593,-0.8955906,0.03544666,-0.002217517,307.4241,176.6596,186.1835,,127.4241,-3.3404,6.1835,,-0.270855777,-2.218153785,1.510250598,,-0.220789401,1.197858473,0.635719397,1.373954888,,-0.469492517,0.467902119,-0.475940747,0.816011771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3782691,1.893665,1.780935,-2.047033,0.4434963,-0.8955569,0.03583923,-0.002078783,307.4199,176.6496,186.2389,,127.4199,-3.3504,6.2389,,-0.266655777,-2.228153785,1.565650598,,0.30830237,0.400164617,2.499183815,2.549725831,,-0.510736094,-0.189237073,0.231949026,0.59199863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4006675,1.893959,1.780986,-2.046807,0.4433483,-0.8956086,0.03639804,-0.001651337,307.4379,176.6775,186.2956,,127.4379,-3.3225,6.2956,,-0.284655777,-2.200253785,1.622350598,,0.979318025,1.432192402,0.329459557,1.766007494,,-0.391722695,-0.505729392,0.663834658,0.921892261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.412096,1.894075,1.780998,-2.046764,0.4432388,-0.8956665,0.03630869,-0.001596277,307.4511,176.696,186.2742,,127.4511,-3.304,6.2742,,-0.297855777,-2.181753785,1.600950598,,0.744595334,1.860299063,-2.980930902,3.591807882,,-0.244146525,-0.252695398,0.539693688,0.643996713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.423467,1.894197,1.781017,-2.04668,0.4432014,-0.8956959,0.03603908,-0.001591602,307.4549,176.7199,186.2277,,127.4549,-3.2801,6.2277,,-0.301655777,-2.157853785,1.554450598,,0.312657348,2.197528221,-4.234877812,4.781325651,,-0.209304215,0.118945602,0.282206684,0.370940592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4457937,1.894499,1.781033,-2.046551,0.443133,-0.8957523,0.03547566,-0.001572766,307.4614,176.7711,186.1299,,127.4614,-3.2289,6.1299,,-0.308155777,-2.106653785,1.456650598,,-0.476954671,0.366383781,-2.298106279,2.375503169,,-0.161242809,0.011763663,0.445003026,0.473461002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4578415,1.894674,1.781084,-2.046469,0.4432562,-0.895695,0.03537618,-0.001722014,307.4464,176.7523,186.1273,,127.4464,-3.2477,6.1273,,-0.293155777,-2.125453785,1.454050598,,-2.091266948,-3.189342372,2.282592225,4.44471928,,0.011227809,-0.519503728,0.905421919,1.043934403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4793224,1.894951,1.781131,-2.04616,0.4437824,-0.8954188,0.03575014,-0.002100177,307.3833,176.6488,186.23,,127.3833,-3.3512,6.23,,-0.230055777,-2.228953785,1.556750598,,-0.914984097,-5.39424322,6.072151493,8.173498612,,0.139794633,-0.908999601,1.082933593,1.420763169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4908797,1.895151,1.781149,-2.046113,0.443706,-0.8954398,0.03615425,-0.002316121,307.3961,176.5798,186.3151,,127.3961,-3.4202,6.3151,,-0.242855777,-2.297953785,1.641850598,,0.65161158,-4.367775525,5.447192473,7.012415171,,0.220764881,-1.01329778,0.901444828,1.374085988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5026325,1.895122,1.781175,-2.046177,0.443699,-0.895435,0.0363536,-0.002410696,307.3984,176.5473,186.3566,,127.3984,-3.4527,6.3566,,-0.245155777,-2.330453785,1.683350598,,0.46309079,0.041793651,0.987115207,1.091144455,,0.272230136,-0.971338647,0.681708081,1.217511364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
